,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,BadgerysCreek,13.3,34.2,0.0,,,W,61.0,NNE,,11.0,,67.0,,1005.6,,,,21.0,,No,0.0,No
1,2009-01-02,BadgerysCreek,14.7,26.1,0.0,,,SE,46.0,SE,SE,7.0,24.0,59.0,54.0,1012.9,1013.5,,,20.7,22.2,No,0.0,No
2,2009-01-03,BadgerysCreek,13.6,22.3,0.0,,,NNE,30.0,ESE,NE,6.0,15.0,57.0,51.0,1021.9,1019.2,,,17.9,21.7,No,0.0,No
3,2009-01-04,BadgerysCreek,17.7,31.2,0.0,,,NE,39.0,NNE,N,9.0,15.0,62.0,43.0,1018.7,1013.6,,,22.0,30.6,No,0.0,No
4,2009-01-05,BadgerysCreek,15.5,38.8,0.0,,,SW,50.0,NNE,W,7.0,17.0,67.0,19.0,1013.2,1007.6,,,22.7,37.6,No,0.0,No
5,2009-01-06,BadgerysCreek,14.0,39.3,0.0,,,ESE,35.0,N,ENE,6.0,15.0,56.0,13.0,1011.9,1006.9,,,24.2,38.0,No,0.0,No
6,2009-01-07,BadgerysCreek,15.3,40.3,0.0,,,W,63.0,N,WNW,6.0,30.0,69.0,19.0,1010.1,1004.6,,,23.3,39.8,No,0.0,No
7,2009-01-08,BadgerysCreek,18.9,22.3,0.0,,,SE,31.0,SSE,SE,11.0,19.0,75.0,70.0,1012.7,1013.6,,,20.5,20.1,No,0.4,No
8,2009-01-09,BadgerysCreek,14.8,22.4,0.4,,,E,33.0,SSE,E,15.0,19.0,65.0,46.0,1020.6,1018.8,,,17.6,21.1,No,0.2,No
9,2009-01-10,BadgerysCreek,11.9,26.0,0.2,,,ENE,37.0,SSW,ENE,4.0,13.0,63.0,43.0,1017.2,1013.2,,,18.0,24.2,No,0.0,No
10,2009-01-11,BadgerysCreek,12.6,30.2,0.0,,,E,41.0,N,E,7.0,19.0,61.0,40.0,1014.3,1010.1,,,21.6,29.0,No,4.0,Yes
11,2009-01-12,BadgerysCreek,15.3,29.4,4.0,,,ESE,37.0,SW,ESE,4.0,22.0,78.0,50.0,1016.0,1015.8,,,21.2,27.7,Yes,0.0,No
12,2009-01-13,BadgerysCreek,18.4,32.7,0.0,,,NNE,39.0,NNE,ENE,7.0,17.0,83.0,40.0,1019.7,1015.3,,,21.5,30.5,No,0.0,No
13,2009-01-14,BadgerysCreek,15.9,39.9,0.0,,,ENE,50.0,ENE,NE,6.0,13.0,70.0,21.0,1014.7,1009.6,,,23.9,39.2,No,0.0,No
14,2009-01-15,BadgerysCreek,18.0,42.9,0.0,,,SE,50.0,E,WSW,7.0,17.0,43.0,16.0,1009.3,1005.5,,,29.1,40.7,No,0.4,No
15,2009-01-16,BadgerysCreek,14.6,34.5,0.4,,,SE,50.0,SE,NNE,7.0,15.0,50.0,22.0,1013.0,1007.5,,,21.4,33.9,No,0.0,No
16,2009-01-17,BadgerysCreek,15.5,23.7,0.0,,,ESE,33.0,SSE,E,15.0,15.0,53.0,38.0,1020.9,1020.1,,,17.6,21.8,No,0.0,No
17,2009-01-18,BadgerysCreek,10.3,28.7,0.0,,,E,37.0,,NE,0.0,9.0,58.0,28.0,1022.1,1018.8,,,19.9,27.6,No,0.0,No
18,2009-01-19,BadgerysCreek,11.3,33.5,0.0,,,NE,35.0,NNE,NNE,9.0,19.0,63.0,18.0,1019.4,1013.9,,,19.9,30.3,No,0.0,No
19,2009-01-20,BadgerysCreek,14.6,39.2,0.0,,,ENE,43.0,W,NNE,4.0,20.0,61.0,20.0,1014.0,1008.9,,,23.4,37.8,No,0.4,No
20,2009-01-21,BadgerysCreek,20.5,38.4,0.4,,,N,41.0,NNW,WSW,11.0,11.0,58.0,31.0,1012.0,1007.1,,,27.0,35.0,No,19.4,Yes
21,2009-01-22,BadgerysCreek,19.6,33.7,19.4,,,N,56.0,NNE,N,17.0,28.0,69.0,41.0,1008.7,1004.8,,,25.8,32.4,Yes,0.2,No
22,2009-01-23,BadgerysCreek,20.3,36.1,0.2,,,NE,43.0,E,ENE,6.0,24.0,63.0,44.0,1009.4,1006.5,,,28.2,33.3,No,0.0,No
23,2009-01-24,BadgerysCreek,20.8,40.7,0.0,,,W,72.0,NNE,W,6.0,31.0,61.0,15.0,1005.2,1003.0,,,29.3,39.6,No,0.0,No
24,2009-01-25,BadgerysCreek,18.7,28.4,0.0,,,SSW,33.0,E,NE,7.0,15.0,61.0,39.0,1020.0,1017.8,,,20.9,27.7,No,0.0,No
25,2009-01-26,BadgerysCreek,19.7,31.0,0.0,,,SE,35.0,SW,E,7.0,19.0,65.0,55.0,1019.7,1018.5,,,22.0,29.1,No,3.6,Yes
