,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-07-01,Darwin,20.0,33.1,0.0,4.4,11.0,E,41.0,ENE,SSE,13.0,17.0,81.0,32.0,1016.0,1012.1,1.0,2.0,25.4,32.3,No,0.0,No
1,2008-07-02,Darwin,19.4,32.4,0.0,6.0,10.4,ENE,50.0,SE,E,15.0,28.0,81.0,17.0,1016.8,1012.4,1.0,1.0,24.3,31.9,No,0.0,No
2,2008-07-03,Darwin,18.2,31.8,0.0,8.0,11.0,E,46.0,ESE,ENE,22.0,19.0,38.0,24.0,1017.2,1013.0,0.0,1.0,24.3,31.2,No,0.0,No
3,2008-07-04,Darwin,17.3,30.7,0.0,7.0,10.4,E,44.0,SE,E,22.0,13.0,55.0,16.0,1017.3,1013.6,2.0,6.0,21.3,29.8,No,0.0,No
4,2008-07-05,Darwin,15.5,30.8,0.0,7.0,10.8,ESE,46.0,E,E,20.0,19.0,37.0,16.0,1016.3,1012.6,1.0,1.0,22.2,29.6,No,0.0,No
5,2008-07-06,Darwin,16.2,31.9,0.0,7.2,10.7,E,41.0,ESE,SE,11.0,13.0,62.0,18.0,1015.8,1012.2,0.0,0.0,22.8,30.5,No,0.0,No
6,2008-07-07,Darwin,17.0,32.7,0.0,5.2,7.8,E,48.0,SE,ESE,11.0,22.0,54.0,18.0,1016.7,1013.1,5.0,2.0,23.3,31.5,No,0.0,No
7,2008-07-08,Darwin,19.6,30.8,0.0,9.2,10.6,ESE,54.0,SE,ESE,20.0,33.0,36.0,12.0,1018.2,1014.6,1.0,0.0,22.3,30.2,No,0.0,No
8,2008-07-09,Darwin,17.3,29.2,0.0,9.6,10.6,ESE,50.0,SE,ESE,31.0,24.0,26.0,15.0,1019.1,1015.2,1.0,0.0,20.3,28.6,No,0.0,No
9,2008-07-10,Darwin,17.1,30.3,0.0,9.2,11.1,ESE,48.0,SE,ESE,17.0,13.0,33.0,14.0,1018.3,1013.2,1.0,1.0,19.5,28.8,No,0.0,No
10,2008-07-11,Darwin,17.7,30.6,0.0,8.0,10.9,E,41.0,ESE,NE,20.0,11.0,21.0,11.0,1015.7,1011.0,1.0,0.0,22.4,30.0,No,0.0,No
11,2008-07-12,Darwin,14.7,30.9,0.0,7.0,11.0,NE,35.0,E,WSW,13.0,15.0,43.0,40.0,1014.5,1010.6,0.0,1.0,22.2,29.0,No,0.0,No
12,2008-07-13,Darwin,18.7,31.3,0.0,4.8,10.4,WNW,28.0,SSE,NW,13.0,22.0,75.0,42.0,1015.8,1012.1,0.0,1.0,22.7,29.9,No,0.0,No
13,2008-07-14,Darwin,18.8,31.0,0.0,4.8,8.9,ENE,33.0,ESE,NNW,7.0,20.0,69.0,56.0,1015.8,1012.1,5.0,6.0,25.3,28.7,No,0.0,No
14,2008-07-15,Darwin,21.4,33.1,0.0,4.0,11.0,ESE,41.0,SE,NNW,9.0,20.0,64.0,45.0,1014.9,1010.5,1.0,1.0,26.5,30.2,No,0.0,No
15,2008-07-16,Darwin,18.7,33.5,0.0,7.4,11.0,ESE,41.0,SSE,ESE,15.0,22.0,71.0,32.0,1014.0,1009.7,0.0,0.0,25.1,32.3,No,0.0,No
16,2008-07-17,Darwin,17.2,33.4,0.0,6.6,11.3,E,43.0,SE,ENE,15.0,20.0,41.0,15.0,1013.7,1009.4,0.0,0.0,24.8,32.7,No,0.0,No
17,2008-07-18,Darwin,17.6,32.3,0.0,7.6,11.0,N,41.0,ESE,NNE,13.0,24.0,44.0,41.0,1013.4,1010.1,0.0,3.0,25.5,31.3,No,0.0,No
18,2008-07-19,Darwin,21.4,29.9,0.0,5.4,8.1,WNW,26.0,E,NW,9.0,15.0,61.0,57.0,1013.3,1009.8,2.0,2.0,26.9,29.9,No,0.0,No
19,2008-07-20,Darwin,21.9,31.4,0.0,4.8,8.4,NW,35.0,S,NW,7.0,22.0,83.0,72.0,1013.6,1010.0,5.0,3.0,25.2,28.3,No,0.0,No
20,2008-07-21,Darwin,21.4,32.7,0.0,5.4,10.9,SE,41.0,SE,NW,22.0,22.0,70.0,36.0,1012.2,1009.0,0.0,1.0,24.0,30.9,No,0.0,No
21,2008-07-22,Darwin,22.5,32.5,0.0,7.2,10.0,ESE,52.0,SE,SSE,26.0,19.0,30.0,28.0,1012.8,1009.1,1.0,1.0,24.8,31.8,No,0.0,No
22,2008-07-23,Darwin,21.4,30.9,0.0,7.6,11.0,SE,52.0,SE,SE,31.0,26.0,30.0,20.0,1014.4,1010.7,0.0,0.0,22.9,30.3,No,0.0,No
23,2008-07-24,Darwin,17.3,29.1,0.0,10.8,10.5,SE,44.0,SE,S,28.0,15.0,27.0,19.0,1014.5,1010.3,0.0,0.0,20.5,28.3,No,0.0,No
24,2008-07-25,Darwin,15.9,29.3,0.0,6.6,11.0,ESE,43.0,SE,SSE,24.0,17.0,24.0,13.0,1015.0,1010.8,0.0,0.0,19.5,28.4,No,0.0,No
25,2008-07-26,Darwin,14.6,30.2,0.0,6.8,11.1,E,41.0,ESE,SE,17.0,15.0,32.0,8.0,1014.4,1010.7,0.0,0.0,19.8,29.7,No,0.0,No
26,2008-07-27,Darwin,12.5,31.3,0.0,5.6,10.9,NNW,28.0,S,NNW,4.0,19.0,60.0,37.0,1014.9,1011.2,1.0,0.0,21.7,27.4,No,0.0,No
27,2008-07-28,Darwin,15.5,30.0,0.0,5.0,10.8,N,33.0,E,NW,2.0,20.0,70.0,56.0,1014.6,1011.3,0.0,1.0,23.9,27.9,No,0.0,No
28,2008-07-29,Darwin,17.4,31.6,0.0,5.6,10.7,E,33.0,SSE,NNW,11.0,19.0,68.0,33.0,1015.0,1010.6,0.0,0.0,24.9,29.5,No,0.0,No
29,2008-07-30,Darwin,18.9,28.7,0.0,7.6,9.4,NW,35.0,S,NW,7.0,22.0,95.0,54.0,1015.8,1011.7,6.0,1.0,20.6,27.6,No,0.0,No
30,2008-07-31,Darwin,17.4,30.3,0.0,5.4,8.7,E,33.0,ENE,NNW,17.0,22.0,66.0,54.0,1016.7,1012.6,2.0,6.0,22.9,27.1,No,0.0,No
31,2008-08-01,Darwin,17.3,32.0,0.0,5.0,10.1,SSE,33.0,SE,N,13.0,28.0,67.0,50.0,1015.5,1011.8,7.0,3.0,23.4,29.5,No,0.0,No
32,2008-08-02,Darwin,18.1,32.2,0.0,5.6,9.4,E,44.0,E,ESE,15.0,24.0,78.0,23.0,1015.5,1011.2,5.0,5.0,23.7,32.0,No,0.0,No
33,2008-08-03,Darwin,18.8,34.1,0.0,6.2,11.4,ESE,54.0,ESE,E,17.0,33.0,64.0,11.0,1015.6,1010.9,1.0,3.0,23.1,33.5,No,0.0,No
34,2008-08-04,Darwin,17.5,34.7,0.0,8.6,10.3,ESE,52.0,S,WNW,11.0,28.0,77.0,45.0,1016.2,1011.8,6.0,5.0,23.3,29.3,No,0.0,No
35,2008-08-05,Darwin,18.0,33.8,0.0,6.2,10.2,ESE,44.0,,NW,0.0,24.0,74.0,62.0,1015.2,1011.3,3.0,1.0,25.2,28.3,No,0.0,No
36,2008-08-06,Darwin,17.6,32.6,0.0,6.8,11.0,E,46.0,SE,ENE,15.0,24.0,84.0,21.0,1015.7,1011.9,0.0,0.0,23.1,31.8,No,0.0,No
37,2008-08-07,Darwin,18.4,32.3,0.0,6.4,11.2,ESE,50.0,ESE,E,24.0,24.0,33.0,18.0,1016.3,1012.0,0.0,0.0,22.7,31.3,No,0.0,No
38,2008-08-08,Darwin,15.9,32.1,0.0,7.6,11.1,ESE,52.0,SE,E,19.0,19.0,,13.0,1015.5,1012.0,0.0,0.0,21.4,31.9,No,0.0,No
39,2008-08-09,Darwin,16.6,31.7,0.0,8.0,10.1,E,41.0,ESE,NW,15.0,24.0,32.0,18.0,1016.0,1011.7,3.0,6.0,21.2,30.7,No,0.0,No
40,2008-08-10,Darwin,18.1,32.4,0.0,8.0,8.7,E,37.0,SE,E,15.0,17.0,36.0,25.0,1016.1,1011.9,6.0,7.0,22.6,30.9,No,0.0,No
41,2008-08-11,Darwin,19.2,32.2,0.0,6.4,10.1,ESE,46.0,SE,WNW,26.0,20.0,21.0,15.0,1015.2,1011.6,3.0,3.0,22.4,31.0,No,0.0,No
42,2008-08-12,Darwin,19.0,31.7,0.0,7.8,10.9,ESE,37.0,SE,WNW,20.0,19.0,21.0,24.0,1015.9,1012.1,4.0,5.0,22.8,30.1,No,0.0,No
43,2008-08-13,Darwin,19.9,32.7,0.0,7.4,10.3,E,43.0,SE,NW,20.0,26.0,22.0,19.0,1016.5,1012.5,1.0,1.0,22.9,31.7,No,0.0,No
44,2008-08-14,Darwin,19.8,32.0,0.0,8.0,11.0,NNE,31.0,SE,NNW,20.0,22.0,25.0,27.0,1015.9,1012.2,3.0,5.0,23.4,29.4,No,0.0,No
45,2008-08-15,Darwin,19.8,33.8,0.0,9.4,8.6,N,41.0,SE,N,24.0,11.0,26.0,13.0,1014.7,1010.4,3.0,3.0,23.8,33.5,No,0.0,No
46,2008-08-16,Darwin,20.5,31.5,0.0,8.2,11.1,ESE,43.0,ESE,NNW,30.0,17.0,15.0,13.0,1015.6,1012.5,3.0,2.0,23.6,30.8,No,0.0,No
47,2008-08-17,Darwin,18.3,30.8,0.0,9.8,10.8,E,44.0,SE,SSE,26.0,24.0,18.0,8.0,1017.6,1013.7,1.0,1.0,21.7,29.8,No,0.0,No
48,2008-08-18,Darwin,18.1,30.8,0.0,9.2,10.8,SE,46.0,SE,SE,31.0,17.0,13.0,9.0,1018.4,1014.7,2.0,1.0,21.1,29.5,No,0.0,No
49,2008-08-19,Darwin,17.7,31.3,0.0,10.1,10.6,E,48.0,SE,N,20.0,15.0,24.0,20.0,1016.8,1013.2,2.0,2.0,21.5,30.5,No,0.0,No
50,2008-08-20,Darwin,16.3,31.8,0.0,6.8,10.4,ENE,39.0,NE,NNE,13.0,22.0,50.0,37.0,1016.4,1013.0,1.0,1.0,24.7,30.7,No,0.0,No
51,2008-08-21,Darwin,20.2,33.2,0.0,7.2,11.0,E,41.0,E,NNW,13.0,20.0,70.0,48.0,1016.9,1012.6,0.0,4.0,25.1,29.5,No,0.0,No
52,2008-08-22,Darwin,19.4,34.7,0.0,6.6,10.1,E,52.0,SSE,ESE,17.0,19.0,67.0,25.0,1015.8,1010.8,2.0,3.0,24.7,33.2,No,0.0,No
53,2008-08-23,Darwin,22.0,31.7,0.0,11.0,8.7,ESE,48.0,SE,SSE,24.0,20.0,17.0,15.0,1015.5,1011.3,7.0,4.0,22.1,30.1,No,0.0,No
54,2008-08-24,Darwin,21.1,32.7,0.0,8.6,8.6,ESE,37.0,SE,SE,19.0,11.0,24.0,26.0,1016.1,1010.9,6.0,3.0,23.1,32.1,No,0.0,No
55,2008-08-25,Darwin,20.9,32.9,0.0,6.8,9.8,ENE,48.0,E,NNE,22.0,31.0,54.0,43.0,1014.7,1010.1,3.0,3.0,27.3,31.6,No,0.0,No
56,2008-08-26,Darwin,24.7,33.1,0.0,7.6,9.4,N,46.0,SSE,N,9.0,30.0,65.0,44.0,1013.9,1010.2,7.0,4.0,27.0,31.2,No,0.0,No
57,2008-08-27,Darwin,22.0,34.2,0.0,8.0,11.0,NE,48.0,E,NNE,7.0,31.0,63.0,43.0,1014.1,1009.8,0.0,3.0,27.2,33.0,No,0.0,No
58,2008-08-28,Darwin,22.6,32.9,0.0,6.4,11.0,NNW,33.0,NE,NNW,11.0,24.0,68.0,52.0,1013.8,1009.7,1.0,1.0,27.6,30.6,No,0.0,No
59,2008-08-29,Darwin,22.4,33.0,0.0,8.0,11.0,NNE,48.0,NE,NNE,17.0,28.0,70.0,44.0,1012.9,1009.0,1.0,1.0,26.8,32.0,No,0.0,No
60,2008-08-30,Darwin,22.7,32.8,0.0,7.7,9.4,E,41.0,ENE,N,15.0,28.0,62.0,47.0,1013.4,1009.3,1.0,3.0,27.4,30.9,No,0.0,No
61,2008-08-31,Darwin,22.1,32.4,0.0,6.6,10.8,NE,33.0,E,NNW,6.0,24.0,72.0,55.0,1014.4,1010.0,3.0,2.0,27.0,30.9,No,0.0,No
62,2008-09-01,Darwin,23.8,33.3,0.0,6.2,8.5,ENE,39.0,ENE,N,7.0,26.0,72.0,50.0,1014.4,1010.4,7.0,7.0,28.0,30.9,No,0.0,No
63,2008-09-02,Darwin,23.5,34.1,0.0,6.4,10.5,E,52.0,,NW,0.0,22.0,73.0,57.0,1014.4,1010.8,4.0,5.0,27.0,30.0,No,0.0,No
64,2008-09-03,Darwin,21.8,34.8,0.0,6.8,10.4,E,43.0,ENE,N,13.0,28.0,69.0,47.0,1014.1,1009.4,4.0,3.0,27.7,31.9,No,0.0,No
65,2008-09-04,Darwin,23.7,34.5,0.0,6.8,10.3,E,37.0,SE,NNW,20.0,24.0,61.0,59.0,1013.3,1009.0,1.0,1.0,26.8,30.1,No,0.0,No
66,2008-09-05,Darwin,21.8,31.8,0.0,8.2,10.4,E,35.0,ENE,N,11.0,19.0,66.0,54.0,1012.5,1009.1,1.0,1.0,27.2,30.8,No,0.0,No
67,2008-09-06,Darwin,24.0,30.9,0.0,7.2,9.3,N,33.0,N,NW,4.0,22.0,73.0,63.0,1011.6,1008.7,4.0,4.0,27.4,28.8,No,0.0,No
68,2008-09-07,Darwin,22.4,31.8,0.0,4.6,10.6,WNW,33.0,SSW,WNW,4.0,26.0,71.0,57.0,1012.1,1007.9,2.0,1.0,27.4,30.5,No,0.0,No
69,2008-09-08,Darwin,22.5,36.0,0.0,6.2,10.5,WNW,33.0,WSW,NW,9.0,22.0,67.0,55.0,1012.9,1008.1,3.0,3.0,27.5,31.5,No,0.0,No
70,2008-09-09,Darwin,23.0,36.2,0.0,7.0,10.3,E,48.0,SSE,NNW,9.0,26.0,68.0,30.0,1013.4,1009.7,1.0,1.0,28.1,32.4,No,0.0,No
71,2008-09-10,Darwin,21.0,37.0,0.0,8.0,9.9,E,52.0,SSE,NNW,13.0,24.0,63.0,24.0,1013.6,1008.5,1.0,8.0,27.5,32.6,No,0.0,No
72,2008-09-11,Darwin,21.7,32.1,0.0,6.4,10.3,NW,33.0,SW,NW,6.0,24.0,74.0,50.0,1013.8,1009.2,1.0,1.0,27.1,30.9,No,0.0,No
73,2008-09-12,Darwin,22.2,32.0,0.0,7.6,10.8,WNW,35.0,WNW,WNW,9.0,26.0,67.0,53.0,1012.8,1008.7,2.0,1.0,27.5,30.1,No,0.0,No
74,2008-09-13,Darwin,23.4,32.5,0.0,5.8,9.4,NNW,31.0,NE,NNW,15.0,17.0,72.0,43.0,1014.3,1011.0,2.0,1.0,27.3,32.0,No,0.0,No
75,2008-09-14,Darwin,22.7,32.5,0.0,7.8,10.4,N,35.0,NNE,NNW,11.0,20.0,74.0,56.0,1014.8,1010.9,1.0,4.0,27.7,31.6,No,0.0,No
76,2008-09-15,Darwin,24.2,30.8,0.0,7.6,1.1,NW,28.0,NW,NNW,7.0,17.0,73.0,61.0,1014.4,1011.3,7.0,7.0,27.4,29.6,No,0.0,No
77,2008-09-16,Darwin,23.0,32.5,0.0,4.0,10.2,NW,31.0,S,NW,17.0,20.0,77.0,52.0,1013.5,1009.7,6.0,1.0,27.3,31.2,No,0.0,No
78,2008-09-17,Darwin,23.6,33.1,0.0,7.0,10.2,WNW,39.0,,NW,0.0,30.0,67.0,61.0,1014.4,1010.8,3.0,1.0,28.8,30.6,No,0.0,No
79,2008-09-18,Darwin,24.8,34.1,0.0,6.4,9.0,WNW,44.0,W,WNW,11.0,22.0,68.0,42.0,1014.0,1010.1,1.0,6.0,29.0,32.9,No,0.0,No
80,2008-09-19,Darwin,23.7,33.2,0.0,7.8,9.8,WNW,35.0,WSW,NW,2.0,28.0,66.0,51.0,1014.1,1009.8,2.0,1.0,28.3,32.0,No,0.0,No
81,2008-09-20,Darwin,23.9,33.3,0.0,8.0,10.7,NNE,39.0,NNE,NNW,17.0,24.0,59.0,56.0,1013.7,1009.8,1.0,2.0,28.7,31.2,No,0.0,No
82,2008-09-21,Darwin,22.8,33.4,0.0,7.0,10.7,N,37.0,N,NNW,9.0,24.0,64.0,42.0,1013.0,1009.0,2.0,1.0,28.9,32.7,No,0.0,No
83,2008-09-22,Darwin,24.0,32.9,0.0,7.8,9.7,N,33.0,NNW,NNW,15.0,20.0,67.0,39.0,1013.5,1009.4,5.0,1.0,27.9,32.0,No,0.0,No
84,2008-09-23,Darwin,23.8,32.5,0.0,7.2,8.3,ESE,39.0,NW,NNW,9.0,22.0,64.0,55.0,1014.3,1010.3,4.0,2.0,29.1,30.8,No,5.2,Yes
85,2008-09-24,Darwin,23.9,33.3,5.2,7.0,2.9,ENE,35.0,ESE,SW,17.0,19.0,77.0,43.0,1014.9,1010.7,6.0,6.0,25.9,32.4,Yes,0.0,No
86,2008-09-25,Darwin,23.7,34.5,0.0,12.2,9.9,E,46.0,ENE,NNW,17.0,24.0,61.0,34.0,1014.3,1010.1,5.0,4.0,28.8,32.5,No,0.0,No
87,2008-09-26,Darwin,22.9,34.3,0.0,11.0,10.5,NNW,37.0,ENE,NNW,7.0,22.0,54.0,45.0,1015.5,1010.8,3.0,3.0,28.8,31.8,No,0.0,No
88,2008-09-27,Darwin,23.8,32.7,0.0,8.2,9.0,N,35.0,ENE,NNW,9.0,24.0,62.0,42.0,1015.2,1010.9,5.0,4.0,28.7,31.5,No,0.0,No
89,2008-09-28,Darwin,23.5,33.0,0.0,6.6,9.8,N,35.0,NNE,NNW,11.0,24.0,61.0,50.0,1014.8,1010.9,3.0,2.0,28.8,31.6,No,0.0,No
90,2008-09-29,Darwin,23.8,33.7,0.0,6.8,10.5,NNW,35.0,NNE,NW,6.0,24.0,57.0,52.0,1013.8,1009.0,1.0,1.0,28.7,30.9,No,0.0,No
91,2008-09-30,Darwin,23.4,33.4,0.0,7.0,10.7,NNW,37.0,W,NW,7.0,24.0,61.0,43.0,1012.9,1009.1,1.0,1.0,28.7,32.0,No,0.0,No
92,2008-10-01,Darwin,24.7,33.4,0.0,7.6,9.8,NNW,33.0,NE,WNW,6.0,20.0,68.0,41.0,1013.8,1009.9,7.0,3.0,28.6,32.5,No,0.0,No
93,2008-10-02,Darwin,24.0,34.5,0.0,8.0,11.9,NE,41.0,E,NNW,15.0,20.0,67.0,53.0,1014.6,1010.4,4.0,1.0,28.5,32.4,No,0.0,No
94,2008-10-03,Darwin,25.0,34.6,0.0,7.6,10.2,NNW,39.0,SSE,NNW,11.0,24.0,68.0,44.0,1014.8,1009.9,4.0,3.0,29.1,33.4,No,0.0,No
95,2008-10-04,Darwin,25.3,33.3,0.0,7.2,7.5,NNW,37.0,NNE,N,7.0,26.0,77.0,51.0,1013.8,1009.6,6.0,4.0,28.3,32.8,No,0.0,No
96,2008-10-05,Darwin,25.7,33.4,0.0,7.2,8.8,NW,31.0,NE,NNW,13.0,19.0,68.0,50.0,1014.3,1010.2,6.0,3.0,29.0,32.2,No,0.0,No
97,2008-10-06,Darwin,25.6,36.1,0.0,7.0,10.4,N,50.0,E,NNE,13.0,33.0,61.0,40.0,1013.6,1008.9,2.0,2.0,30.3,34.4,No,0.0,No
98,2008-10-07,Darwin,26.7,34.0,0.0,7.6,10.3,S,57.0,E,N,17.0,26.0,61.0,55.0,1013.3,1008.8,3.0,3.0,30.5,32.6,No,18.8,Yes
99,2008-10-08,Darwin,25.2,34.3,18.8,10.2,9.4,WNW,35.0,SSE,N,11.0,20.0,69.0,48.0,1013.7,1008.9,1.0,2.0,28.6,33.6,Yes,0.0,No
100,2008-10-09,Darwin,25.3,33.5,0.0,5.6,0.9,N,31.0,NE,NNW,13.0,22.0,66.0,55.0,1013.4,1009.7,3.0,4.0,29.5,32.7,No,0.0,No
101,2008-10-10,Darwin,24.8,35.5,0.0,5.0,10.4,N,46.0,SE,N,17.0,30.0,80.0,52.0,1014.1,1010.4,3.0,2.0,28.5,32.9,No,0.0,No
102,2008-10-11,Darwin,25.7,36.8,0.0,9.2,9.6,ENE,41.0,S,N,15.0,28.0,73.0,61.0,1014.4,1009.6,7.0,5.0,29.4,32.0,No,0.0,No
103,2008-10-12,Darwin,26.3,33.9,0.0,6.8,10.2,NW,35.0,SSW,NW,15.0,28.0,72.0,59.0,1012.6,1008.8,2.0,2.0,29.8,32.6,No,1.0,No
104,2008-10-13,Darwin,25.4,34.2,1.0,7.0,10.4,WNW,39.0,SSW,NW,7.0,28.0,64.0,60.0,1012.5,1008.0,1.0,3.0,30.2,32.8,No,0.0,No
105,2008-10-14,Darwin,26.5,34.8,0.0,7.6,8.1,N,41.0,NNW,NNW,13.0,22.0,62.0,54.0,1012.5,1008.4,4.0,5.0,30.5,32.6,No,57.6,Yes
106,2008-10-15,Darwin,22.1,34.3,57.6,12.4,5.5,E,102.0,S,E,13.0,22.0,83.0,48.0,1013.0,1008.2,7.0,6.0,26.9,34.0,Yes,13.8,Yes
107,2008-10-16,Darwin,20.6,33.2,13.8,9.8,9.1,NNW,31.0,S,NNW,6.0,20.0,74.0,63.0,1011.1,1006.2,5.0,2.0,28.5,31.4,Yes,0.4,No
108,2008-10-17,Darwin,24.5,30.1,0.4,5.6,1.6,SE,54.0,ENE,W,9.0,9.0,85.0,75.0,1010.2,1007.5,6.0,7.0,27.6,28.9,No,25.4,Yes
109,2008-10-18,Darwin,23.0,33.3,25.4,4.4,8.7,E,46.0,SSE,ENE,11.0,22.0,67.0,48.0,1011.6,1008.9,4.0,4.0,27.6,32.6,Yes,0.0,No
110,2008-10-19,Darwin,24.7,34.8,0.0,7.0,11.5,E,37.0,E,NNE,19.0,24.0,62.0,48.0,1012.7,1009.2,1.0,2.0,28.9,32.6,No,0.0,No
111,2008-10-20,Darwin,25.2,37.0,0.0,10.4,11.3,SE,41.0,E,NNW,19.0,28.0,64.0,51.0,1012.7,1007.5,1.0,1.0,29.6,33.0,No,0.0,No
