,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,Albany,13.3,18.5,0.0,3.8,8.9,,,NNW,SW,4.0,17.0,82.0,63.0,1017.9,1015.2,7.0,5.0,15.2,17.9,No,0.0,No
1,2008-12-02,Albany,14.7,21.0,0.0,5.4,9.1,,,NE,ESE,6.0,17.0,64.0,71.0,1012.8,1009.3,2.0,6.0,17.8,19.1,No,0.2,No
2,2008-12-03,Albany,16.5,24.0,0.2,4.8,10.0,,,ENE,WSW,19.0,24.0,36.0,73.0,999.8,998.7,7.0,7.0,20.0,21.0,No,7.8,Yes
3,2008-12-04,Albany,14.1,20.6,7.8,7.0,7.2,,,N,WSW,13.0,41.0,69.0,81.0,1006.7,1008.5,5.0,7.0,19.8,18.0,Yes,0.0,No
4,2008-12-05,Albany,13.0,17.8,0.0,3.6,4.9,,,SW,SW,13.0,19.0,73.0,63.0,1015.3,1016.3,3.0,5.0,16.0,17.0,No,0.0,No
5,2008-12-06,Albany,14.8,18.5,0.0,3.8,8.7,,,ESE,ESE,11.0,20.0,46.0,48.0,1020.1,1017.9,8.0,3.0,16.9,17.7,No,0.0,No
6,2008-12-07,Albany,14.0,20.0,0.0,6.0,12.8,,,ENE,ESE,7.0,31.0,62.0,72.0,1013.4,1007.9,2.0,2.0,18.0,19.5,No,0.0,No
7,2008-12-08,Albany,16.3,19.6,0.0,7.0,8.4,,,SW,WSW,20.0,31.0,68.0,55.0,1008.2,1008.0,5.0,3.0,18.3,18.7,No,0.0,No
8,2008-12-09,Albany,10.8,19.4,0.0,4.4,7.4,,,NNW,SSE,6.0,13.0,71.0,66.0,1010.5,1010.3,2.0,6.0,17.0,17.8,No,14.4,Yes
9,2008-12-10,Albany,13.6,19.2,14.4,4.4,4.7,,,ENE,SE,6.0,20.0,84.0,69.0,1013.1,1013.0,8.0,6.0,14.9,18.8,Yes,0.2,No
10,2008-12-11,Albany,14.6,19.7,0.2,2.2,12.1,,,ESE,ESE,22.0,20.0,71.0,67.0,1016.3,1015.1,5.0,3.0,18.5,18.9,No,0.2,No
11,2008-12-12,Albany,14.6,21.0,0.2,6.2,8.7,,,SW,SW,17.0,30.0,72.0,64.0,1018.1,1016.6,8.0,1.0,17.7,19.6,No,0.2,No
12,2008-12-13,Albany,16.5,21.3,0.2,5.8,8.9,,,W,WSW,4.0,31.0,90.0,82.0,1020.0,1019.1,8.0,6.0,18.0,21.0,No,0.0,No
13,2008-12-14,Albany,14.6,22.5,0.0,4.2,13.0,,,NE,N,6.0,22.0,72.0,75.0,1018.9,1015.6,0.0,0.0,19.5,20.8,No,0.0,No
14,2008-12-15,Albany,17.5,20.6,0.0,8.0,2.1,,,S,S,24.0,19.0,81.0,77.0,1012.4,1013.3,8.0,8.0,18.5,19.5,No,0.8,No
15,2008-12-16,Albany,14.0,18.8,0.8,4.2,5.9,,,N,S,9.0,19.0,87.0,69.0,1017.6,1016.9,7.0,7.0,14.9,17.7,No,0.2,No
16,2008-12-17,Albany,14.5,19.0,0.2,4.0,2.5,,,W,SW,6.0,28.0,69.0,64.0,1018.3,1018.3,7.0,5.0,17.2,18.0,No,0.0,No
17,2008-12-18,Albany,12.0,21.0,0.0,4.2,13.2,,,ENE,SE,6.0,33.0,85.0,60.0,1019.1,1014.8,2.0,1.0,17.0,20.0,No,0.0,No
18,2008-12-19,Albany,15.8,22.0,0.0,6.8,13.1,,,ESE,SSE,19.0,19.0,76.0,78.0,1010.6,1007.7,4.0,3.0,20.2,21.1,No,0.2,No
