,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,Ballarat,5.8,17.6,3.2,,,W,52.0,W,WNW,26.0,30.0,71.0,37.0,1008.2,1007.5,6.0,,10.4,15.7,Yes,0.4,No
1,2008-12-02,Ballarat,4.3,19.5,0.4,,,WNW,44.0,WNW,WNW,20.0,24.0,66.0,47.0,1009.3,1007.3,6.0,8.0,12.5,17.6,No,0.6,No
2,2008-12-03,Ballarat,9.5,18.8,0.6,,,W,43.0,WSW,SW,22.0,20.0,82.0,42.0,1009.5,1011.5,4.0,8.0,11.2,16.5,No,0.2,No
3,2008-12-04,Ballarat,6.7,21.8,0.2,,,NNE,39.0,ENE,N,9.0,22.0,60.0,33.0,1016.2,1012.6,4.0,,14.4,20.6,No,1.2,Yes
4,2008-12-05,Ballarat,13.3,25.6,1.2,,,NW,61.0,NNW,NW,30.0,39.0,74.0,40.0,1006.6,1005.5,6.0,1.0,18.3,24.3,Yes,0.0,No
5,2008-12-06,Ballarat,9.6,23.0,0.0,,,WNW,61.0,WNW,WNW,15.0,39.0,76.0,42.0,1009.6,1005.7,6.0,6.0,13.8,20.8,No,0.0,No
6,2008-12-07,Ballarat,4.6,16.4,0.0,,,SW,39.0,SW,SW,20.0,24.0,71.0,42.0,1012.3,1012.1,4.0,4.0,9.6,15.6,No,0.2,No
7,2008-12-08,Ballarat,2.9,23.1,0.2,,,NW,43.0,SSE,WSW,17.0,7.0,64.0,30.0,1014.0,1010.5,4.0,,9.7,20.6,No,0.0,No
8,2008-12-09,Ballarat,5.3,17.6,0.0,,,S,35.0,NW,SSE,9.0,19.0,55.0,87.0,1007.5,1006.4,8.0,8.0,13.2,12.4,No,5.0,Yes
9,2008-12-10,Ballarat,8.3,18.3,5.0,,,SE,50.0,SSE,SE,28.0,22.0,71.0,43.0,1011.8,1010.9,6.0,,10.6,18.1,Yes,0.0,No
10,2008-12-11,Ballarat,6.9,23.8,0.0,,,SSE,54.0,SE,SSE,28.0,26.0,67.0,28.0,1013.8,1011.0,0.0,,12.2,22.9,No,0.0,No
11,2008-12-12,Ballarat,12.1,19.6,0.0,,,SE,41.0,NE,E,24.0,11.0,47.0,97.0,1006.2,1002.2,8.0,8.0,18.8,15.3,No,53.6,Yes
12,2008-12-13,Ballarat,13.1,13.9,53.6,,,SW,63.0,SSW,SW,26.0,39.0,99.0,99.0,990.5,996.5,8.0,8.0,13.5,13.0,Yes,11.0,Yes
13,2008-12-14,Ballarat,10.0,16.2,11.0,,,SSW,46.0,SSW,SW,19.0,26.0,99.0,71.0,1005.8,1007.5,8.0,7.0,11.0,15.0,Yes,1.4,Yes
14,2008-12-15,Ballarat,8.3,18.7,1.4,,,W,37.0,SW,WNW,17.0,20.0,72.0,50.0,1012.3,1011.2,8.0,4.0,9.2,16.9,Yes,0.0,No
15,2008-12-16,Ballarat,7.9,19.1,0.0,,,W,35.0,W,W,15.0,24.0,84.0,57.0,1012.5,1011.6,7.0,,13.4,17.9,No,1.8,Yes
16,2008-12-17,Ballarat,10.3,20.1,1.8,,,ESE,31.0,S,WSW,7.0,7.0,91.0,64.0,1012.3,1008.8,7.0,8.0,12.3,18.7,Yes,0.6,No
17,2008-12-18,Ballarat,11.1,19.2,0.6,,,SSW,48.0,SW,WSW,15.0,22.0,86.0,49.0,1005.6,1005.1,7.0,6.0,13.6,18.8,No,1.4,Yes
18,2008-12-19,Ballarat,6.3,16.9,1.4,,,SSW,52.0,SSW,SSW,26.0,26.0,69.0,41.0,1014.1,1014.6,6.0,1.0,8.9,16.3,Yes,0.0,No
19,2008-12-20,Ballarat,5.5,21.4,0.0,,,SSE,37.0,SSE,SE,22.0,20.0,76.0,44.0,1020.4,1018.0,6.0,,11.6,20.6,No,0.0,No
20,2008-12-21,Ballarat,6.8,26.7,0.0,,,N,46.0,NNE,N,20.0,28.0,44.0,32.0,1017.6,1013.8,1.0,,19.2,25.2,No,0.0,No
21,2008-12-22,Ballarat,18.8,32.2,0.0,,,NNW,72.0,N,NNW,44.0,41.0,39.0,21.0,1007.6,1004.2,6.0,2.0,22.3,30.2,No,0.0,No
22,2008-12-23,Ballarat,10.5,20.1,0.0,,,SSW,44.0,SSW,S,26.0,24.0,90.0,52.0,1013.2,1012.7,8.0,4.0,11.2,18.0,No,0.2,No
23,2008-12-24,Ballarat,7.2,24.8,0.2,,,SW,33.0,SE,WSW,15.0,17.0,68.0,27.0,1013.2,1011.3,2.0,,12.8,24.0,No,0.0,No
24,2008-12-25,Ballarat,8.8,25.5,0.0,,,WSW,37.0,SE,SSW,13.0,9.0,61.0,32.0,1014.2,1012.3,2.0,,15.9,22.7,No,0.0,No
