,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,Cairns,25.2,32.3,0.4,4.0,6.4,NE,31.0,E,ENE,7.0,13.0,62.0,66.0,1011.3,1008.1,5.0,7.0,31.2,30.7,No,8.4,Yes
1,2008-12-02,Cairns,24.2,32.3,8.4,6.6,5.3,NE,35.0,S,NE,11.0,13.0,75.0,62.0,1011.9,1008.0,7.0,7.0,29.0,31.1,Yes,0.6,No
2,2008-12-03,Cairns,23.9,32.8,0.6,5.6,11.3,SSE,31.0,SSE,E,17.0,20.0,69.0,42.0,1012.2,1009.9,7.0,5.0,29.1,31.6,No,0.0,No
3,2008-12-04,Cairns,22.2,33.6,0.0,9.6,12.3,SE,39.0,SSE,ESE,19.0,24.0,60.0,31.0,1013.3,1010.9,2.0,1.0,29.6,32.5,No,0.0,No
4,2008-12-05,Cairns,23.2,33.5,0.0,11.6,11.8,SE,43.0,SSE,ESE,22.0,26.0,64.0,56.0,1013.8,1011.0,4.0,2.0,29.7,32.2,No,0.0,No
5,2008-12-06,Cairns,24.7,33.4,0.0,8.4,10.6,NE,33.0,SE,NE,15.0,20.0,64.0,67.0,1012.7,1009.2,1.0,2.0,30.8,31.5,No,0.0,No
6,2008-12-07,Cairns,23.9,32.0,0.0,8.0,9.2,NNE,28.0,NW,NE,7.0,17.0,70.0,73.0,1010.9,1007.1,2.0,3.0,29.3,30.6,No,0.0,No
7,2008-12-08,Cairns,26.6,33.2,0.0,8.0,7.2,NNE,30.0,NW,NNE,13.0,15.0,65.0,69.0,1009.8,1005.8,6.0,4.0,31.3,31.7,No,4.6,Yes
8,2008-12-09,Cairns,26.1,32.8,4.6,4.8,7.1,NNE,28.0,NE,N,9.0,13.0,72.0,77.0,1009.5,1006.9,7.0,7.0,30.8,30.2,Yes,0.2,No
9,2008-12-10,Cairns,26.0,32.6,0.2,5.8,4.0,ENE,28.0,ESE,NNE,15.0,11.0,80.0,72.0,1009.9,1007.5,7.0,7.0,28.9,29.5,No,0.4,No
10,2008-12-11,Cairns,25.3,32.9,0.4,5.4,12.0,ENE,33.0,ENE,NE,15.0,22.0,64.0,57.0,1010.6,1006.6,3.0,4.0,30.4,31.4,No,0.0,No
11,2008-12-12,Cairns,22.9,33.3,0.0,8.6,8.4,ENE,31.0,SSE,S,19.0,15.0,55.0,57.0,1010.5,1007.6,1.0,5.0,30.4,31.5,No,0.0,No
12,2008-12-13,Cairns,24.7,33.0,0.0,8.0,12.1,NNE,30.0,SE,NE,9.0,15.0,63.0,68.0,1009.5,1006.3,3.0,1.0,30.9,31.1,No,0.0,No
13,2008-12-14,Cairns,26.5,34.1,0.0,8.0,10.5,N,37.0,WNW,NNE,15.0,20.0,57.0,68.0,1007.2,1003.2,4.0,3.0,32.5,32.3,No,31.8,Yes
14,2008-12-15,Cairns,23.8,32.9,31.8,11.8,7.2,S,35.0,SW,N,4.0,17.0,79.0,74.0,1008.8,1005.0,7.0,5.0,26.3,30.5,Yes,0.2,No
15,2008-12-16,Cairns,25.5,33.9,0.2,5.0,7.0,SSE,41.0,SSE,SE,11.0,19.0,64.0,59.0,1009.8,1007.4,6.0,5.0,30.8,31.5,No,0.0,No
16,2008-12-17,Cairns,25.1,32.6,0.0,7.4,5.5,ENE,37.0,SSE,N,17.0,11.0,64.0,77.0,1011.0,1008.9,4.0,7.0,30.6,28.0,No,3.6,Yes
17,2008-12-18,Cairns,23.8,31.7,3.6,5.0,7.8,SSE,28.0,S,NNE,7.0,13.0,69.0,70.0,1010.7,1007.7,6.0,4.0,28.9,30.2,Yes,0.0,No
18,2008-12-19,Cairns,25.3,32.4,0.0,4.2,1.6,N,24.0,W,NE,9.0,9.0,71.0,69.0,1008.6,1006.8,7.0,7.0,28.7,29.9,No,0.0,No
19,2008-12-20,Cairns,25.2,32.1,0.0,4.4,3.8,N,26.0,NW,NNE,9.0,15.0,70.0,72.0,1008.4,1006.6,7.0,7.0,30.2,31.1,No,0.0,No
20,2008-12-21,Cairns,23.0,33.1,0.0,4.8,9.8,NE,35.0,SSE,NE,13.0,24.0,68.0,63.0,1009.8,1007.3,5.0,2.0,29.5,32.4,No,0.2,No
21,2008-12-22,Cairns,25.3,33.4,0.2,7.4,10.7,E,35.0,ESE,NNE,15.0,17.0,63.0,56.0,1011.1,1009.3,5.0,2.0,30.6,31.8,No,10.8,Yes
22,2008-12-23,Cairns,24.1,32.3,10.8,7.6,4.8,,,SSE,ESE,17.0,28.0,79.0,60.0,1011.7,1008.8,7.0,6.0,26.9,30.0,Yes,0.0,No
