,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-03-05,Dartmoor,,21.7,,3.0,7.8,SW,48.0,,,,,,,,,,,,,,0.8,No
1,2009-03-06,Dartmoor,8.2,17.6,0.8,3.0,0.0,W,26.0,,W,0.0,19.0,86.0,68.0,1018.2,1016.7,,,12.7,16.7,No,0.8,No
2,2009-03-07,Dartmoor,10.1,19.9,0.8,1.2,5.8,SSW,41.0,WNW,SSW,9.0,24.0,98.0,52.0,1017.8,1018.1,,,12.8,18.0,No,0.2,No
3,2009-03-08,Dartmoor,8.8,20.5,0.2,3.6,7.4,SE,41.0,SE,ESE,13.0,26.0,68.0,54.0,1021.9,1020.9,,,14.1,19.8,No,0.0,No
4,2009-03-09,Dartmoor,8.0,23.9,0.0,4.0,11.2,SSE,39.0,SE,SE,17.0,22.0,82.0,47.0,1021.7,1019.1,,,13.0,23.0,No,0.0,No
5,2009-03-10,Dartmoor,12.9,27.6,0.0,4.2,4.9,ESE,44.0,ESE,SE,22.0,24.0,86.0,44.0,1020.4,1017.8,,,16.7,27.2,No,0.0,No
6,2009-03-11,Dartmoor,14.1,29.7,0.0,3.0,4.6,NW,44.0,ESE,NE,17.0,20.0,91.0,42.0,1019.7,1016.2,,,17.0,27.8,No,19.0,Yes
7,2009-03-12,Dartmoor,15.8,28.1,19.0,5.0,10.5,SW,35.0,,NW,0.0,19.0,90.0,51.0,1015.6,1014.1,,,18.8,27.9,Yes,0.0,No
8,2009-03-13,Dartmoor,14.3,29.4,0.0,4.0,8.7,SW,31.0,S,WNW,7.0,11.0,,43.0,1015.9,1013.6,,,16.5,27.6,No,14.2,Yes
9,2009-03-14,Dartmoor,14.5,20.1,14.2,6.4,8.1,W,72.0,W,WSW,17.0,44.0,93.0,81.0,1008.8,1009.5,,,15.0,12.7,Yes,9.6,Yes
10,2009-03-15,Dartmoor,9.3,17.8,9.6,4.6,7.8,SW,54.0,WNW,WSW,20.0,33.0,91.0,57.0,1012.3,1012.4,,,11.0,17.2,Yes,3.8,Yes
11,2009-03-16,Dartmoor,10.2,18.0,3.8,3.0,5.9,SW,41.0,WSW,SW,17.0,24.0,94.0,72.0,1014.4,1015.6,,,13.0,16.7,Yes,0.2,No
12,2009-03-17,Dartmoor,11.1,15.9,0.2,3.0,0.0,SSW,31.0,SSW,SSW,9.0,17.0,75.0,74.0,1019.9,1019.7,,,13.5,15.2,No,0.0,No
13,2009-03-18,Dartmoor,5.6,24.8,0.0,1.8,9.5,NNW,33.0,NE,NW,11.0,19.0,91.0,44.0,1016.3,1012.6,,,10.5,23.6,No,0.0,No
14,2009-03-19,Dartmoor,8.0,22.3,0.0,5.2,10.7,SW,33.0,ENE,SW,7.0,15.0,82.0,67.0,1012.3,1012.8,,,12.9,21.2,No,0.0,No
15,2009-03-20,Dartmoor,5.2,23.6,0.0,3.2,10.6,SSW,28.0,,W,0.0,6.0,98.0,50.0,1016.5,1013.5,,,9.7,22.4,No,0.0,No
16,2009-03-21,Dartmoor,7.9,34.6,0.0,3.6,7.5,NW,57.0,,NNW,0.0,31.0,93.0,22.0,1010.1,1006.4,,,12.2,34.3,No,0.4,No
17,2009-03-22,Dartmoor,11.3,18.5,0.4,4.0,1.5,SSW,39.0,S,S,13.0,22.0,92.0,65.0,1015.3,1016.0,,,14.1,17.0,No,0.0,No
18,2009-03-23,Dartmoor,5.1,20.7,0.0,2.8,10.5,SE,35.0,,SSW,0.0,17.0,93.0,56.0,1018.6,1016.8,,,9.5,19.9,No,0.0,No
19,2009-03-24,Dartmoor,7.1,20.6,0.0,3.8,0.2,E,24.0,E,,7.0,0.0,90.0,58.0,1017.6,1014.8,,,11.3,19.5,No,4.8,Yes
20,2009-03-25,Dartmoor,10.5,23.1,4.8,3.0,6.5,SW,30.0,NNE,WSW,6.0,13.0,98.0,68.0,1015.9,1015.1,,,15.7,22.6,Yes,0.0,No
21,2009-03-26,Dartmoor,14.0,20.4,0.0,1.8,7.2,SW,46.0,NW,SW,15.0,31.0,95.0,71.0,1021.0,1023.7,,,15.9,18.6,No,0.2,No
22,2009-03-27,Dartmoor,3.4,19.8,0.2,3.6,9.4,SW,30.0,,SSW,0.0,13.0,97.0,59.0,1028.2,1026.5,,,7.1,18.8,No,0.0,No
23,2009-03-28,Dartmoor,1.8,26.6,0.0,2.6,10.7,WNW,31.0,,NW,0.0,15.0,98.0,30.0,1023.6,1020.6,,,4.6,25.7,No,0.0,No
24,2009-03-29,Dartmoor,,24.3,0.0,4.8,10.5,SE,33.0,NE,SSW,4.0,19.0,90.0,55.0,1022.6,1022.0,,,6.7,23.7,No,0.0,No
25,2009-03-30,Dartmoor,,21.1,0.0,3.0,8.1,ESE,48.0,ESE,SE,26.0,26.0,77.0,56.0,1026.0,1024.5,,,15.1,20.5,No,0.0,No
26,2009-03-31,Dartmoor,,29.0,0.0,3.2,8.1,SSW,31.0,E,WSW,9.0,9.0,99.0,47.0,1022.2,1019.5,,,13.8,27.6,No,0.2,No
27,2009-04-01,Dartmoor,,31.7,0.2,4.0,10.2,N,30.0,,NNW,,11.0,87.0,28.0,1020.5,1018.4,,,13.4,30.9,No,0.0,No
28,2009-04-02,Dartmoor,,33.3,0.0,6.4,8.7,N,43.0,NNE,NW,11.0,24.0,49.0,31.0,1018.1,1015.7,,,21.7,32.1,No,0.2,No
29,2009-04-03,Dartmoor,12.4,20.6,0.2,5.6,5.5,WSW,56.0,WNW,WSW,9.0,35.0,90.0,59.0,1018.7,1017.6,,,12.7,17.8,No,0.0,No
30,2009-04-04,Dartmoor,4.2,16.7,0.0,3.4,1.2,W,30.0,NNE,WSW,6.0,17.0,93.0,62.0,1024.6,1023.8,,,8.7,16.1,No,1.8,Yes
31,2009-04-05,Dartmoor,7.0,17.0,1.8,1.6,5.0,SSW,50.0,WNW,SSW,20.0,28.0,92.0,64.0,1020.5,1021.3,,,14.6,14.9,Yes,1.0,No
32,2009-04-06,Dartmoor,5.7,16.7,1.0,2.6,3.2,SSW,43.0,N,SSW,9.0,30.0,81.0,58.0,1027.8,1027.5,,,11.4,14.8,No,0.4,No
33,2009-04-07,Dartmoor,8.0,17.1,0.4,2.2,5.0,S,33.0,S,SSW,11.0,22.0,88.0,94.0,1031.5,1029.8,,,13.4,14.3,No,1.4,Yes
34,2009-04-08,Dartmoor,6.8,16.2,1.4,1.2,3.6,S,26.0,,S,0.0,20.0,99.0,84.0,1029.1,1026.6,,,10.6,15.3,Yes,0.0,No
35,2009-04-09,Dartmoor,9.6,19.4,0.0,1.2,4.5,SSW,30.0,,W,0.0,11.0,91.0,61.0,1023.4,1019.7,,,12.6,18.9,No,0.2,No
36,2009-04-10,Dartmoor,6.6,21.4,0.2,1.4,5.4,WSW,33.0,,SW,0.0,22.0,95.0,68.0,1021.2,1019.8,,,10.9,18.8,No,0.0,No
37,2009-04-11,Dartmoor,5.6,21.0,0.0,1.6,8.9,SSW,24.0,,SSW,0.0,19.0,96.0,62.0,1024.1,1021.3,,,11.0,19.1,No,0.0,No
38,2009-04-12,Dartmoor,5.4,22.4,0.0,2.0,9.4,SSW,28.0,,WSW,0.0,9.0,99.0,46.0,1023.6,1021.1,,,8.6,21.4,No,0.2,No
39,2009-04-13,Dartmoor,3.4,27.4,0.2,2.6,9.8,NW,35.0,ENE,NW,7.0,20.0,85.0,24.0,1021.5,1016.6,,,11.2,26.7,No,0.0,No
40,2009-04-14,Dartmoor,7.3,21.8,0.0,4.4,8.5,W,48.0,NW,W,15.0,28.0,85.0,50.0,1013.5,1010.3,,,14.4,20.7,No,5.4,Yes
41,2009-04-15,Dartmoor,8.5,15.3,5.4,4.8,7.3,W,87.0,W,W,31.0,22.0,71.0,59.0,1010.1,1011.9,,,11.1,13.8,Yes,0.2,No
42,2009-04-16,Dartmoor,9.2,18.8,0.2,2.2,8.1,NNW,54.0,NNW,W,26.0,31.0,79.0,72.0,1010.2,1009.9,,,13.2,16.8,No,1.2,Yes
43,2009-04-17,Dartmoor,10.0,18.9,1.2,3.0,7.2,W,35.0,NNW,WSW,13.0,17.0,98.0,72.0,1017.1,1017.6,,,13.4,18.7,Yes,1.6,Yes
44,2009-04-18,Dartmoor,9.2,18.7,1.6,1.8,3.7,SW,31.0,,SSW,0.0,17.0,99.0,77.0,1024.3,1023.9,,,14.4,17.3,Yes,0.2,No
45,2009-04-19,Dartmoor,11.2,17.0,0.2,1.4,4.1,SE,37.0,SE,SSE,11.0,24.0,89.0,72.0,1026.5,1024.1,,,14.0,15.7,No,0.0,No
46,2009-04-20,Dartmoor,6.8,22.5,0.0,2.4,8.7,ESE,24.0,E,NW,15.0,7.0,83.0,43.0,1022.8,1019.6,,,13.7,22.2,No,0.2,No
47,2009-04-21,Dartmoor,4.5,24.5,0.2,2.2,6.1,NNW,26.0,,SW,0.0,11.0,91.0,36.0,1022.8,1020.2,,,10.7,24.1,No,0.0,No
48,2009-04-22,Dartmoor,4.7,24.5,0.0,2.6,9.9,NNE,35.0,,N,0.0,17.0,74.0,33.0,1023.0,1019.1,,,12.4,24.1,No,0.0,No
49,2009-04-23,Dartmoor,11.1,23.4,0.0,5.4,0.4,NNE,52.0,NNE,NNE,20.0,26.0,50.0,36.0,1013.4,1008.0,,,17.6,22.9,No,3.2,Yes
50,2009-04-24,Dartmoor,14.7,18.6,3.2,3.4,1.6,N,43.0,N,SW,17.0,20.0,99.0,98.0,998.8,997.4,,,15.2,15.0,Yes,20.6,Yes
51,2009-04-25,Dartmoor,10.8,16.4,20.6,0.6,5.1,NW,72.0,N,W,19.0,35.0,96.0,83.0,998.5,991.5,,,12.1,12.9,Yes,16.8,Yes
52,2009-04-26,Dartmoor,7.0,13.3,16.8,3.6,6.4,W,91.0,W,WSW,33.0,26.0,72.0,87.0,999.4,1004.2,,,10.7,10.7,Yes,6.8,Yes
53,2009-04-27,Dartmoor,5.7,12.6,6.8,1.8,0.8,SW,31.0,NNE,SSW,9.0,13.0,96.0,95.0,1011.3,1011.5,,,8.3,10.9,Yes,1.8,Yes
54,2009-04-28,Dartmoor,3.4,12.8,1.8,1.4,3.4,SSE,31.0,NE,SW,2.0,19.0,92.0,63.0,1022.5,1022.6,,,7.3,11.6,Yes,0.0,No
55,2009-04-29,Dartmoor,3.0,14.6,0.0,1.6,7.0,NE,15.0,,ENE,0.0,6.0,94.0,50.0,1024.2,1022.2,,,5.9,14.0,No,0.0,No
56,2009-04-30,Dartmoor,-1.1,17.6,0.0,1.4,8.7,NW,41.0,NNE,NNW,13.0,22.0,85.0,57.0,1022.6,1018.6,,,6.5,17.1,No,2.2,Yes
57,2009-05-01,Dartmoor,6.5,15.7,2.2,2.4,4.6,NNW,31.0,,SW,0.0,15.0,99.0,66.0,1022.9,1022.7,,,11.3,14.8,Yes,0.2,No
58,2009-05-02,Dartmoor,3.2,17.8,0.2,1.6,6.9,WSW,24.0,NE,WSW,7.0,11.0,93.0,74.0,1028.3,1026.4,,,8.0,15.7,No,0.4,No
59,2009-05-03,Dartmoor,4.4,16.6,0.4,0.8,5.0,SW,20.0,,WNW,0.0,11.0,99.0,76.0,1029.4,1027.6,,,8.8,16.4,No,0.6,No
60,2009-05-04,Dartmoor,8.0,16.4,0.6,1.0,4.1,S,31.0,,SSW,0.0,15.0,99.0,78.0,1031.9,1031.0,,,12.3,16.0,No,1.0,No
61,2009-05-05,Dartmoor,3.3,16.7,1.0,1.2,5.9,S,20.0,,S,0.0,11.0,99.0,68.0,1033.0,1029.8,,,7.0,16.2,No,0.0,No
62,2009-05-06,Dartmoor,4.9,16.2,0.0,1.0,2.9,SW,31.0,ENE,SSW,2.0,22.0,,71.0,1029.9,1027.5,,,,15.6,No,0.6,No
63,2009-05-07,Dartmoor,7.8,16.6,0.6,0.8,3.5,SSW,41.0,WNW,S,11.0,17.0,99.0,83.0,1029.7,1029.0,,,12.5,15.8,No,1.2,Yes
64,2009-05-08,Dartmoor,6.9,15.2,1.2,0.8,1.3,SSW,26.0,,SSW,0.0,17.0,99.0,80.0,1033.2,1030.8,,,9.4,14.2,Yes,0.2,No
65,2009-05-09,Dartmoor,4.8,15.4,0.2,0.8,1.8,SSW,30.0,,S,0.0,15.0,99.0,81.0,1029.8,1027.1,,,10.2,15.0,No,0.2,No
66,2009-05-10,Dartmoor,10.1,14.6,0.2,0.8,0.9,SSE,22.0,SE,S,9.0,11.0,93.0,85.0,1027.3,1024.8,,,12.2,14.1,No,0.2,No
67,2009-05-11,Dartmoor,2.9,16.9,0.2,0.6,4.0,S,20.0,,S,0.0,15.0,99.0,69.0,1025.5,1023.7,,,7.9,15.7,No,0.0,No
68,2009-05-12,Dartmoor,4.0,16.3,0.0,1.2,4.6,SW,24.0,ESE,WNW,4.0,15.0,98.0,68.0,1024.1,1020.7,,,8.0,16.1,No,4.0,Yes
69,2009-05-13,Dartmoor,8.0,15.9,4.0,0.8,4.6,WNW,44.0,WNW,WSW,15.0,20.0,92.0,79.0,1017.9,1015.0,,,11.7,14.0,Yes,2.8,Yes
70,2009-05-14,Dartmoor,9.5,15.3,2.8,1.4,4.4,WNW,48.0,NNW,WNW,15.0,26.0,96.0,88.0,1013.3,1011.2,,,11.8,13.8,Yes,1.0,No
71,2009-05-15,Dartmoor,11.8,16.2,1.0,1.4,0.5,WNW,59.0,WNW,WNW,31.0,30.0,90.0,90.0,1009.9,1008.1,,,14.7,14.5,No,1.8,Yes
72,2009-05-16,Dartmoor,11.5,14.5,1.8,1.0,1.7,SW,46.0,WSW,WSW,24.0,17.0,79.0,72.0,1014.7,1016.8,,,12.2,13.6,Yes,1.4,Yes
73,2009-05-17,Dartmoor,10.6,16.1,1.4,1.2,1.5,W,30.0,NW,SSW,11.0,15.0,96.0,84.0,1022.7,1021.1,,,11.3,15.5,Yes,1.2,Yes
74,2009-05-18,Dartmoor,10.4,13.2,1.2,0.8,0.1,ENE,19.0,,SSE,0.0,7.0,97.0,82.0,1025.0,1022.1,,,11.1,12.9,Yes,0.0,No
75,2009-05-19,Dartmoor,5.3,19.3,0.0,0.4,7.0,E,20.0,E,NNE,9.0,9.0,98.0,63.0,1019.9,1017.6,,,8.7,18.4,No,0.0,No
76,2009-05-20,Dartmoor,8.6,20.4,0.0,0.8,4.7,S,24.0,,SSE,0.0,7.0,94.0,78.0,1021.8,1021.2,,,11.1,18.8,No,0.0,No
