,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,GoldCoast,17.0,30.4,0.0,,,NNW,31.0,NNW,NE,17.0,22.0,52.0,61.0,1013.5,1010.7,,,26.2,28.5,No,0.0,No
1,2008-12-02,GoldCoast,19.0,29.7,0.0,,,NNE,37.0,NNW,NNE,19.0,31.0,55.0,70.0,1013.1,1010.2,,,27.8,26.2,No,0.0,No
2,2008-12-03,GoldCoast,21.3,28.6,0.0,,,NNE,52.0,N,N,24.0,31.0,61.0,74.0,1013.4,1009.8,,,27.8,24.6,No,0.8,No
3,2008-12-04,GoldCoast,20.9,28.7,0.8,,,SE,52.0,ENE,SE,15.0,39.0,65.0,75.0,1014.7,1014.5,,,27.5,23.6,No,0.2,No
4,2008-12-05,GoldCoast,19.7,29.5,0.2,,,NW,43.0,E,SE,11.0,11.0,67.0,83.0,1017.5,1015.2,,,26.0,23.8,No,3.6,Yes
5,2008-12-06,GoldCoast,22.8,34.5,3.6,,,NW,48.0,NW,NW,22.0,17.0,52.0,50.0,1011.2,1006.7,,,29.4,31.9,Yes,15.4,Yes
6,2008-12-07,GoldCoast,22.1,29.1,15.4,,,SSE,54.0,NNW,SSE,17.0,39.0,82.0,75.0,1007.2,1006.2,,,26.0,23.6,Yes,0.2,No
7,2008-12-08,GoldCoast,20.2,27.7,0.2,,,SE,41.0,S,SE,26.0,26.0,64.0,62.0,1013.4,1011.0,,,25.1,25.5,No,1.2,Yes
8,2008-12-10,GoldCoast,,30.3,,,,NNE,41.0,N,NNE,19.0,31.0,58.0,70.0,1011.3,1007.5,,,27.3,26.5,,0.0,No
9,2008-12-11,GoldCoast,23.4,31.0,0.0,,,SSE,50.0,SE,NNE,20.0,30.0,70.0,80.0,1011.1,1006.7,,,26.7,25.5,No,13.2,Yes
10,2008-12-12,GoldCoast,21.5,27.5,13.2,,,S,39.0,S,S,28.0,22.0,99.0,100.0,1014.4,1010.9,,,21.6,22.3,Yes,6.2,Yes
11,2008-12-13,GoldCoast,21.5,32.0,6.2,,,N,41.0,NNW,N,22.0,30.0,63.0,77.0,1006.4,1000.7,,,27.5,26.5,Yes,0.0,No
12,2008-12-14,GoldCoast,23.1,32.9,0.0,,,WNW,61.0,NW,W,35.0,33.0,40.0,27.0,1001.2,999.4,,,29.9,31.3,No,0.0,No
13,2008-12-15,GoldCoast,17.7,30.3,0.0,,,SSE,39.0,W,SSE,22.0,31.0,29.0,48.0,1006.2,1007.0,,,26.8,25.8,No,0.0,No
14,2008-12-16,GoldCoast,17.4,29.6,0.0,,,NNE,33.0,E,NE,11.0,26.0,56.0,53.0,1014.8,1012.3,,,25.5,28.5,No,0.0,No
15,2008-12-17,GoldCoast,18.5,31.0,0.0,,,NNE,37.0,NW,NNE,24.0,31.0,52.0,58.0,1014.3,1010.9,,,27.1,28.9,No,0.0,No
16,2008-12-18,GoldCoast,21.2,30.1,0.0,,,SSW,56.0,NW,N,20.0,33.0,49.0,69.0,1010.6,1005.0,,,27.8,25.7,No,11.0,Yes
17,2008-12-19,GoldCoast,20.8,30.7,11.0,,,S,56.0,NNW,N,28.0,19.0,60.0,71.0,1006.2,1002.4,,,28.3,26.0,Yes,0.0,No
18,2008-12-20,GoldCoast,20.6,26.1,0.0,,,SSE,54.0,SSE,SSE,37.0,37.0,61.0,58.0,1013.8,1013.6,,,25.4,24.6,No,0.0,No
19,2008-12-21,GoldCoast,19.3,26.8,0.0,,,SE,54.0,S,SSE,33.0,39.0,51.0,58.0,1017.9,1016.3,,,24.0,24.0,No,0.0,No
20,2008-12-22,GoldCoast,18.7,27.9,0.0,,,ESE,39.0,S,SE,24.0,30.0,47.0,54.0,1018.7,1015.8,,,24.1,25.8,No,0.0,No
21,2008-12-23,GoldCoast,17.4,29.8,0.0,,,NNE,43.0,NNE,NNE,15.0,33.0,51.0,49.0,1015.2,1011.6,,,26.2,28.0,No,0.0,No
22,2008-12-24,GoldCoast,20.7,30.3,0.0,,,NNE,46.0,NNE,NNE,19.0,37.0,57.0,58.0,1012.1,1008.1,,,27.9,28.4,No,14.2,Yes
23,2008-12-25,GoldCoast,20.6,28.7,14.2,,,NE,31.0,SE,E,19.0,11.0,87.0,74.0,1013.1,1011.7,,,24.5,26.1,Yes,6.8,Yes
24,2008-12-26,GoldCoast,21.5,28.5,6.8,,,NNE,26.0,NE,NNE,17.0,17.0,96.0,73.0,1014.9,1012.8,,,24.0,26.6,Yes,0.0,No
25,2008-12-27,GoldCoast,23.1,29.9,0.0,,,NNE,30.0,NNE,NNE,17.0,26.0,66.0,63.0,1014.0,1010.4,,,27.7,27.5,No,20.0,Yes
26,2008-12-28,GoldCoast,21.3,28.9,20.0,,,NNE,50.0,NW,NNE,17.0,28.0,84.0,66.0,1009.2,1005.9,,,23.3,27.4,Yes,22.8,Yes
27,2008-12-29,GoldCoast,21.6,30.0,22.8,,,WSW,74.0,NE,NNE,17.0,28.0,78.0,73.0,1006.4,1002.7,,,26.2,27.0,Yes,8.2,Yes
28,2008-12-30,GoldCoast,19.1,31.5,8.2,,,NW,35.0,NW,NNE,24.0,26.0,53.0,74.0,1003.8,999.8,,,28.7,27.0,Yes,0.0,No
29,2008-12-31,GoldCoast,20.1,30.3,0.0,,,NW,24.0,NNE,N,11.0,19.0,65.0,72.0,1005.0,1003.4,,,28.4,28.7,No,0.0,No
30,2009-01-01,GoldCoast,21.6,31.0,0.0,,,WNW,50.0,NNE,NNE,13.0,22.0,69.0,82.0,1006.9,1004.6,,,28.8,26.9,No,5.0,Yes
31,2009-01-02,GoldCoast,22.4,28.0,5.0,,,SE,46.0,WSW,SE,13.0,31.0,73.0,81.0,1010.0,1010.0,,,24.5,24.8,Yes,4.0,Yes
32,2009-01-03,GoldCoast,21.5,25.9,4.0,,,SSE,70.0,SSE,SE,46.0,50.0,81.0,72.0,1015.2,1015.0,,,24.0,23.9,Yes,2.4,Yes
33,2009-01-04,GoldCoast,21.9,27.5,2.4,,,SE,56.0,SE,SSE,41.0,33.0,54.0,49.0,1017.3,1014.9,,,25.9,26.3,Yes,0.0,No
34,2009-01-05,GoldCoast,21.7,28.8,0.0,,,SE,41.0,SSE,SE,28.0,30.0,64.0,64.0,1014.4,1012.4,,,27.1,26.9,No,0.0,No
35,2009-01-06,GoldCoast,22.2,29.7,0.0,,,ESE,30.0,SE,ESE,22.0,24.0,61.0,59.0,1013.7,1011.5,,,28.5,27.5,No,0.0,No
36,2009-01-07,GoldCoast,23.8,30.7,0.0,,,E,28.0,ESE,E,19.0,17.0,62.0,57.0,1013.1,1010.5,,,28.6,29.0,No,1.4,Yes
37,2009-01-08,GoldCoast,22.5,27.6,1.4,,,N,22.0,WSW,NNE,11.0,15.0,93.0,75.0,1010.3,1008.4,,,24.0,27.5,Yes,0.2,No
38,2009-01-09,GoldCoast,22.1,29.5,0.2,,,SSE,74.0,S,S,43.0,54.0,64.0,55.0,1011.8,1010.7,,,25.3,27.7,No,0.0,No
39,2009-01-10,GoldCoast,20.5,28.4,0.0,,,S,56.0,SSE,SSE,46.0,39.0,53.0,53.0,1012.5,1010.8,,,25.9,26.8,No,0.8,No
40,2009-01-11,GoldCoast,20.1,28.9,0.8,,,SSE,33.0,SSE,SE,24.0,24.0,60.0,60.0,1012.5,1010.9,,,25.6,26.9,No,0.0,No
41,2009-01-12,GoldCoast,20.2,29.3,0.0,,,SE,39.0,SSE,SE,17.0,22.0,59.0,56.0,1014.6,1013.5,,,27.1,27.6,No,0.0,No
42,2009-01-13,GoldCoast,23.1,29.3,0.0,,,SE,52.0,SE,ESE,33.0,35.0,61.0,61.0,1017.5,1015.9,,,27.3,26.4,No,0.0,No
43,2009-01-14,GoldCoast,21.6,28.5,0.0,,,SE,41.0,ESE,ESE,26.0,24.0,60.0,51.0,1017.4,1015.9,,,25.1,27.5,No,0.0,No
44,2009-01-15,GoldCoast,18.7,31.0,0.0,,,NE,39.0,NE,NE,9.0,33.0,56.0,54.0,1016.1,1013.0,,,28.1,29.3,No,0.0,No
