,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-07-01,Hobart,4.6,12.2,3.0,3.4,6.0,WSW,81.0,NNE,NW,17.0,24.0,72.0,42.0,988.3,992.3,6.0,5.0,6.5,12.1,Yes,16.2,Yes
1,2008-07-02,Hobart,5.1,10.8,16.2,3.6,3.2,W,83.0,NW,SW,24.0,26.0,78.0,60.0,991.7,1002.5,8.0,6.0,6.0,8.5,Yes,3.0,Yes
2,2008-07-03,Hobart,5.5,12.4,3.0,2.0,4.3,SW,100.0,WNW,SW,37.0,39.0,55.0,53.0,1008.7,1015.1,4.0,1.0,10.1,9.3,Yes,1.0,No
3,2008-07-04,Hobart,0.9,10.4,1.0,0.2,8.3,NNW,28.0,NW,N,17.0,9.0,76.0,54.0,1028.9,1028.1,1.0,1.0,3.2,9.6,No,0.0,No
4,2008-07-05,Hobart,0.5,10.0,0.0,1.4,8.1,NNW,28.0,NNW,NW,13.0,15.0,79.0,53.0,1028.2,1025.4,1.0,7.0,2.9,9.7,No,0.0,No
5,2008-07-06,Hobart,1.3,10.0,0.0,1.4,2.7,NNW,41.0,NNW,N,19.0,7.0,77.0,70.0,1021.6,1017.8,7.0,7.0,4.2,9.1,No,0.0,No
6,2008-07-07,Hobart,4.1,15.8,0.0,1.0,5.3,NNW,39.0,NNW,WNW,13.0,4.0,82.0,61.0,1017.2,1015.2,3.0,5.0,7.7,13.8,No,8.4,Yes
7,2008-07-08,Hobart,7.3,14.2,8.4,0.2,3.4,NNW,24.0,N,NNW,7.0,13.0,96.0,72.0,1017.6,1017.2,7.0,2.0,8.3,14.0,Yes,0.4,No
8,2008-07-09,Hobart,5.4,11.4,0.4,0.8,6.0,NW,35.0,NW,N,11.0,13.0,88.0,74.0,1017.8,1012.4,2.0,7.0,7.5,10.7,No,0.6,No
9,2008-07-10,Hobart,5.2,12.9,0.6,4.6,5.2,NNW,44.0,NNW,NW,19.0,20.0,68.0,49.0,998.7,996.5,7.0,2.0,9.0,10.3,No,2.6,Yes
10,2008-07-11,Hobart,3.7,10.0,2.6,0.2,5.0,SW,52.0,NW,SW,20.0,28.0,66.0,52.0,1002.3,1007.4,7.0,2.0,7.1,9.5,Yes,0.2,No
