,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2013-03-01,Katherine,24.7,34.6,0.0,4.0,,WNW,43.0,NW,W,17.0,19.0,74.0,49.0,1008.5,1005.0,7.0,3.0,28.7,34.1,No,0.8,No
1,2013-03-02,Katherine,25.2,31.1,0.8,6.4,,WNW,26.0,WNW,SW,11.0,7.0,88.0,77.0,1008.6,1004.1,8.0,8.0,27.0,29.0,No,0.0,No
2,2013-03-03,Katherine,25.4,35.9,0.0,3.8,,S,48.0,WSW,SW,13.0,15.0,82.0,55.0,1004.1,999.6,6.0,6.0,29.2,35.1,No,81.0,Yes
3,2013-03-04,Katherine,21.6,33.0,81.0,,,W,37.0,NW,WNW,13.0,20.0,95.0,64.0,1005.1,1002.0,8.0,5.0,25.1,31.2,Yes,0.0,No
4,2013-03-05,Katherine,24.9,,0.0,4.0,,NW,30.0,WNW,WNW,13.0,13.0,89.0,61.0,1007.1,1003.8,7.0,3.0,26.9,33.6,No,0.0,No
5,2013-03-06,Katherine,,35.9,0.0,,,NNE,46.0,NNW,WNW,19.0,13.0,,49.0,1008.0,1004.3,,2.0,,35.0,No,0.0,No
6,2013-03-07,Katherine,24.5,35.7,0.0,12.0,,NW,26.0,WNW,W,17.0,11.0,81.0,49.0,1008.4,1004.8,3.0,5.0,28.0,35.0,No,0.0,No
7,2013-03-08,Katherine,25.2,36.5,0.0,6.0,,NNW,39.0,W,N,9.0,9.0,77.0,50.0,1009.3,1004.3,7.0,5.0,28.5,35.2,No,6.6,Yes
8,2013-03-09,Katherine,21.7,32.8,6.6,6.6,,SSE,61.0,ESE,WNW,22.0,13.0,93.0,63.0,1009.8,1003.9,8.0,3.0,22.6,31.4,Yes,0.4,No
9,2013-03-10,Katherine,21.7,35.9,0.4,4.2,,SSW,46.0,W,S,9.0,9.0,85.0,53.0,1007.7,1002.3,7.0,5.0,28.5,34.8,No,6.6,Yes
10,2013-03-11,Katherine,23.4,34.6,6.6,6.0,,SSE,31.0,S,SSE,4.0,15.0,83.0,54.0,1007.1,1003.0,6.0,8.0,27.7,34.5,Yes,0.0,No
11,2013-03-12,Katherine,23.9,34.8,0.0,6.4,,SSW,20.0,,S,0.0,9.0,87.0,47.0,1008.2,1003.6,6.0,3.0,26.8,34.0,No,0.0,No
