,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-07-01,Melbourne,9.5,15.4,2.0,2.8,7.0,W,63.0,W,W,37.0,35.0,60.0,38.0,1006.8,1010.3,1.0,7.0,11.0,14.6,Yes,0.6,No
1,2008-07-02,Melbourne,11.0,14.5,0.6,5.2,4.0,W,63.0,W,WSW,30.0,35.0,66.0,52.0,1013.4,1016.2,7.0,4.0,11.8,13.7,No,1.4,Yes
2,2008-07-03,Melbourne,8.4,14.1,1.4,2.0,0.8,W,39.0,W,W,17.0,24.0,72.0,58.0,1024.8,1024.3,7.0,7.0,10.6,13.9,Yes,0.6,No
3,2008-07-04,Melbourne,9.1,14.5,0.6,1.8,4.2,E,19.0,NNW,N,9.0,7.0,87.0,49.0,1030.2,1029.0,7.0,6.0,10.2,13.1,No,0.0,No
4,2008-07-05,Melbourne,4.3,15.5,0.0,0.8,8.4,N,52.0,N,NNE,24.0,30.0,81.0,52.0,1028.9,1024.9,2.0,5.0,5.5,14.6,No,0.0,No
5,2008-07-06,Melbourne,5.5,15.4,0.0,2.8,3.0,N,74.0,N,NNW,31.0,44.0,68.0,48.0,1023.1,1020.1,6.0,6.0,11.6,14.6,No,0.0,No
6,2008-07-07,Melbourne,11.5,14.3,0.0,3.0,1.0,NNE,57.0,N,N,28.0,22.0,73.0,63.0,1016.3,1012.9,8.0,7.0,12.2,13.3,No,5.0,Yes
7,2008-07-08,Melbourne,6.9,10.4,5.0,1.2,0.3,N,37.0,N,N,13.0,11.0,80.0,71.0,1017.1,1017.0,8.0,7.0,7.3,10.3,Yes,1.2,Yes
8,2008-07-09,Melbourne,3.6,14.8,1.2,0.4,6.5,N,35.0,N,WSW,11.0,17.0,95.0,61.0,1023.1,1019.6,1.0,7.0,4.2,13.1,Yes,3.0,Yes
9,2008-07-10,Melbourne,4.2,13.5,3.0,2.2,7.0,WNW,69.0,N,WNW,15.0,46.0,87.0,33.0,1009.4,1006.7,6.0,3.0,9.0,12.2,Yes,0.2,No
10,2008-07-11,Melbourne,7.4,13.5,0.2,1.8,5.6,WSW,52.0,W,WSW,26.0,26.0,71.0,56.0,1016.3,1018.5,3.0,6.0,9.2,13.0,No,0.0,No
11,2008-07-12,Melbourne,6.6,11.3,0.0,2.0,0.0,N,91.0,N,N,22.0,46.0,68.0,53.0,1023.2,1018.5,7.0,8.0,8.4,10.3,No,0.0,No
12,2008-07-13,Melbourne,8.4,14.3,0.0,3.8,4.2,N,87.0,N,N,33.0,44.0,49.0,55.0,1017.1,1014.4,7.0,4.0,11.3,13.8,No,0.0,No
13,2008-07-14,Melbourne,7.4,18.9,0.0,2.6,9.4,N,54.0,SSW,N,7.0,26.0,78.0,24.0,1017.4,1016.2,1.0,5.0,8.5,17.9,No,0.0,No
14,2008-07-15,Melbourne,8.4,17.6,0.0,2.8,3.4,NNE,39.0,N,N,17.0,24.0,70.0,51.0,1019.9,1018.2,7.0,6.0,10.8,16.1,No,0.0,No
15,2008-07-16,Melbourne,6.2,16.4,0.0,2.6,8.3,N,43.0,N,N,19.0,30.0,86.0,55.0,1022.2,1018.7,1.0,6.0,7.5,14.1,No,0.0,No
16,2008-07-17,Melbourne,7.5,13.6,0.0,1.8,1.0,N,59.0,N,N,35.0,30.0,70.0,47.0,1013.5,1009.2,7.0,7.0,11.4,13.4,No,0.8,No
17,2008-07-18,Melbourne,9.1,12.4,0.8,1.8,2.1,SW,56.0,WNW,WSW,20.0,19.0,87.0,70.0,1008.2,1009.0,8.0,7.0,9.3,11.7,No,1.6,Yes
18,2008-07-19,Melbourne,6.4,14.1,1.6,1.4,1.4,N,72.0,N,N,33.0,43.0,74.0,55.0,1012.5,1009.2,7.0,7.0,8.3,13.0,Yes,0.8,No
19,2008-07-20,Melbourne,8.3,14.0,0.8,4.6,0.1,NNE,63.0,NNE,N,43.0,39.0,63.0,60.0,1004.4,1001.5,8.0,7.0,12.4,13.4,No,13.8,Yes
20,2008-07-21,Melbourne,8.5,13.4,13.8,2.4,4.9,SW,70.0,SSW,SSW,31.0,35.0,78.0,44.0,1011.7,1017.7,7.0,6.0,10.0,11.7,Yes,2.4,Yes
21,2008-07-22,Melbourne,6.2,12.6,2.4,1.6,4.4,SSW,41.0,WSW,SSW,15.0,13.0,78.0,62.0,1029.0,1029.2,6.0,6.0,8.0,12.1,Yes,0.8,No
22,2008-07-23,Melbourne,6.6,11.9,0.8,1.2,1.4,SSE,24.0,,SSE,0.0,17.0,85.0,77.0,1034.1,1031.9,7.0,7.0,8.1,10.8,No,0.0,No
23,2008-07-24,Melbourne,4.2,16.1,0.0,1.0,9.7,NNE,33.0,NNE,N,11.0,17.0,95.0,39.0,1031.2,1026.2,7.0,2.0,5.5,15.1,No,0.0,No
24,2008-07-25,Melbourne,3.8,16.1,0.0,2.0,9.5,NNE,37.0,N,NNE,20.0,24.0,78.0,46.0,1024.8,1020.4,6.0,5.0,5.3,14.8,No,0.0,No
25,2008-07-26,Melbourne,4.7,13.3,0.0,2.0,4.0,N,41.0,N,NNE,24.0,20.0,79.0,54.0,1017.3,1013.7,4.0,7.0,6.6,12.8,No,8.2,Yes
26,2008-07-27,Melbourne,6.6,10.2,8.2,2.0,0.0,S,31.0,WSW,SSW,11.0,13.0,91.0,80.0,1013.5,1012.5,7.0,7.0,7.8,9.9,Yes,1.6,Yes
27,2008-07-28,Melbourne,6.0,13.8,1.6,1.0,8.1,SSE,41.0,WSW,S,9.0,24.0,71.0,61.0,1021.6,1021.4,2.0,4.0,9.2,12.7,Yes,0.0,No
28,2008-07-29,Melbourne,3.4,14.4,0.0,1.2,7.6,N,33.0,N,ESE,11.0,6.0,84.0,45.0,1023.0,1017.6,1.0,7.0,4.8,13.7,No,0.0,No
29,2008-07-30,Melbourne,4.4,15.2,0.0,1.4,7.5,N,56.0,N,NNE,28.0,31.0,76.0,41.0,1015.5,1012.1,1.0,3.0,6.5,14.6,No,0.4,No
30,2008-07-31,Melbourne,6.5,15.4,0.4,3.2,4.7,N,69.0,N,N,41.0,41.0,64.0,46.0,1011.6,1006.9,6.0,6.0,9.7,15.2,No,0.4,No
31,2008-08-01,Melbourne,9.7,14.7,0.4,3.8,5.2,WSW,80.0,NW,WSW,28.0,43.0,70.0,67.0,999.7,1001.5,3.0,7.0,11.8,10.9,No,0.6,No
32,2008-08-02,Melbourne,8.6,15.3,0.6,3.0,6.0,WSW,46.0,W,WSW,19.0,26.0,78.0,55.0,1015.9,1016.1,5.0,6.0,9.8,14.6,No,0.0,No
33,2008-08-03,Melbourne,7.9,14.9,0.0,1.4,5.0,N,52.0,N,N,22.0,30.0,69.0,54.0,1019.2,1015.7,2.0,4.0,10.0,13.7,No,0.2,No
34,2008-08-04,Melbourne,9.7,13.6,0.2,2.8,1.0,NNE,54.0,N,NNE,17.0,26.0,61.0,52.0,1017.7,1018.1,7.0,7.0,11.1,13.4,No,0.2,No
35,2008-08-05,Melbourne,5.6,15.0,0.2,2.0,7.7,SSE,30.0,WSW,S,6.0,20.0,81.0,55.0,1024.4,1022.8,7.0,3.0,8.2,14.8,No,0.0,No
36,2008-08-06,Melbourne,7.2,16.6,0.0,1.8,7.6,NW,35.0,N,NNE,13.0,17.0,89.0,43.0,1021.7,1017.0,7.0,7.0,9.1,15.7,No,0.0,No
37,2008-08-07,Melbourne,6.8,15.4,0.0,1.8,5.7,W,41.0,SSW,S,2.0,15.0,70.0,52.0,1017.6,1017.0,6.0,6.0,9.0,14.5,No,0.4,No
38,2008-08-08,Melbourne,4.4,14.7,0.4,2.2,8.0,NNW,35.0,NNW,NW,19.0,24.0,61.0,41.0,1021.8,1018.9,2.0,6.0,6.8,14.0,No,1.8,Yes
39,2008-08-09,Melbourne,5.3,13.4,1.8,2.8,7.6,NNW,46.0,N,NW,17.0,22.0,73.0,44.0,1021.0,1016.7,1.0,7.0,7.2,12.5,Yes,4.8,Yes
40,2008-08-10,Melbourne,5.6,12.2,4.8,1.6,2.4,SW,70.0,W,WSW,19.0,24.0,83.0,66.0,1013.9,1013.0,8.0,6.0,5.7,9.1,Yes,11.4,Yes
41,2008-08-11,Melbourne,5.1,13.5,11.4,2.0,5.2,WSW,50.0,W,WSW,19.0,30.0,75.0,57.0,1020.1,1019.7,7.0,6.0,8.4,12.0,Yes,0.6,No
42,2008-08-12,Melbourne,7.3,13.2,0.6,1.8,4.5,W,63.0,NNW,W,13.0,26.0,60.0,69.0,1020.2,1019.0,6.0,7.0,9.8,12.6,No,1.6,Yes
43,2008-08-13,Melbourne,5.5,13.0,1.6,2.0,8.4,WSW,46.0,W,W,24.0,31.0,68.0,48.0,1027.1,1025.8,1.0,7.0,7.5,12.6,Yes,0.2,No
44,2008-08-14,Melbourne,7.4,14.1,0.2,1.6,3.7,WSW,56.0,WSW,WSW,31.0,39.0,75.0,65.0,1025.1,1021.7,7.0,7.0,10.2,13.3,No,0.2,No
45,2008-08-15,Melbourne,9.9,14.2,0.2,2.2,1.4,WSW,50.0,WSW,SSE,26.0,19.0,77.0,80.0,1018.5,1015.9,7.0,7.0,11.4,13.1,No,2.2,Yes
46,2008-08-16,Melbourne,8.5,14.3,2.2,3.6,2.5,SSW,52.0,SW,SSW,28.0,28.0,87.0,60.0,1017.6,1018.9,7.0,6.0,9.5,12.8,Yes,4.2,Yes
47,2008-08-17,Melbourne,7.8,12.9,4.2,1.4,2.8,SW,31.0,SW,SSW,24.0,17.0,83.0,56.0,1025.6,1025.3,5.0,7.0,8.6,11.5,Yes,0.4,No
48,2008-08-18,Melbourne,6.7,14.3,0.4,1.4,7.1,SW,41.0,W,SW,24.0,20.0,76.0,55.0,1026.8,1025.9,6.0,6.0,8.9,13.5,No,0.0,No
49,2008-08-19,Melbourne,6.2,15.2,0.0,2.4,6.1,NNW,50.0,N,NW,30.0,28.0,68.0,46.0,1026.8,1023.1,7.0,7.0,9.8,14.9,No,0.0,No
50,2008-08-20,Melbourne,9.7,15.3,0.0,3.0,0.7,NNW,52.0,N,N,30.0,33.0,61.0,43.0,1022.4,1019.2,7.0,7.0,11.8,15.0,No,0.0,No
51,2008-08-21,Melbourne,9.7,9.9,0.0,3.0,0.0,SSW,41.0,W,S,9.0,13.0,74.0,86.0,1018.3,1018.7,8.0,8.0,9.8,8.6,No,14.0,Yes
52,2008-08-22,Melbourne,5.9,12.8,14.0,1.0,5.7,S,46.0,SW,S,17.0,31.0,65.0,55.0,1025.3,1025.7,5.0,7.0,9.4,11.7,Yes,0.6,No
53,2008-08-23,Melbourne,4.8,14.2,0.6,1.6,5.7,WSW,26.0,WSW,SE,19.0,11.0,83.0,59.0,1030.2,1029.1,7.0,7.0,7.5,13.8,No,0.2,No
54,2008-08-24,Melbourne,7.4,14.2,0.2,0.8,0.2,W,20.0,WSW,SSE,17.0,9.0,75.0,46.0,1031.9,1029.8,7.0,6.0,10.5,13.6,No,0.0,No
55,2008-08-25,Melbourne,3.2,14.3,0.0,1.6,5.1,N,37.0,N,N,19.0,26.0,75.0,48.0,1028.1,1023.5,2.0,7.0,6.0,13.3,No,0.0,No
56,2008-08-26,Melbourne,5.9,17.3,0.0,3.2,6.0,W,46.0,N,WSW,28.0,26.0,45.0,32.0,1020.9,1021.1,3.0,5.0,12.1,16.2,No,0.0,No
57,2008-08-27,Melbourne,7.4,15.3,0.0,2.6,5.8,SSW,30.0,WSW,SSW,9.0,19.0,67.0,60.0,1030.3,1029.2,6.0,6.0,10.0,13.5,No,0.0,No
58,2008-08-28,Melbourne,9.3,14.9,0.0,1.6,2.9,SSE,26.0,W,SSE,6.0,13.0,77.0,63.0,1030.5,1027.1,7.0,5.0,10.8,14.0,No,0.4,No
59,2008-08-29,Melbourne,7.3,19.3,0.4,1.4,10.0,N,41.0,N,NNE,19.0,22.0,81.0,32.0,1025.8,1020.9,1.0,3.0,8.9,18.4,No,0.0,No
60,2008-08-30,Melbourne,8.6,18.2,0.0,4.0,1.9,N,80.0,NNE,N,37.0,41.0,51.0,46.0,1015.7,1009.7,7.0,7.0,14.1,16.2,No,0.4,No
61,2008-08-31,Melbourne,13.0,18.6,0.4,2.2,3.6,WNW,72.0,NNW,W,19.0,46.0,68.0,69.0,1007.0,1007.2,7.0,6.0,14.3,11.9,No,0.8,No
62,2008-09-01,Melbourne,8.0,16.4,0.8,4.2,7.8,NW,61.0,NNW,NNW,13.0,33.0,66.0,40.0,1020.0,1018.8,2.0,7.0,10.2,15.4,No,0.8,No
63,2008-09-02,Melbourne,10.1,17.2,0.8,3.8,4.9,N,43.0,N,SSW,11.0,17.0,77.0,55.0,1025.8,1027.2,7.0,7.0,11.5,14.1,No,0.4,No
64,2008-09-03,Melbourne,9.2,15.8,0.4,3.4,10.4,SE,33.0,SE,S,22.0,24.0,46.0,44.0,1035.6,1033.5,2.0,1.0,11.2,15.1,No,0.0,No
65,2008-09-04,Melbourne,5.4,18.5,0.0,3.0,6.5,SSE,30.0,N,ESE,4.0,13.0,78.0,43.0,1034.4,1029.2,7.0,3.0,7.5,17.8,No,0.0,No
66,2008-09-05,Melbourne,7.5,19.0,0.0,2.4,1.2,NNE,37.0,NNE,NNW,17.0,15.0,70.0,36.0,1026.1,1022.1,6.0,7.0,9.9,17.5,No,0.0,No
67,2008-09-06,Melbourne,7.3,18.9,0.0,2.6,7.3,SSE,26.0,WSW,S,7.0,17.0,65.0,45.0,1021.9,1018.4,2.0,4.0,11.7,18.0,No,0.0,No
68,2008-09-07,Melbourne,10.2,17.5,0.0,2.2,5.6,SSW,41.0,W,SSE,15.0,28.0,74.0,67.0,1020.0,1019.0,7.0,7.0,11.6,14.4,No,0.2,No
69,2008-09-08,Melbourne,9.7,15.2,0.2,1.6,6.3,SSE,39.0,SSW,S,19.0,28.0,51.0,47.0,1025.0,1025.2,7.0,5.0,12.1,13.5,No,0.2,No
70,2008-09-09,Melbourne,10.3,14.6,0.2,3.0,0.3,S,30.0,SW,SSE,13.0,17.0,47.0,43.0,1028.2,1025.9,7.0,7.0,11.4,13.9,No,0.0,No
71,2008-09-10,Melbourne,6.0,19.7,0.0,2.2,9.2,N,44.0,N,NNE,7.0,17.0,62.0,29.0,1022.8,1017.2,6.0,1.0,9.4,18.5,No,0.0,No
72,2008-09-11,Melbourne,9.3,18.9,0.0,5.0,5.7,N,67.0,N,N,46.0,39.0,32.0,24.0,1014.8,1009.9,4.0,7.0,14.5,17.3,No,0.0,No
73,2008-09-12,Melbourne,14.0,24.5,0.0,11.4,6.9,N,91.0,N,N,65.0,39.0,36.0,31.0,1004.2,1000.6,6.0,3.0,17.4,23.1,No,0.0,No
74,2008-09-13,Melbourne,16.3,25.5,0.0,6.4,10.7,N,70.0,N,N,43.0,39.0,45.0,27.0,1008.6,1003.7,8.0,0.0,17.9,25.3,No,0.0,No
75,2008-09-14,Melbourne,15.5,18.8,0.0,9.2,6.5,WNW,70.0,WNW,NW,35.0,26.0,42.0,27.0,1001.8,1003.5,1.0,7.0,15.8,16.8,No,0.0,No
