,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,MountGinini,5.2,13.0,0.4,,,,,,,,,,,,,,,,,No,0.4,No
1,2008-12-02,MountGinini,3.0,15.0,0.4,,,,,W,WNW,26.0,24.0,66.0,51.0,,,,,7.1,14.2,No,0.0,No
2,2008-12-03,MountGinini,6.0,15.0,0.0,,,,,W,W,33.0,30.0,58.0,50.0,,,,,9.8,14.2,No,0.0,No
3,2008-12-04,MountGinini,2.0,15.0,0.0,,,,,NNE,N,11.0,15.0,82.0,52.0,,,,,6.9,13.4,No,3.0,Yes
4,2008-12-05,MountGinini,8.0,17.8,3.0,,,,,,,,,,,,,,,,,Yes,0.4,No
5,2008-12-06,MountGinini,9.4,17.0,0.4,,,,,,W,,30.0,,45.0,,,,,,14.8,No,0.0,No
6,2008-12-07,MountGinini,6.0,16.0,0.0,,,,,WSW,W,30.0,24.0,72.0,30.0,,,,,9.5,15.5,No,0.0,No
7,2008-12-08,MountGinini,1.7,16.0,0.0,,,,,,W,,22.0,,45.0,,,,,,14.2,No,0.0,No
8,2008-12-09,MountGinini,6.0,17.9,0.0,,,,,W,W,22.0,17.0,43.0,33.0,,,,,11.0,17.2,No,2.0,Yes
9,2008-12-10,MountGinini,6.5,17.8,2.0,,,,,,NW,,13.0,,64.0,,,,,,15.0,Yes,0.6,No
10,2008-12-11,MountGinini,5.6,13.1,0.6,,,,,,,,,,,,,,,,,No,5.0,Yes
11,2008-12-12,MountGinini,4.9,14.0,5.0,,,,,,ENE,,26.0,,,,,,,,7.9,Yes,46.0,Yes
12,2008-12-13,MountGinini,6.0,13.8,46.0,,,,,WNW,,37.0,,100.0,,,,,,9.1,,Yes,9.0,Yes
13,2008-12-14,MountGinini,2.8,8.0,9.0,,,,,,WSW,,24.0,,100.0,,,,,,5.5,Yes,0.0,No
14,2008-12-15,MountGinini,1.0,15.0,0.0,,,,,S,WSW,11.0,20.0,94.0,68.0,,,,,5.5,13.5,No,0.0,No
15,2008-12-16,MountGinini,2.0,15.0,0.0,,,,,WSW,WSW,20.0,22.0,61.0,70.0,,,,,8.3,12.6,No,0.0,No
16,2008-12-17,MountGinini,7.0,15.0,0.0,,,,,W,SW,17.0,24.0,84.0,100.0,,,,,11.8,7.8,No,12.0,Yes
17,2008-12-18,MountGinini,6.4,14.0,12.0,,,,,,,,,,,,,,,,,Yes,4.0,Yes
18,2008-12-19,MountGinini,2.0,11.8,4.0,,,,,WSW,WSW,20.0,19.0,89.0,58.0,,,,,4.8,10.0,Yes,0.0,No
19,2008-12-20,MountGinini,-1.0,13.0,0.0,,,,,,NE,,11.0,,65.0,,,,,,11.7,No,0.0,No
20,2008-12-21,MountGinini,3.0,15.4,0.0,,,,,ENE,ENE,13.0,11.0,61.0,57.0,,,,,9.6,14.9,No,0.0,No
21,2008-12-22,MountGinini,6.7,20.0,0.0,,,,,,WNW,,19.0,,56.0,,,,,,18.0,No,1.0,No
22,2008-12-23,MountGinini,11.0,19.0,1.0,,,,,NW,WNW,28.0,17.0,100.0,100.0,,,,,11.0,15.4,No,0.4,No
23,2008-12-24,MountGinini,8.0,14.7,0.4,,,,,NNE,N,11.0,11.0,100.0,99.0,,,,,10.0,14.4,No,0.0,No
24,2008-12-25,MountGinini,8.2,20.0,0.0,,,,,,W,,17.0,,42.0,,,,,,19.1,No,0.2,No
25,2008-12-26,MountGinini,11.0,22.0,0.2,,,,,W,WNW,15.0,20.0,53.0,36.0,,,,,14.4,20.6,No,0.0,No
26,2008-12-27,MountGinini,13.0,18.0,0.0,,,,,NNW,WNW,24.0,17.0,72.0,100.0,,,,,15.3,12.5,No,11.0,Yes
27,2008-12-28,MountGinini,10.0,20.0,11.0,,,,,W,,26.0,,100.0,,,,,,11.9,,Yes,0.4,No
28,2008-12-29,MountGinini,10.0,17.0,0.4,,,,,W,,20.0,,74.0,,,,,,13.3,,No,0.0,No
29,2008-12-30,MountGinini,5.0,10.0,0.0,,,,,W,W,37.0,31.0,65.0,100.0,,,,,8.4,5.5,No,2.0,Yes
30,2008-12-31,MountGinini,3.0,14.0,2.0,,,,,WSW,W,20.0,22.0,78.0,53.0,,,,,6.1,13.1,Yes,0.0,No
31,2009-01-01,MountGinini,5.0,16.0,0.0,,,,,W,W,31.0,39.0,76.0,53.0,,,,,9.7,15.3,No,0.0,No
32,2009-01-02,MountGinini,1.0,16.1,0.0,,,,,SW,SW,13.0,15.0,32.0,32.0,,,,,7.1,15.2,No,0.0,No
33,2009-01-03,MountGinini,2.0,18.0,0.0,,,,,,WNW,,15.0,,54.0,,,,,,15.8,No,0.0,No
34,2009-01-04,MountGinini,4.0,22.0,0.0,,,,,NW,WNW,20.0,13.0,88.0,56.0,,,,,11.7,19.7,No,0.0,No
35,2009-01-05,MountGinini,11.0,22.0,0.0,,,,,W,W,24.0,20.0,29.0,30.0,,,,,15.7,21.2,No,0.0,No
36,2009-01-06,MountGinini,14.0,24.6,0.0,,,,,W,W,20.0,24.0,26.0,24.0,,,,,18.3,24.1,No,0.0,No
37,2009-01-07,MountGinini,16.4,26.9,0.0,,,,,,WNW,,26.0,,26.0,,,,,,26.9,No,0.0,No
38,2009-01-08,MountGinini,11.4,21.0,0.0,,,,,,,,,,,,,,,,,No,0.2,No
39,2009-01-09,MountGinini,3.0,14.0,0.2,,,,,E,ENE,15.0,17.0,99.0,59.0,,,,,4.2,12.9,No,0.0,No
40,2009-01-10,MountGinini,2.0,17.0,0.0,,,,,ENE,,17.0,,99.0,,,,,,4.9,,No,0.2,No
41,2009-01-11,MountGinini,4.0,20.0,0.2,,,,,WNW,WNW,11.0,22.0,83.0,54.0,,,,,12.6,18.6,No,7.0,Yes
42,2009-01-12,MountGinini,9.0,22.0,7.0,,,,,WNW,NW,9.0,13.0,79.0,51.0,,,,,14.2,18.6,Yes,0.2,No
43,2009-01-13,MountGinini,9.0,24.0,0.2,,,,,NW,WNW,20.0,20.0,87.0,48.0,,,,,15.5,22.6,No,0.0,No
44,2009-01-14,MountGinini,15.0,26.7,0.0,,,,,WNW,,28.0,,60.0,,,,,,17.8,,No,0.0,No
45,2009-01-15,MountGinini,17.2,26.4,0.0,,,,,,WNW,,20.0,,36.0,,,,,,26.0,No,0.0,No
46,2009-01-16,MountGinini,8.0,19.0,0.0,,,,,,W,,26.0,,27.0,,,,,,17.7,No,0.0,No
47,2009-01-17,MountGinini,3.0,17.0,0.0,,,,,E,,17.0,,46.0,,,,,,6.3,,No,0.0,No
48,2009-01-18,MountGinini,5.0,21.0,0.0,,,,,WSW,,20.0,,48.0,,,,,,11.6,,No,0.0,No
49,2009-01-19,MountGinini,9.0,22.6,0.0,,,,,WNW,,15.0,,50.0,,,,,,14.8,,No,0.0,No
50,2009-01-20,MountGinini,13.6,25.0,0.0,,,,,,NW,,19.0,,61.0,,,,,,19.1,No,15.0,Yes
51,2009-01-21,MountGinini,12.0,23.7,15.0,,,,,WNW,WNW,22.0,17.0,90.0,52.0,,,,,15.0,23.1,Yes,1.0,No
52,2009-01-22,MountGinini,12.2,16.9,1.0,,,,,,NNW,,33.0,,100.0,,,,,,13.8,No,33.0,Yes
53,2009-01-23,MountGinini,12.4,20.0,33.0,,,,,,NNW,,26.0,,100.0,,,,,,17.0,Yes,22.0,Yes
