,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-07-01,Perth,2.7,18.8,0.0,0.8,9.1,ENE,20.0,,E,0.0,7.0,97.0,53.0,1027.6,1024.5,2.0,3.0,8.5,18.1,No,0.0,No
1,2008-07-02,Perth,6.4,20.7,0.0,1.8,7.0,NE,22.0,ESE,ENE,6.0,9.0,80.0,39.0,1024.1,1019.0,0.0,6.0,11.1,19.7,No,0.4,No
2,2008-07-03,Perth,6.5,19.9,0.4,2.2,7.3,NE,31.0,,WNW,0.0,4.0,84.0,71.0,1016.8,1015.6,1.0,3.0,12.1,17.7,No,1.8,Yes
3,2008-07-04,Perth,9.5,19.2,1.8,1.2,4.7,W,26.0,NNE,NNW,11.0,6.0,93.0,73.0,1019.3,1018.4,6.0,6.0,13.2,17.7,Yes,1.8,Yes
4,2008-07-05,Perth,9.5,16.4,1.8,1.4,4.9,WSW,44.0,W,SW,13.0,17.0,69.0,57.0,1020.4,1022.1,7.0,5.0,15.9,16.0,Yes,6.8,Yes
5,2008-07-06,Perth,0.7,15.9,6.8,2.4,9.3,NNE,24.0,ENE,NE,4.0,7.0,86.0,41.0,1032.0,1029.6,0.0,1.0,6.9,15.5,Yes,0.0,No
6,2008-07-07,Perth,0.7,18.3,0.0,0.8,9.3,N,37.0,NE,NNE,15.0,13.0,72.0,36.0,1028.9,1024.2,1.0,5.0,8.7,17.9,No,0.0,No
7,2008-07-08,Perth,3.2,20.4,0.0,1.4,6.9,NNW,24.0,NE,N,9.0,13.0,58.0,42.0,1023.9,1021.1,6.0,5.0,10.2,19.3,No,8.0,Yes
8,2008-07-09,Perth,9.8,19.5,8.0,1.2,2.5,ESE,31.0,,ESE,0.0,9.0,97.0,64.0,1026.4,1024.9,7.0,6.0,12.1,18.7,Yes,4.6,Yes
9,2008-07-10,Perth,11.2,20.4,4.6,2.8,1.7,NNW,46.0,NE,NNE,19.0,11.0,79.0,50.0,1020.2,1014.0,7.0,7.0,13.4,19.0,Yes,2.6,Yes
10,2008-07-11,Perth,13.4,17.1,2.6,2.6,4.2,SW,54.0,SW,SW,26.0,13.0,63.0,77.0,1014.7,1015.2,4.0,7.0,15.4,14.8,Yes,4.4,Yes
11,2008-07-12,Perth,7.9,17.3,4.4,2.2,5.4,SSW,19.0,N,SSW,7.0,9.0,99.0,59.0,1019.0,1018.7,6.0,7.0,9.6,16.2,Yes,0.2,No
12,2008-07-13,Perth,5.3,18.8,0.2,1.0,2.3,N,17.0,NE,W,7.0,7.0,96.0,63.0,1025.1,1024.1,7.0,6.0,9.5,17.2,No,0.0,No
13,2008-07-14,Perth,7.9,19.7,0.0,0.2,6.5,NE,31.0,NE,N,11.0,15.0,86.0,41.0,1026.0,1021.9,6.0,5.0,11.7,18.7,No,0.0,No
14,2008-07-15,Perth,9.0,17.1,0.0,2.2,0.8,NNE,43.0,N,W,22.0,15.0,62.0,90.0,1010.4,1008.1,5.0,8.0,15.8,14.9,No,24.0,Yes
15,2008-07-16,Perth,10.2,17.1,24.0,1.8,6.7,SW,44.0,SW,WSW,19.0,13.0,76.0,54.0,1013.8,1014.8,6.0,3.0,13.2,15.9,Yes,2.6,Yes
16,2008-07-17,Perth,6.7,16.9,2.6,1.2,3.9,WSW,46.0,NE,NNW,9.0,9.0,87.0,75.0,1015.1,1010.1,2.0,7.0,10.5,14.4,Yes,20.6,Yes
17,2008-07-18,Perth,10.4,17.9,20.6,2.0,3.2,NW,76.0,NW,W,22.0,30.0,57.0,50.0,1002.3,1002.2,5.0,6.0,16.8,13.9,Yes,15.2,Yes
