,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,PerthAirport,18.8,37.2,0.0,11.6,13.1,E,56.0,E,ENE,30.0,15.0,48.0,22.0,1011.0,1007.9,0.0,0.0,22.2,35.0,No,0.0,No
1,2009-01-02,PerthAirport,21.9,36.1,0.0,12.8,13.2,E,59.0,NE,W,11.0,20.0,39.0,31.0,1008.7,1007.9,0.0,1.0,27.5,33.9,No,0.0,No
2,2009-01-03,PerthAirport,20.3,34.4,0.0,11.8,12.7,SSW,44.0,S,W,17.0,24.0,57.0,34.0,1012.8,1010.7,4.0,1.0,23.5,33.0,No,0.0,No
3,2009-01-04,PerthAirport,18.5,36.5,0.0,11.2,13.3,SE,39.0,E,E,11.0,13.0,48.0,20.0,1017.1,1013.1,0.0,0.0,22.5,34.9,No,0.0,No
4,2009-01-05,PerthAirport,21.8,37.2,0.0,11.4,13.2,E,57.0,E,W,19.0,22.0,38.0,21.0,1014.7,1010.8,0.0,0.0,25.3,36.4,No,0.0,No
5,2009-01-06,PerthAirport,19.7,36.4,0.0,12.0,13.2,WSW,43.0,ESE,W,15.0,26.0,54.0,35.0,1014.5,1009.7,0.0,0.0,24.6,33.9,No,0.0,No
6,2009-01-07,PerthAirport,18.9,36.3,0.0,12.0,13.2,E,52.0,SE,SSE,15.0,17.0,50.0,23.0,1014.7,1011.1,1.0,1.0,23.1,34.3,No,0.0,No
7,2009-01-08,PerthAirport,20.3,37.2,0.0,10.8,13.2,ESE,41.0,ESE,SSE,15.0,13.0,48.0,24.0,1014.7,1011.4,0.0,0.0,24.2,36.3,No,0.0,No
8,2009-01-09,PerthAirport,19.1,37.1,0.0,12.6,13.3,SW,46.0,SSE,W,13.0,26.0,50.0,32.0,1015.7,1011.4,0.0,1.0,24.4,34.6,No,0.0,No
9,2009-01-10,PerthAirport,20.5,35.7,0.0,11.2,13.1,SW,48.0,ESE,SW,13.0,33.0,43.0,26.0,1013.1,1010.5,1.0,0.0,26.0,33.3,No,0.0,No
10,2009-01-11,PerthAirport,21.2,39.1,0.0,12.0,13.1,SW,41.0,ENE,WSW,20.0,20.0,41.0,15.0,1009.6,1005.4,0.0,0.0,25.6,38.0,No,0.0,No
11,2009-01-12,PerthAirport,13.5,28.4,0.0,11.4,11.3,SW,57.0,SW,WSW,24.0,35.0,54.0,52.0,1007.7,1009.0,1.0,6.0,23.8,26.6,No,0.0,No
12,2009-01-13,PerthAirport,10.3,26.9,0.0,9.4,11.2,SW,48.0,NNE,W,2.0,28.0,60.0,37.0,1017.8,1014.9,6.0,1.0,18.1,25.0,No,0.0,No
13,2009-01-14,PerthAirport,14.6,31.7,0.0,9.6,10.2,W,37.0,ESE,WSW,17.0,22.0,49.0,35.0,1017.5,1014.6,4.0,6.0,21.4,30.0,No,0.0,No
14,2009-01-15,PerthAirport,19.0,39.8,0.0,10.6,13.1,E,72.0,ENE,ESE,35.0,20.0,45.0,16.0,1016.4,1012.0,0.0,0.0,22.7,37.2,No,0.0,No
15,2009-01-16,PerthAirport,22.5,43.0,0.0,13.8,13.1,NE,50.0,NE,WNW,31.0,20.0,12.0,18.0,1011.1,1010.1,0.0,1.0,34.0,37.3,No,0.0,No
16,2009-01-17,PerthAirport,17.9,32.6,0.0,13.2,7.2,W,41.0,SW,SW,9.0,17.0,57.0,31.0,1015.5,1013.9,2.0,7.0,22.1,31.6,No,0.0,No
17,2009-01-18,PerthAirport,21.9,33.5,0.0,8.6,4.8,SSE,46.0,SSE,SSE,15.0,11.0,47.0,31.0,1015.2,1012.0,7.0,7.0,23.9,31.0,No,12.6,Yes
18,2009-01-19,PerthAirport,15.7,30.0,12.6,8.0,13.2,E,72.0,SSE,SSE,17.0,20.0,68.0,39.0,1016.8,1013.9,1.0,1.0,19.5,28.0,Yes,0.0,No
19,2009-01-20,PerthAirport,15.5,30.1,0.0,8.0,13.0,SW,48.0,E,SW,24.0,28.0,51.0,35.0,1018.6,1015.0,0.0,1.0,18.7,28.7,No,0.0,No
20,2009-01-21,PerthAirport,15.4,27.3,0.0,10.0,13.0,SSW,43.0,SSW,SW,17.0,30.0,63.0,42.0,1016.1,1013.5,1.0,4.0,20.1,26.6,No,0.0,No
21,2009-01-22,PerthAirport,18.7,28.7,0.0,8.6,11.1,WSW,43.0,S,WSW,15.0,24.0,67.0,48.0,1013.6,1011.6,7.0,1.0,21.5,28.2,No,0.0,No
22,2009-01-23,PerthAirport,20.0,28.9,0.0,9.0,10.7,SW,39.0,S,SW,20.0,24.0,71.0,50.0,1013.9,1011.7,7.0,1.0,21.8,27.8,No,0.0,No
23,2009-01-24,PerthAirport,13.1,31.0,0.0,7.6,13.0,SW,39.0,W,W,7.0,26.0,62.0,46.0,1013.8,1011.4,0.0,0.0,21.4,28.8,No,0.0,No
24,2009-01-25,PerthAirport,17.0,38.6,0.0,9.6,13.2,WSW,39.0,ESE,W,13.0,15.0,28.0,18.0,1012.4,1008.0,0.0,0.0,25.3,38.0,No,0.0,No
25,2009-01-26,PerthAirport,17.5,30.8,0.0,10.0,13.0,W,37.0,NW,W,6.0,24.0,74.0,54.0,1007.8,1008.3,1.0,1.0,23.6,27.1,No,0.0,No
26,2009-01-27,PerthAirport,17.1,34.5,0.0,8.8,12.6,SSW,48.0,SE,SSW,9.0,20.0,61.0,34.0,1008.2,1004.2,2.0,6.0,23.3,33.8,No,0.0,No
27,2009-01-28,PerthAirport,21.7,31.2,0.0,10.4,6.5,WSW,43.0,SE,SW,11.0,19.0,71.0,51.0,1003.9,1001.2,7.0,4.0,23.3,30.0,No,0.0,No
28,2009-01-29,PerthAirport,19.7,25.6,0.0,7.2,0.3,SSW,33.0,S,SSW,19.0,22.0,72.0,58.0,1008.1,1007.9,7.0,8.0,21.0,24.4,No,0.0,No
29,2009-01-30,PerthAirport,18.9,32.1,0.0,4.0,6.4,WSW,30.0,SE,S,13.0,9.0,69.0,51.0,1010.7,1007.0,8.0,7.0,21.7,29.0,No,0.0,No
30,2009-01-31,PerthAirport,21.6,35.1,0.0,5.6,,,,E,SE,22.0,17.0,62.0,44.0,1008.8,1006.3,3.0,5.0,26.6,33.4,No,0.4,No
31,2009-02-01,PerthAirport,23.3,37.4,0.4,6.4,13.1,SSW,39.0,E,W,19.0,22.0,67.0,40.0,1011.7,1008.8,0.0,1.0,27.5,35.9,No,0.0,No
32,2009-02-02,PerthAirport,21.0,39.1,0.0,10.6,13.1,WSW,39.0,ENE,WSW,19.0,28.0,55.0,36.0,1010.6,1008.4,1.0,1.0,29.7,36.4,No,0.0,No
33,2009-02-03,PerthAirport,18.6,32.7,0.0,10.2,11.9,SW,33.0,SW,W,9.0,22.0,76.0,47.0,1010.5,1008.4,1.0,1.0,23.9,31.3,No,0.0,No
34,2009-02-04,PerthAirport,20.4,33.3,0.0,8.0,13.0,SW,48.0,SSE,SSW,22.0,24.0,62.0,29.0,1012.7,1010.1,1.0,1.0,22.6,32.6,No,0.0,No
35,2009-02-05,PerthAirport,17.3,33.2,0.0,11.2,12.9,ESE,50.0,ESE,WSW,13.0,30.0,51.0,36.0,1011.6,1007.0,0.0,0.0,20.9,30.3,No,0.0,No
36,2009-02-06,PerthAirport,15.2,27.0,0.0,10.6,12.3,SW,56.0,S,SW,26.0,35.0,60.0,36.0,1009.6,1006.5,4.0,2.0,18.4,25.1,No,0.0,No
37,2009-02-07,PerthAirport,9.4,27.3,0.0,9.0,12.7,WSW,46.0,SSE,WSW,13.0,19.0,53.0,29.0,1014.2,1012.6,2.0,0.0,19.5,26.8,No,0.0,No
38,2009-02-08,PerthAirport,15.4,32.9,0.0,9.4,13.0,E,57.0,E,E,28.0,26.0,45.0,22.0,1017.8,1015.0,0.0,0.0,18.6,30.8,No,0.0,No
39,2009-02-09,PerthAirport,17.6,34.6,0.0,12.8,12.9,E,69.0,ENE,E,39.0,30.0,48.0,16.0,1017.6,1014.8,0.0,0.0,20.8,33.7,No,0.0,No
40,2009-02-10,PerthAirport,19.7,36.8,0.0,12.6,11.4,E,65.0,ENE,ENE,37.0,28.0,44.0,14.0,1016.3,1012.9,0.0,3.0,23.1,35.2,No,0.0,No
