,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-02-01,Sydney,19.5,22.4,15.6,6.2,0.0,,,S,SSW,17.0,20.0,92.0,84.0,1017.6,1017.4,8.0,8.0,20.7,20.9,Yes,6.0,Yes
1,2008-02-02,Sydney,19.5,25.6,6.0,3.4,2.7,,,W,E,9.0,13.0,83.0,73.0,1017.9,1016.4,7.0,7.0,22.4,24.8,Yes,6.6,Yes
2,2008-02-03,Sydney,21.6,24.5,6.6,2.4,0.1,,,ESE,ESE,17.0,2.0,88.0,86.0,1016.7,1015.6,7.0,8.0,23.5,23.0,Yes,18.8,Yes
3,2008-02-04,Sydney,20.2,22.8,18.8,2.2,0.0,,,NNE,E,22.0,20.0,83.0,90.0,1014.2,1011.8,8.0,8.0,21.4,20.9,Yes,77.4,Yes
4,2008-02-05,Sydney,19.7,25.7,77.4,,0.0,,,NNE,W,11.0,6.0,88.0,74.0,1008.3,1004.8,8.0,8.0,22.5,25.5,Yes,1.6,Yes
5,2008-02-06,Sydney,20.2,27.2,1.6,2.6,8.6,,,W,ENE,9.0,22.0,69.0,62.0,1002.7,998.6,6.0,6.0,23.8,26.0,Yes,6.2,Yes
6,2008-02-07,Sydney,18.6,26.3,6.2,5.2,5.2,,,W,S,15.0,15.0,75.0,80.0,999.0,1000.3,4.0,7.0,21.7,22.3,Yes,27.6,Yes
7,2008-02-08,Sydney,17.2,22.3,27.6,5.8,2.1,,,S,SE,7.0,15.0,77.0,61.0,1008.3,1007.4,7.0,8.0,18.9,21.1,Yes,12.6,Yes
8,2008-02-09,Sydney,16.4,20.8,12.6,4.8,3.0,,,SSW,W,19.0,9.0,92.0,91.0,1006.4,1007.6,7.0,7.0,17.1,16.5,Yes,8.8,Yes
9,2008-02-10,Sydney,14.6,24.2,8.8,4.4,10.1,,,W,SSE,11.0,20.0,80.0,53.0,1014.0,1013.4,4.0,2.0,17.2,23.3,Yes,0.0,No
10,2008-02-11,Sydney,16.4,23.9,0.0,6.4,8.0,,,WNW,E,9.0,26.0,78.0,53.0,1017.6,1015.3,7.0,8.0,18.9,23.7,No,0.0,No
11,2008-02-12,Sydney,18.9,27.3,0.0,6.8,6.7,,,N,NE,7.0,24.0,68.0,67.0,1010.7,1007.5,7.0,7.0,22.9,24.7,No,14.4,Yes
12,2008-02-13,Sydney,18.4,22.8,14.4,7.0,3.3,,,S,S,24.0,30.0,87.0,70.0,1009.2,1011.7,8.0,7.0,20.9,21.0,Yes,3.0,Yes
13,2008-02-14,Sydney,16.9,24.3,3.0,3.2,8.7,,,SSW,SSE,15.0,19.0,81.0,51.0,1017.2,1016.5,7.0,1.0,18.4,23.3,Yes,0.0,No
14,2008-02-15,Sydney,18.3,24.4,0.0,6.2,8.5,,,SW,SSE,19.0,22.0,80.0,56.0,1020.2,1018.9,7.0,3.0,19.5,23.8,No,0.0,No
15,2008-02-16,Sydney,16.7,24.1,0.0,6.2,8.8,,,WNW,SSE,11.0,26.0,77.0,52.0,1023.0,1022.6,7.0,6.0,19.8,23.3,No,0.0,No
16,2008-02-17,Sydney,19.5,24.8,0.0,7.6,3.2,,,SE,ESE,13.0,24.0,63.0,62.0,1024.7,1023.1,7.0,7.0,21.8,23.4,No,0.0,No
17,2008-02-18,Sydney,18.6,25.3,0.0,4.2,4.5,,,SSE,ENE,13.0,24.0,70.0,59.0,1021.7,1019.4,7.0,6.0,21.2,23.8,No,0.0,No
18,2008-02-19,Sydney,19.0,24.8,0.0,5.2,7.5,,,WNW,E,7.0,17.0,79.0,65.0,1018.0,1015.4,7.0,7.0,20.8,23.4,No,0.0,No
19,2008-02-20,Sydney,18.3,26.4,0.0,4.6,11.1,,,W,E,13.0,22.0,80.0,60.0,1013.4,1010.8,3.0,1.0,21.3,25.2,No,0.0,No
20,2008-02-21,Sydney,20.6,26.8,0.0,6.8,6.4,,,WNW,SE,4.0,15.0,86.0,62.0,1011.4,1009.7,7.0,7.0,22.1,24.9,No,0.4,No
21,2008-02-22,Sydney,19.1,25.4,0.4,4.4,9.4,,,WNW,E,11.0,28.0,77.0,66.0,1009.2,1003.1,4.0,1.0,22.3,24.9,No,0.0,No
22,2008-02-23,Sydney,20.5,26.0,0.0,6.6,12.2,,,WSW,ESE,20.0,24.0,38.0,45.0,1007.4,1007.0,1.0,1.0,22.5,24.0,No,0.0,No
23,2008-02-24,Sydney,16.5,28.3,0.0,8.6,12.0,,,WNW,ESE,11.0,24.0,48.0,40.0,1007.9,1008.0,0.0,0.0,21.2,26.1,No,0.0,No
24,2008-02-25,Sydney,20.5,24.2,0.0,8.6,1.5,,,E,E,15.0,20.0,58.0,54.0,1017.5,1016.9,7.0,7.0,21.6,23.5,No,0.0,No
25,2008-02-26,Sydney,19.3,26.2,0.0,3.6,8.4,,,WSW,E,2.0,28.0,73.0,65.0,1018.3,1015.6,1.0,6.0,23.0,25.8,No,22.2,Yes
26,2008-02-27,Sydney,19.0,29.0,22.2,8.2,3.3,,,,NNE,0.0,15.0,82.0,52.0,1014.1,1010.6,7.0,7.0,21.3,24.7,Yes,4.2,Yes
27,2008-02-28,Sydney,17.9,21.4,4.2,4.2,0.0,,,S,ESE,20.0,9.0,77.0,88.0,1010.0,1010.1,8.0,8.0,20.4,19.2,Yes,33.0,Yes
28,2008-02-29,Sydney,14.7,20.6,33.0,7.0,8.9,,,SW,S,24.0,28.0,65.0,51.0,1015.3,1015.6,5.0,3.0,17.1,19.9,Yes,0.2,No
29,2008-03-01,Sydney,12.8,22.0,0.2,6.2,11.3,,,W,SSE,19.0,31.0,55.0,46.0,1020.9,1020.6,0.0,1.0,15.9,21.2,No,5.4,Yes
30,2008-03-02,Sydney,14.2,23.4,5.4,6.4,7.3,,,W,SE,13.0,17.0,93.0,54.0,1026.2,1025.2,7.0,2.0,15.1,22.4,Yes,0.2,No
31,2008-03-03,Sydney,15.0,23.1,0.2,2.6,11.2,,,W,ENE,15.0,19.0,78.0,57.0,1025.8,1022.5,1.0,1.0,18.2,22.5,No,0.0,No
32,2008-03-04,Sydney,15.5,25.4,0.0,6.8,11.3,,,WNW,E,9.0,19.0,77.0,57.0,1020.5,1018.6,0.0,2.0,18.7,23.8,No,0.0,No
33,2008-03-05,Sydney,18.7,25.8,0.0,6.0,8.7,,,S,ESE,19.0,22.0,72.0,64.0,1024.8,1024.2,6.0,3.0,22.6,24.1,No,0.0,No
34,2008-03-06,Sydney,19.6,26.0,0.0,5.0,10.4,,,N,ENE,11.0,19.0,67.0,65.0,1024.2,1019.8,1.0,1.0,22.1,24.7,No,0.0,No
35,2008-03-07,Sydney,19.9,24.9,0.0,7.6,4.5,,,SSW,SSE,13.0,24.0,83.0,75.0,1021.3,1020.7,5.0,7.0,22.9,23.3,No,17.4,Yes
36,2008-03-08,Sydney,16.5,24.8,17.4,6.0,9.6,,,WNW,E,9.0,22.0,88.0,71.0,1023.4,1022.3,1.0,2.0,18.8,21.5,Yes,0.0,No
37,2008-03-09,Sydney,16.4,24.3,0.0,4.6,10.2,,,W,E,9.0,19.0,82.0,64.0,1025.5,1025.2,1.0,2.0,19.7,23.8,No,0.0,No
38,2008-03-10,Sydney,19.3,26.3,0.0,4.6,10.8,,,WNW,NE,9.0,24.0,76.0,50.0,1025.1,1022.5,1.0,0.0,22.9,25.5,No,0.0,No
39,2008-03-11,Sydney,18.6,26.1,0.0,7.6,11.3,,,ENE,E,2.0,20.0,72.0,58.0,1022.0,1021.4,0.0,0.0,21.9,26.0,No,0.0,No
40,2008-03-12,Sydney,19.3,26.4,0.0,7.0,11.1,,,W,NE,7.0,22.0,77.0,60.0,1021.9,1018.8,1.0,1.0,22.2,25.0,No,0.0,No
41,2008-03-13,Sydney,19.2,26.1,0.0,6.0,10.6,,,WNW,ESE,6.0,20.0,84.0,69.0,1019.7,1019.0,1.0,4.0,22.4,25.3,No,0.0,No
42,2008-03-14,Sydney,18.8,26.0,0.0,5.4,11.0,,,W,ENE,9.0,24.0,84.0,62.0,1022.8,1020.0,3.0,1.0,21.8,25.7,No,0.0,No
43,2008-03-15,Sydney,19.3,26.1,0.0,7.0,11.3,,,NW,ENE,2.0,20.0,80.0,64.0,1022.1,1020.9,1.0,1.0,22.5,25.6,No,0.0,No
44,2008-03-16,Sydney,19.7,25.8,0.0,5.6,10.1,,,W,E,7.0,24.0,81.0,69.0,1024.6,1022.6,2.0,2.0,22.8,24.7,No,0.0,No
45,2008-03-17,Sydney,19.5,25.7,0.0,6.4,10.0,,,WNW,,4.0,,82.0,60.0,1024.8,1022.8,4.0,1.0,22.0,25.4,No,0.0,No
46,2008-03-18,Sydney,19.0,26.7,0.0,8.0,9.7,,,N,ENE,11.0,20.0,73.0,58.0,1023.3,1020.0,0.0,2.0,22.2,25.6,No,0.0,No
47,2008-03-19,Sydney,19.9,26.9,0.0,6.6,6.3,,,SSE,E,7.0,13.0,70.0,60.0,1021.2,1019.4,5.0,7.0,23.9,24.9,No,0.0,No
48,2008-03-20,Sydney,19.7,28.1,0.0,6.0,10.4,,,NNE,NE,6.0,17.0,70.0,58.0,1014.3,1009.6,2.0,2.0,23.5,27.6,No,1.0,No
49,2008-03-21,Sydney,17.7,19.6,1.0,7.0,0.0,,,S,SSW,26.0,22.0,87.0,80.0,1017.3,1018.9,8.0,8.0,17.8,18.4,No,2.2,Yes
50,2008-03-22,Sydney,16.9,23.2,2.2,2.2,0.6,,,ESE,E,24.0,30.0,81.0,60.0,1022.8,1022.2,7.0,7.0,19.6,21.7,Yes,0.4,No
51,2008-03-23,Sydney,16.3,24.8,0.4,4.0,6.1,,,WNW,ESE,9.0,13.0,82.0,57.0,1023.1,1020.6,5.0,6.0,18.5,24.8,No,17.0,Yes
52,2008-03-24,Sydney,18.5,24.3,17.0,2.6,8.0,,,NNW,ENE,7.0,26.0,95.0,72.0,1018.7,1015.3,6.0,2.0,19.9,23.3,Yes,0.4,No
53,2008-03-25,Sydney,19.8,27.5,0.4,6.4,2.5,,,NE,NNW,4.0,17.0,81.0,58.0,1011.1,1006.9,5.0,7.0,21.4,27.0,No,19.0,Yes
54,2008-03-26,Sydney,17.0,27.2,19.0,2.4,10.5,,,,NW,0.0,6.0,76.0,38.0,1008.9,1007.9,1.0,5.0,20.5,27.1,Yes,0.0,No
55,2008-03-27,Sydney,15.0,23.6,0.0,5.8,11.0,,,W,ESE,20.0,19.0,52.0,42.0,1014.7,1013.4,1.0,1.0,17.5,21.8,No,0.0,No
56,2008-03-28,Sydney,15.2,21.7,0.0,2.6,8.3,,,SSW,SE,13.0,17.0,71.0,51.0,1017.1,1016.2,4.0,3.0,18.3,21.2,No,0.2,No
57,2008-03-29,Sydney,14.4,22.9,0.2,4.8,9.3,,,W,E,15.0,15.0,85.0,65.0,1015.4,1011.2,3.0,2.0,16.7,21.7,No,0.0,No
58,2008-03-30,Sydney,13.1,26.8,0.0,4.6,10.9,,,W,WNW,22.0,15.0,61.0,22.0,1013.0,1009.0,0.0,1.0,16.9,25.9,No,0.0,No
59,2008-03-31,Sydney,13.5,25.6,0.0,5.8,10.4,,,WNW,WNW,9.0,17.0,57.0,31.0,1015.0,1012.5,4.0,1.0,16.3,24.9,No,0.0,No
60,2008-04-01,Sydney,13.7,23.9,0.0,6.6,11.0,,,W,ESE,20.0,15.0,55.0,54.0,1023.0,1021.5,1.0,1.0,16.7,23.3,No,0.0,No
61,2008-04-02,Sydney,14.1,28.7,0.0,3.8,10.5,,,W,N,6.0,22.0,75.0,34.0,1019.0,1012.4,1.0,7.0,17.8,28.0,No,0.0,No
62,2008-04-03,Sydney,16.4,22.2,0.0,10.6,9.7,,,SW,WSW,26.0,20.0,42.0,21.0,1009.9,1010.8,6.0,1.0,16.6,21.2,No,0.0,No
63,2008-04-04,Sydney,11.2,22.2,0.0,7.6,10.6,,,W,E,24.0,15.0,47.0,37.0,1020.8,1019.2,1.0,0.0,13.9,21.0,No,0.0,No
64,2008-04-05,Sydney,11.6,22.7,0.0,4.2,10.7,,,WNW,E,13.0,17.0,71.0,50.0,1024.5,1023.4,0.0,1.0,15.2,21.0,No,0.0,No
65,2008-04-06,Sydney,13.1,22.7,0.0,3.6,6.4,,,W,ESE,13.0,20.0,71.0,55.0,1027.2,1024.6,5.0,6.0,17.7,22.1,No,12.0,Yes
66,2008-04-07,Sydney,15.3,22.0,12.0,3.2,4.7,,,SSW,SSE,11.0,15.0,83.0,70.0,1026.3,1024.2,5.0,6.0,18.2,19.8,Yes,9.6,Yes
67,2008-04-08,Sydney,14.6,22.1,9.6,5.4,5.1,,,SE,SE,20.0,17.0,86.0,75.0,1026.5,1024.1,6.0,6.0,17.0,18.9,Yes,22.8,Yes
68,2008-04-09,Sydney,15.6,22.2,22.8,5.4,5.8,,,W,E,13.0,20.0,96.0,62.0,1024.6,1021.4,7.0,5.0,16.3,21.1,Yes,2.2,Yes
69,2008-04-10,Sydney,13.8,22.7,2.2,3.6,10.6,,,W,E,15.0,15.0,77.0,60.0,1022.1,1019.7,5.0,1.0,18.7,21.9,Yes,0.0,No
70,2008-04-11,Sydney,14.1,23.5,0.0,3.2,8.9,,,W,E,15.0,15.0,83.0,61.0,1020.1,1017.5,4.0,2.0,17.1,22.1,No,0.0,No
71,2008-04-12,Sydney,14.0,23.8,0.0,4.0,7.8,,,W,E,11.0,9.0,79.0,59.0,1018.6,1016.0,7.0,4.0,17.6,22.2,No,0.0,No
72,2008-04-13,Sydney,15.1,22.7,0.0,1.8,6.6,,,W,ESE,11.0,4.0,81.0,75.0,1016.4,1013.4,5.0,6.0,17.4,19.7,No,11.0,Yes
73,2008-04-14,Sydney,13.2,18.9,11.0,3.2,5.2,,,SSW,S,19.0,30.0,82.0,64.0,1019.6,1019.2,7.0,3.0,15.9,18.8,Yes,2.8,Yes
74,2008-04-15,Sydney,13.8,19.7,2.8,2.8,1.7,,,SW,S,20.0,22.0,85.0,71.0,1025.4,1023.9,7.0,7.0,15.9,19.0,Yes,1.4,Yes
75,2008-04-16,Sydney,13.8,20.9,1.4,4.6,2.2,,,SSW,SSW,15.0,20.0,78.0,85.0,1026.4,1024.6,7.0,8.0,17.2,16.2,Yes,4.6,Yes
76,2008-04-17,Sydney,14.9,19.7,4.6,1.4,0.8,,,SSW,S,17.0,13.0,91.0,72.0,1025.1,1023.4,7.0,7.0,16.4,19.4,Yes,6.4,Yes
77,2008-04-18,Sydney,15.3,20.0,6.4,3.2,0.3,,,W,SSE,4.0,15.0,94.0,75.0,1025.4,1023.7,8.0,7.0,16.4,19.6,Yes,5.0,Yes
78,2008-04-19,Sydney,15.9,21.4,5.0,4.8,5.0,,,SE,SE,22.0,24.0,51.0,61.0,1027.2,1026.1,6.0,7.0,19.3,19.5,Yes,2.8,Yes
79,2008-04-20,Sydney,15.2,19.1,2.8,4.0,1.3,,,ESE,S,15.0,6.0,79.0,75.0,1026.6,1023.7,7.0,6.0,17.3,18.4,Yes,21.8,Yes
