,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,Walpole,15.7,24.5,0.0,,,ESE,44.0,E,SE,17.0,28.0,73.0,66.0,1016.5,1014.0,,,18.0,23.1,No,0.0,No
1,2009-01-02,Walpole,13.2,25.7,0.0,,,S,35.0,E,S,11.0,13.0,78.0,71.0,1013.4,1011.1,,,20.0,24.7,No,0.0,No
2,2009-01-03,Walpole,17.1,21.8,0.0,,,SE,33.0,SSE,SSE,13.0,15.0,73.0,66.0,1017.0,1016.6,,,19.1,20.7,No,0.0,No
3,2009-01-04,Walpole,12.9,24.9,0.0,,,SE,31.0,ESE,S,4.0,13.0,74.0,53.0,1019.7,1017.4,,,19.8,23.9,No,0.0,No
4,2009-01-05,Walpole,14.3,24.5,0.0,,,SW,31.0,NE,SSE,9.0,15.0,71.0,75.0,1017.5,1015.5,,,20.4,22.4,No,0.0,No
5,2009-01-06,Walpole,17.4,23.3,0.0,,,SE,39.0,SE,SSE,9.0,19.0,73.0,90.0,1018.0,1017.3,,,20.5,18.6,No,0.0,No
6,2009-01-07,Walpole,12.5,23.4,0.0,,,SE,46.0,E,SE,15.0,30.0,68.0,55.0,1020.4,1017.0,,,17.3,22.2,No,0.0,No
7,2009-01-08,Walpole,13.1,25.6,0.0,,,SE,41.0,E,SE,19.0,24.0,75.0,64.0,1020.1,1017.6,,,18.9,24.3,No,0.0,No
8,2009-01-09,Walpole,13.9,25.6,0.0,,,SSE,35.0,E,SSE,15.0,17.0,70.0,67.0,1019.6,1017.0,,,19.9,22.8,No,0.0,No
9,2009-01-10,Walpole,13.3,24.1,0.0,,,SSE,30.0,W,SSE,4.0,17.0,98.0,66.0,1016.1,1015.1,,,15.9,23.2,No,0.0,No
10,2009-01-11,Walpole,13.2,31.3,0.0,,,SSE,30.0,N,SSE,9.0,15.0,84.0,64.0,1011.1,1007.1,,,19.3,25.9,No,0.0,No
11,2009-01-12,Walpole,16.0,22.6,0.0,,,W,41.0,NW,WSW,15.0,17.0,85.0,92.0,1005.5,1008.3,,,21.1,16.7,No,1.0,No
12,2009-01-13,Walpole,13.0,22.2,1.0,,,WSW,33.0,SW,WSW,17.0,15.0,60.0,51.0,1016.3,1016.3,,,18.5,21.0,No,0.0,No
13,2009-01-14,Walpole,11.6,23.5,0.0,,,SSW,33.0,WNW,S,9.0,15.0,74.0,49.0,1019.6,1019.3,,,17.0,22.3,No,0.0,No
14,2009-01-15,Walpole,13.1,29.4,0.0,,,SE,37.0,ENE,SE,17.0,24.0,75.0,50.0,1021.3,1017.2,,,18.9,27.3,No,0.0,No
15,2009-01-16,Walpole,16.9,38.4,0.0,,,NW,41.0,NE,SSE,9.0,13.0,51.0,46.0,1013.3,1009.6,,,25.5,30.9,No,0.0,No
16,2009-01-17,Walpole,17.2,23.8,0.0,,,SSE,33.0,SE,SSE,20.0,17.0,73.0,71.0,1018.3,1017.7,,,21.1,22.8,No,0.0,No
17,2009-01-18,Walpole,16.4,19.9,0.0,,,SE,44.0,SE,SE,19.0,30.0,78.0,70.0,1019.4,1018.9,,,17.4,18.1,No,0.0,No
18,2009-01-19,Walpole,13.5,21.0,0.0,,,SE,41.0,SE,S,17.0,15.0,61.0,50.0,1021.3,1019.3,,,16.7,20.0,No,0.0,No
19,2009-01-20,Walpole,12.3,23.1,0.0,,,WSW,33.0,NW,WNW,15.0,20.0,75.0,70.0,1018.5,1017.4,,,17.5,20.5,No,0.0,No
20,2009-01-21,Walpole,16.3,24.8,0.0,,,W,57.0,NW,W,22.0,30.0,70.0,61.0,1012.9,1011.0,,,19.2,23.6,No,4.2,Yes
21,2009-01-22,Walpole,15.7,23.5,4.2,,,WNW,46.0,WSW,WNW,13.0,28.0,78.0,63.0,1011.7,1010.6,,,19.4,22.4,Yes,1.0,No
22,2009-01-23,Walpole,17.7,23.6,1.0,,,WSW,41.0,W,SW,17.0,19.0,91.0,55.0,1011.4,1012.1,,,18.4,23.0,No,0.2,No
23,2009-01-24,Walpole,11.7,26.5,0.2,,,WNW,28.0,NW,WSW,15.0,17.0,73.0,39.0,1014.8,1013.7,,,17.7,25.1,No,0.0,No
24,2009-01-25,Walpole,17.2,25.6,0.0,,,SE,33.0,SE,SSE,11.0,20.0,72.0,64.0,1016.4,1013.4,,,20.4,24.4,No,0.0,No
25,2009-01-26,Walpole,15.4,25.2,0.0,,,SSW,30.0,,SSW,0.0,17.0,96.0,74.0,1008.6,1008.7,,,18.7,21.7,No,0.0,No
26,2009-01-27,Walpole,14.4,20.9,0.0,,,SE,37.0,ESE,SSE,13.0,20.0,83.0,61.0,1012.9,1011.1,,,17.4,20.2,No,0.0,No
27,2009-01-28,Walpole,16.5,20.1,0.0,,,SSE,33.0,SE,SE,15.0,17.0,70.0,73.0,1008.4,1007.2,,,18.2,18.3,No,0.0,No
28,2009-01-29,Walpole,15.6,22.7,0.0,,,ESE,28.0,SSE,SSE,11.0,15.0,58.0,49.0,1010.2,1010.7,,,20.0,21.9,No,0.0,No
29,2009-01-30,Walpole,12.2,20.9,0.0,,,SSE,35.0,ESE,SE,9.0,19.0,69.0,82.0,1013.8,1012.7,,,19.9,19.4,No,0.0,No
30,2009-01-31,Walpole,16.9,31.3,0.0,,,NE,33.0,E,SE,13.0,19.0,77.0,53.0,1012.4,1009.0,,,20.7,29.4,No,0.0,No
31,2009-02-01,Walpole,18.9,29.1,0.0,,,SE,31.0,N,SSE,7.0,15.0,83.0,65.0,1013.7,1012.1,,,22.4,27.7,No,0.0,No
32,2009-02-02,Walpole,18.7,29.9,0.0,,,SSW,28.0,E,S,11.0,15.0,93.0,60.0,1011.9,1009.0,,,20.8,29.0,No,0.6,No
33,2009-02-04,Walpole,15.5,22.8,,,,S,35.0,SSW,S,24.0,20.0,77.0,55.0,1015.5,1015.8,,,18.1,21.1,,0.0,No
