,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,Williamtown,15.2,34.0,0.0,11.6,9.2,NW,41.0,WNW,SE,17.0,20.0,62.0,36.0,1005.2,1001.5,3.0,6.0,23.7,28.7,No,0.0,No
1,2009-01-02,Williamtown,18.3,24.5,0.0,8.8,9.4,S,54.0,S,E,13.0,30.0,61.0,57.0,1012.1,1011.7,3.0,2.0,21.6,23.4,No,0.4,No
2,2009-01-03,Williamtown,16.8,23.5,0.4,8.4,0.4,NE,37.0,ESE,ENE,19.0,22.0,60.0,58.0,1020.4,1018.4,7.0,7.0,20.1,21.7,No,0.0,No
3,2009-01-04,Williamtown,17.5,27.8,0.0,5.0,12.0,E,50.0,NE,ENE,19.0,35.0,60.0,51.0,1018.4,1014.6,1.0,1.0,22.7,26.4,No,0.0,No
4,2009-01-05,Williamtown,14.8,36.0,0.0,8.6,11.9,ENE,37.0,NNW,ENE,15.0,26.0,67.0,39.0,1013.6,1008.7,2.0,3.0,22.5,33.8,No,0.0,No
5,2009-01-06,Williamtown,18.6,33.7,0.0,9.2,13.0,ENE,39.0,SSE,ESE,13.0,19.0,68.0,49.0,1011.1,1008.1,1.0,1.0,26.3,29.2,No,0.0,No
6,2009-01-07,Williamtown,19.7,35.5,0.0,11.0,5.3,NE,30.0,S,ENE,15.0,19.0,81.0,40.0,1009.9,1005.8,4.0,7.0,24.1,33.8,No,0.0,No
7,2009-01-08,Williamtown,20.7,23.8,0.0,7.8,0.1,SSW,48.0,SSW,S,35.0,24.0,83.0,79.0,1010.3,1011.9,7.0,8.0,21.7,21.8,No,1.4,Yes
8,2009-01-09,Williamtown,17.6,23.0,1.4,8.6,1.9,S,43.0,SE,SSE,24.0,28.0,61.0,51.0,1018.7,1017.6,8.0,6.0,19.1,21.9,Yes,0.0,No
9,2009-01-10,Williamtown,13.3,24.9,0.0,4.2,10.1,ESE,44.0,NE,ESE,7.0,30.0,57.0,46.0,1016.2,1012.8,6.0,6.0,20.6,22.9,No,0.0,No
10,2009-01-11,Williamtown,12.9,27.9,0.0,9.2,11.7,,,NE,ENE,17.0,28.0,56.0,45.0,1013.3,1010.3,2.0,2.0,22.7,26.6,No,0.0,No
11,2009-01-12,Williamtown,16.1,28.2,0.0,8.4,13.0,SE,43.0,ENE,ESE,6.0,31.0,64.0,61.0,1014.4,1014.5,1.0,2.0,24.0,27.1,No,0.0,No
