,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,Witchcliffe,11.9,28.3,0.0,,,SSE,39.0,ESE,SSE,19.0,22.0,66.0,49.0,1015.0,1012.0,,,17.5,27.7,No,0.0,No
1,2009-01-02,Witchcliffe,15.1,28.8,0.0,,,SSE,50.0,SE,SSE,11.0,22.0,65.0,48.0,1012.4,1011.4,,,21.0,27.9,No,0.0,No
2,2009-01-03,Witchcliffe,16.6,24.7,0.0,,,SE,44.0,SE,S,24.0,22.0,66.0,54.0,1016.9,1016.2,,,20.3,23.7,No,0.0,No
3,2009-01-04,Witchcliffe,13.9,29.9,0.0,,,SSE,44.0,SE,SSE,13.0,20.0,62.0,44.0,1020.1,1016.9,,,19.8,29.1,No,0.0,No
4,2009-01-05,Witchcliffe,15.6,30.1,0.0,,,SSE,44.0,SE,SSE,13.0,24.0,71.0,56.0,1017.5,1015.5,,,20.7,26.5,No,0.0,No
5,2009-01-06,Witchcliffe,17.5,26.1,0.0,,,SSE,54.0,SE,SSE,20.0,24.0,66.0,58.0,1018.1,1016.2,,,19.9,23.8,No,0.0,No
6,2009-01-07,Witchcliffe,13.9,27.2,0.0,,,SSE,50.0,ESE,SSE,20.0,28.0,63.0,45.0,1019.0,1015.9,,,18.1,25.2,No,0.0,No
7,2009-01-08,Witchcliffe,13.0,27.3,0.0,,,SSE,48.0,SE,SE,17.0,22.0,69.0,50.0,1018.9,1017.0,,,17.6,26.2,No,0.0,No
8,2009-01-09,Witchcliffe,14.6,28.7,0.0,,,S,39.0,SE,S,13.0,24.0,74.0,47.0,1019.2,1016.9,,,18.7,26.9,No,0.0,No
9,2009-01-10,Witchcliffe,15.6,26.7,0.0,,,S,37.0,SSE,SE,13.0,19.0,99.0,50.0,1016.3,1015.0,,,17.6,26.0,No,0.2,No
