,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,Launceston,9.5,17.9,3.4,15.2,,WNW,57.0,WNW,NW,19.0,28.0,53.0,61.0,1000.6,1000.7,,,12.9,14.1,Yes,4.0,Yes
1,2008-12-02,Launceston,9.4,18.3,4.0,6.0,,WNW,46.0,NW,NW,24.0,28.0,60.0,46.0,1001.4,1000.5,,,14.6,17.3,Yes,1.0,No
2,2008-12-03,Launceston,9.1,18.4,1.0,5.8,,WSW,50.0,NW,WNW,17.0,24.0,62.0,37.0,1002.4,1004.2,,,13.7,16.5,No,0.0,No
3,2008-12-04,Launceston,2.2,19.4,0.0,6.8,,NW,39.0,N,NW,7.0,19.0,56.0,41.0,1017.8,1014.6,,,10.8,18.1,No,4.6,Yes
4,2008-12-05,Launceston,9.6,19.8,4.6,5.6,,NNW,39.0,SE,NNW,7.0,11.0,91.0,89.0,1008.7,1004.2,,,11.2,15.9,Yes,1.0,No
5,2008-12-06,Launceston,10.6,19.3,1.0,,,N,54.0,NNW,NNW,24.0,26.0,71.0,70.0,1003.8,1001.1,,,16.1,16.8,No,0.4,No
6,2008-12-07,Launceston,6.7,20.4,0.4,,,W,37.0,NNW,WNW,17.0,17.0,59.0,37.0,1005.5,1005.3,,,13.4,19.1,No,0.0,No
7,2008-12-08,Launceston,4.3,18.8,0.0,12.6,,NW,43.0,NW,NNW,9.0,24.0,63.0,52.0,1011.8,1008.8,,,12.0,16.9,No,0.8,No
8,2008-12-09,Launceston,10.7,17.5,0.8,6.0,,NNW,39.0,NNW,N,13.0,24.0,93.0,63.0,1005.4,1002.8,,,12.6,16.3,No,0.0,No
9,2008-12-10,Launceston,5.0,19.7,0.0,3.6,,NNW,37.0,SSE,NW,15.0,11.0,46.0,27.0,1013.3,1012.0,,,12.9,18.6,No,0.0,No
10,2008-12-11,Launceston,7.0,21.8,0.0,6.2,,NW,37.0,SE,NNW,7.0,19.0,63.0,41.0,1017.0,1014.9,,,14.7,21.0,No,0.0,No
11,2008-12-12,Launceston,8.3,22.8,0.0,7.0,,SE,65.0,SE,NNE,7.0,19.0,55.0,44.0,1014.0,1008.7,,,16.7,22.2,No,13.6,Yes
12,2008-12-13,Launceston,14.9,15.4,13.6,,,SSE,74.0,SSE,SSE,22.0,39.0,85.0,80.0,997.7,996.0,,,15.3,14.5,Yes,15.0,Yes
13,2008-12-14,Launceston,12.7,18.6,15.0,,,S,56.0,SSE,SSE,30.0,28.0,65.0,58.0,1003.6,1005.3,,,14.9,17.9,Yes,0.0,No
14,2008-12-15,Launceston,5.5,19.8,0.0,12.3,,NW,44.0,W,NNW,4.0,28.0,67.0,62.0,1008.4,1005.3,,,12.6,18.4,No,0.0,No
15,2008-12-16,Launceston,11.4,19.8,0.0,5.2,,NNW,43.0,NNW,NNW,15.0,22.0,62.0,77.0,1006.9,1006.3,,,16.8,16.1,No,0.2,No
16,2008-12-17,Launceston,6.2,20.4,0.2,5.2,,NNW,33.0,ESE,NW,11.0,20.0,61.0,49.0,1010.5,1008.2,,,14.8,19.3,No,0.0,No
17,2008-12-18,Launceston,9.6,19.1,0.0,5.6,,NNW,37.0,WNW,NW,9.0,20.0,58.0,51.0,1005.6,1001.3,,,14.6,17.8,No,2.0,Yes
18,2008-12-19,Launceston,10.1,21.0,2.0,6.6,,S,46.0,SSE,S,30.0,19.0,46.0,37.0,1008.5,1011.1,,,13.7,19.7,Yes,0.0,No
19,2008-12-20,Launceston,6.6,22.6,0.0,,,NNW,35.0,NNW,NW,9.0,17.0,75.0,54.0,1018.9,1016.8,,,15.2,21.8,No,0.0,No
20,2008-12-21,Launceston,11.4,23.4,0.0,,,NW,35.0,NW,NW,11.0,22.0,80.0,51.0,1019.5,1016.3,,,15.9,22.3,No,0.0,No
21,2008-12-22,Launceston,13.1,26.3,0.0,18.6,,NW,46.0,NE,NW,4.0,17.0,64.0,62.0,1009.5,1003.9,,,18.7,21.4,No,0.2,No
22,2008-12-23,Launceston,11.1,27.7,0.2,5.2,,N,48.0,SE,S,7.0,11.0,63.0,24.0,1009.2,1008.6,,,19.3,26.4,No,0.0,No
23,2008-12-24,Launceston,13.1,21.9,0.0,9.8,,NW,41.0,W,NW,6.0,17.0,75.0,52.0,1015.3,1011.5,,,15.0,19.6,No,1.2,Yes
24,2008-12-25,Launceston,12.3,24.3,1.2,4.0,,N,39.0,S,N,7.0,17.0,71.0,33.0,1013.4,1011.2,,,15.3,23.7,Yes,0.0,No
25,2008-12-26,Launceston,10.4,21.4,0.0,7.2,,NW,41.0,WNW,NW,11.0,24.0,76.0,67.0,1011.1,1009.2,,,15.4,17.4,No,0.2,No
26,2008-12-27,Launceston,9.4,25.3,0.2,,,NW,50.0,SE,NNW,6.0,28.0,75.0,50.0,1004.6,999.6,,,15.4,24.2,No,0.0,No
27,2008-12-28,Launceston,15.3,21.8,0.0,,,NNW,52.0,NNW,NNW,28.0,30.0,74.0,81.0,998.1,996.0,,,17.3,17.8,No,0.2,No
