,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,Moree,16.4,38.7,0.0,12.2,9.3,NW,54.0,N,WNW,15.0,28.0,27.0,11.0,1005.5,1003.3,6.0,8.0,28.9,37.4,No,0.0,No
1,2009-01-02,Moree,22.3,30.3,0.0,11.2,3.0,NNE,30.0,NNE,N,19.0,15.0,68.0,40.0,1009.5,1009.0,6.0,7.0,25.2,29.4,No,0.0,No
2,2009-01-03,Moree,21.2,33.3,0.0,6.2,11.7,ENE,46.0,ENE,ENE,22.0,22.0,57.0,31.0,1014.9,1012.2,6.0,5.0,24.5,32.7,No,0.0,No
3,2009-01-04,Moree,16.4,33.5,0.0,11.2,13.3,ENE,39.0,NE,ENE,20.0,20.0,51.0,28.0,1016.9,1012.2,1.0,3.0,22.9,31.9,No,0.0,No
4,2009-01-05,Moree,19.2,34.5,0.0,12.6,13.4,SE,35.0,ENE,S,19.0,11.0,44.0,22.0,1015.1,1010.6,1.0,6.0,24.2,32.9,No,0.0,No
5,2009-01-06,Moree,21.3,36.8,0.0,10.8,12.4,SSE,33.0,NNE,NE,24.0,9.0,54.0,26.0,1013.6,1009.1,1.0,5.0,25.4,34.6,No,0.0,No
6,2009-01-07,Moree,22.2,34.5,0.0,10.0,7.6,NNE,39.0,NNE,N,26.0,7.0,56.0,23.0,1012.7,1008.5,7.0,7.0,25.2,32.5,No,0.0,No
7,2009-01-08,Moree,23.7,36.4,0.0,8.6,7.7,ENE,46.0,NNE,ENE,24.0,9.0,46.0,31.0,1009.6,1007.0,7.0,5.0,26.3,34.3,No,0.0,No
8,2009-01-09,Moree,20.4,34.3,0.0,12.0,6.8,SSW,69.0,E,SE,26.0,7.0,53.0,31.0,1011.2,1008.0,5.0,5.0,26.3,32.1,No,9.2,Yes
9,2009-01-10,Moree,16.0,32.1,9.2,9.8,9.6,SW,76.0,,N,,9.0,51.0,29.0,1012.0,1007.3,2.0,5.0,21.1,30.4,Yes,3.4,Yes
10,2009-01-11,Moree,18.2,33.0,3.4,8.6,11.8,SW,76.0,NNE,NNE,24.0,13.0,56.0,37.0,1011.2,1008.0,1.0,5.0,22.5,30.3,Yes,0.0,No
11,2009-01-12,Moree,21.5,34.6,0.0,8.0,9.8,ENE,41.0,NNE,NE,26.0,11.0,55.0,26.0,1013.3,1010.1,5.0,5.0,25.5,33.7,No,0.0,No
12,2009-01-13,Moree,21.2,35.9,0.0,10.4,13.1,ENE,43.0,ENE,E,19.0,15.0,47.0,19.0,1016.3,1012.3,1.0,3.0,25.4,34.3,No,0.0,No
13,2009-01-14,Moree,19.5,35.0,0.0,13.4,13.2,NE,39.0,NE,NE,24.0,11.0,47.0,24.0,1016.8,1012.7,1.0,1.0,24.3,33.0,No,0.0,No
14,2009-01-15,Moree,20.5,36.1,0.0,12.2,13.2,NNE,43.0,NNE,NNE,30.0,11.0,48.0,24.0,1015.5,1011.4,0.0,1.0,24.4,33.2,No,0.0,No
15,2009-01-16,Moree,21.1,40.1,0.0,12.8,12.9,WSW,48.0,N,NW,22.0,17.0,32.0,15.0,1011.5,1007.6,2.0,3.0,28.1,38.2,No,0.0,No
