,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-01,Newcastle,13.2,,0.0,,,,,NW,NW,6.0,19.0,50.0,24.0,,,3.0,4.0,21.8,30.6,No,0.0,No
1,2008-12-02,Newcastle,,32.2,0.0,,,,,,NE,,19.0,,59.0,,,,0.0,,25.4,No,0.0,No
2,2008-12-03,Newcastle,16.2,32.2,0.0,,,,,N,SE,2.0,2.0,74.0,26.0,,,4.0,4.0,22.2,32.0,No,0.0,No
3,2008-12-04,Newcastle,19.2,24.0,0.0,,,,,SE,SE,22.0,22.0,66.0,61.0,,,7.0,5.0,20.4,23.0,No,0.0,No
4,2008-12-05,Newcastle,18.8,30.2,0.0,,,,,NE,,4.0,,85.0,,,,8.0,,20.0,,No,0.0,No
5,2008-12-06,Newcastle,19.8,34.2,0.0,,,,,NW,NW,4.0,7.0,56.0,39.0,,,6.0,7.0,29.2,31.8,No,0.0,No
6,2008-12-07,Newcastle,19.4,27.8,0.0,,,,,,SE,0.0,6.0,91.0,39.0,,,8.0,4.0,20.8,27.0,No,0.0,No
7,2008-12-08,Newcastle,,26.2,0.0,,,,,,NE,,22.0,,71.0,,,,7.0,,22.2,No,0.0,No
8,2008-12-09,Newcastle,15.6,29.4,0.0,,,,,NE,NW,4.0,19.0,78.0,53.0,,,1.0,3.0,21.2,28.2,No,0.0,No
9,2008-12-10,Newcastle,19.2,26.4,0.0,,,,,SE,,22.0,,63.0,,,,0.0,,25.8,,No,0.0,No
10,2008-12-11,Newcastle,19.4,21.4,0.0,,,,,NE,SE,2.0,9.0,83.0,72.0,,,8.0,8.0,19.6,20.0,No,0.4,No
11,2008-12-12,Newcastle,18.0,22.4,0.4,,,,,NE,NE,4.0,9.0,87.0,96.0,,,8.0,8.0,18.8,18.8,No,29.8,Yes
12,2008-12-13,Newcastle,18.2,31.6,29.8,,,,,,NW,0.0,50.0,95.0,51.0,,,8.0,7.0,22.2,28.8,Yes,1.0,No
13,2008-12-14,Newcastle,18.2,27.2,1.0,,,,,SW,NW,19.0,46.0,55.0,39.0,,,3.0,3.0,22.0,25.4,No,0.0,No
14,2008-12-15,Newcastle,16.6,22.8,0.0,,,,,S,SE,9.0,28.0,42.0,49.0,,,4.0,1.0,20.4,21.8,No,0.0,No
15,2008-12-16,Newcastle,11.6,27.0,0.0,,,,,,NE,0.0,4.0,72.0,51.0,,,0.0,1.0,18.8,26.0,No,0.0,No
16,2008-12-17,Newcastle,14.4,29.0,0.0,,,,,,SE,0.0,7.0,51.0,44.0,,,2.0,1.0,23.2,28.2,No,0.0,No
17,2008-12-18,Newcastle,17.6,34.0,0.0,,,,,SE,SE,4.0,56.0,91.0,34.0,,,2.0,7.0,20.0,31.0,No,1.2,Yes
18,2008-12-19,Newcastle,18.0,26.6,1.2,,,,,,SE,0.0,46.0,71.0,98.0,,,1.0,2.0,22.4,23.0,Yes,0.0,No
19,2008-12-20,Newcastle,17.6,21.6,0.0,,,,,S,SE,19.0,9.0,96.0,96.0,,,6.0,5.0,19.4,20.8,No,0.0,No
20,2008-12-21,Newcastle,12.6,24.2,0.0,,,,,SE,SE,4.0,19.0,96.0,98.0,,,3.0,2.0,20.0,23.6,No,0.0,No
21,2008-12-22,Newcastle,15.2,26.4,0.0,,,,,NE,NE,7.0,19.0,100.0,49.0,,,1.0,1.0,20.6,25.4,No,0.0,No
22,2008-12-23,Newcastle,16.0,31.0,0.0,,,,,NW,,4.0,0.0,62.0,42.0,,,6.0,8.0,21.6,29.0,No,2.0,Yes
23,2008-12-24,Newcastle,18.8,,2.0,,,,,SE,SE,9.0,9.0,81.0,73.0,,,8.0,8.0,20.2,21.0,Yes,0.0,No
24,2008-12-25,Newcastle,,25.6,0.0,,,,,,,,,,,,,,,,,No,0.0,No
25,2008-12-26,Newcastle,19.2,29.4,0.0,,,,,NE,SE,4.0,11.0,87.0,63.0,,,6.0,1.0,21.8,29.0,No,0.0,No
26,2008-12-27,Newcastle,19.2,30.6,0.0,,,,,NE,NE,4.0,19.0,88.0,51.0,,,8.0,8.0,23.4,30.4,No,0.0,No
27,2008-12-28,Newcastle,18.6,31.2,0.0,,,,,NW,,4.0,,74.0,,,,1.0,,23.8,,No,0.0,No
