,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,NorahHead,17.9,28.1,0.0,,,SSW,63.0,NW,NE,9.0,24.0,69.0,69.0,1005.3,1001.7,,,23.7,25.9,No,0.0,No
1,2009-01-02,NorahHead,19.1,23.8,0.0,,,S,69.0,SSE,SE,15.0,28.0,62.0,62.0,1012.5,1012.8,,,22.6,23.0,No,0.0,No
2,2009-01-03,NorahHead,17.1,23.0,0.0,,,NNE,52.0,E,NE,19.0,19.0,61.0,62.0,1021.1,1019.1,,,20.0,22.1,No,0.0,No
3,2009-01-04,NorahHead,19.7,25.0,0.0,,,NE,61.0,NNE,NE,39.0,46.0,70.0,68.0,1018.4,1015.2,,,22.8,23.7,No,0.0,No
4,2009-01-05,NorahHead,18.5,25.9,0.0,,,NNE,48.0,NNE,NE,20.0,35.0,73.0,73.0,1013.4,1009.0,,,22.8,23.7,No,0.0,No
5,2009-01-06,NorahHead,19.8,26.5,0.0,,,N,43.0,S,NE,28.0,20.0,92.0,80.0,1011.8,1008.7,,,20.1,24.3,No,0.0,No
6,2009-01-07,NorahHead,20.0,27.7,0.0,,,S,44.0,S,NNE,24.0,15.0,85.0,82.0,1010.1,1006.3,,,21.9,23.7,No,0.0,No
7,2009-01-08,NorahHead,20.4,22.3,0.0,,,SSE,57.0,S,SSE,35.0,41.0,86.0,81.0,1011.3,1012.3,,,21.0,20.6,No,2.8,Yes
8,2009-01-09,NorahHead,17.5,22.8,2.8,,,SSE,59.0,SSE,SE,43.0,30.0,64.0,59.0,1019.0,1018.3,,,19.3,20.9,Yes,0.0,No
9,2009-01-10,NorahHead,18.4,25.6,0.0,,,NE,50.0,NNE,ENE,19.0,22.0,62.0,51.0,1016.8,1013.8,,,20.9,23.4,No,0.0,No
10,2009-01-11,NorahHead,19.6,27.3,0.0,,,NE,43.0,NNE,ENE,19.0,30.0,69.0,66.0,1013.8,1011.6,,,23.0,24.0,No,1.0,No
11,2009-01-12,NorahHead,19.0,26.2,1.0,,,ENE,31.0,SSW,,13.0,,84.0,,1015.2,,,,22.1,,No,0.2,No
12,2009-01-13,NorahHead,20.1,27.8,0.2,,,NE,54.0,NE,NE,17.0,31.0,75.0,66.0,1019.3,1016.9,,,24.4,25.2,No,0.0,No
13,2009-01-14,NorahHead,19.8,26.7,0.0,,,NE,52.0,NNE,NE,22.0,41.0,78.0,69.0,1015.1,1011.5,,,23.3,25.1,No,0.0,No
14,2009-01-15,NorahHead,20.2,27.7,0.0,,,S,69.0,NNE,,30.0,,79.0,,1009.6,,,,23.7,,No,10.4,Yes
15,2009-01-16,NorahHead,19.0,24.7,10.4,,,SSE,57.0,SSW,ESE,11.0,20.0,78.0,69.0,1012.9,1009.5,,,20.4,23.3,Yes,1.2,Yes
16,2009-01-17,NorahHead,18.0,21.1,1.2,,,SSE,61.0,SSE,SSE,48.0,43.0,65.0,63.0,1019.4,1019.8,,,18.9,20.4,Yes,0.0,No
17,2009-01-18,NorahHead,14.5,23.8,0.0,,,NNE,41.0,SSW,E,11.0,22.0,66.0,54.0,1021.7,1020.1,,,20.1,22.7,No,0.0,No
18,2009-01-19,NorahHead,17.2,26.2,0.0,,,NNE,54.0,NNE,NE,30.0,35.0,65.0,67.0,1019.3,1015.5,,,22.9,24.7,No,0.0,No
19,2009-01-20,NorahHead,18.9,26.7,0.0,,,NE,48.0,NNE,NE,20.0,37.0,74.0,71.0,1014.2,1010.7,,,23.5,25.5,No,0.0,No
20,2009-01-21,NorahHead,21.1,27.6,0.0,,,S,72.0,N,NE,15.0,37.0,77.0,71.0,1012.3,1008.3,,,24.5,25.6,No,2.0,Yes
21,2009-01-22,NorahHead,21.3,29.2,2.0,,,N,69.0,NNW,,19.0,,71.0,,1009.7,,,,25.9,,Yes,0.0,No
22,2009-01-23,NorahHead,21.7,33.2,0.0,,,NNE,41.0,NW,NE,19.0,24.0,61.0,67.0,1009.6,1007.9,,,29.2,26.5,No,0.0,No
23,2009-01-24,NorahHead,21.7,40.4,0.0,,,S,74.0,NW,WNW,17.0,17.0,63.0,30.0,1005.4,1002.9,,,31.0,39.8,No,0.0,No
24,2009-01-25,NorahHead,20.4,23.8,0.0,,,S,65.0,SSE,SSE,31.0,24.0,69.0,68.0,1018.7,1018.1,,,21.4,23.2,No,0.4,No
25,2009-01-26,NorahHead,19.8,23.4,0.4,,,,,SSW,SSW,24.0,26.0,91.0,84.0,1018.6,1018.4,,,20.9,23.1,No,0.0,No
26,2009-01-27,NorahHead,,26.1,0.0,,,SE,31.0,SSW,SSE,13.0,13.0,94.0,,1020.6,1019.6,,,21.7,25.9,No,0.2,No
27,2009-01-28,NorahHead,20.1,28.1,0.2,,,NE,41.0,ENE,NE,6.0,30.0,80.0,70.0,1018.7,1016.3,,,24.2,26.3,No,0.2,No
28,2009-01-29,NorahHead,20.9,29.6,0.2,,,NE,50.0,N,NE,9.0,39.0,81.0,75.0,1018.4,1016.3,,,24.0,26.4,No,0.2,No
29,2009-01-30,NorahHead,20.9,29.3,0.2,,,NE,57.0,NNE,NE,9.0,41.0,76.0,72.0,1018.5,1015.5,,,24.6,26.2,No,0.0,No
30,2009-01-31,NorahHead,20.3,29.0,0.0,,,NNE,56.0,NNE,NE,11.0,33.0,82.0,71.0,1017.4,1014.3,,,23.5,25.9,No,0.2,No
31,2009-02-01,NorahHead,19.7,26.8,0.2,,,NNE,31.0,SSE,E,11.0,20.0,81.0,71.0,1015.7,1015.0,,,23.2,26.1,No,0.0,No
32,2009-02-02,NorahHead,21.1,29.0,0.0,,,NNE,44.0,NNE,NE,9.0,28.0,78.0,73.0,1015.9,1012.4,,,24.5,25.8,No,0.0,No
33,2009-02-03,NorahHead,19.8,26.9,0.0,,,NNE,30.0,NNE,E,19.0,9.0,83.0,70.0,1010.3,1009.2,,,22.2,26.2,No,0.0,No
34,2009-02-04,NorahHead,21.2,26.1,0.0,,,NE,33.0,NW,SSE,17.0,13.0,96.0,82.0,1011.1,1009.4,,,21.8,25.3,No,2.0,Yes
35,2009-02-05,NorahHead,20.6,28.7,2.0,,,NE,52.0,NE,NE,9.0,33.0,85.0,74.0,1009.2,1006.4,,,24.1,25.8,Yes,0.0,No
36,2009-02-06,NorahHead,20.5,28.7,0.0,,,NNE,43.0,NNE,N,6.0,11.0,82.0,73.0,1010.5,1009.0,,,22.4,25.5,No,0.0,No
37,2009-02-07,NorahHead,20.3,25.1,0.0,,,NE,56.0,NNE,NNE,26.0,35.0,82.0,71.0,1013.5,1011.1,,,22.0,24.7,No,0.0,No
38,2009-02-08,NorahHead,18.2,24.8,0.0,,,NNE,50.0,NNE,NNE,22.0,24.0,84.0,73.0,1010.9,1007.8,,,20.4,23.0,No,0.0,No
39,2009-02-09,NorahHead,18.5,21.4,0.0,,,S,44.0,SSW,,17.0,,90.0,85.0,1011.2,1011.0,,,20.1,21.1,No,7.4,Yes
40,2009-02-10,NorahHead,18.3,19.4,7.4,,,S,57.0,SSW,SSW,30.0,31.0,97.0,95.0,1010.9,1009.0,,,18.6,19.2,Yes,13.8,Yes
41,2009-02-11,NorahHead,16.7,21.5,13.8,,,S,56.0,SSW,SSW,24.0,33.0,89.0,82.0,1010.2,1010.3,,,17.0,20.5,Yes,13.8,Yes
42,2009-02-12,NorahHead,16.5,20.5,13.8,,,SE,56.0,SSE,SSE,33.0,30.0,90.0,91.0,1016.4,1018.0,,,17.2,18.8,Yes,16.0,Yes
43,2009-02-13,NorahHead,16.6,21.1,16.0,,,SSE,59.0,E,E,30.0,19.0,89.0,77.0,1024.5,1023.1,,,18.1,20.3,Yes,14.2,Yes
44,2009-02-14,NorahHead,16.9,20.4,14.2,,,SSE,65.0,SE,SE,43.0,37.0,74.0,84.0,1021.6,1017.4,,,19.3,18.8,Yes,26.6,Yes
45,2009-02-15,NorahHead,16.2,21.7,26.6,,,SSE,56.0,S,SSE,26.0,30.0,89.0,90.0,1013.3,1012.8,,,19.5,19.6,Yes,19.2,Yes
46,2009-02-16,NorahHead,18.1,23.3,19.2,,,SE,67.0,SE,SSE,37.0,33.0,77.0,73.0,1016.4,1016.4,,,21.7,22.6,Yes,2.2,Yes
47,2009-02-17,NorahHead,19.1,22.0,2.2,,,SSE,67.0,SE,S,37.0,37.0,75.0,84.0,1015.8,1013.9,,,21.1,21.2,Yes,23.6,Yes
48,2009-02-18,NorahHead,18.8,24.1,23.6,,,S,74.0,W,S,11.0,30.0,88.0,82.0,1010.1,1008.2,,,20.6,22.6,Yes,0.0,No
49,2009-02-19,NorahHead,19.5,28.8,0.0,,,N,33.0,NNW,NE,11.0,24.0,76.0,75.0,1008.4,1005.3,,,23.7,24.2,No,0.0,No
50,2009-02-20,NorahHead,20.8,27.8,0.0,,,ENE,33.0,SSW,E,9.0,22.0,83.0,76.0,1011.6,1010.2,,,22.0,24.9,No,0.0,No
51,2009-02-21,NorahHead,21.4,24.8,0.0,,,ESE,31.0,NE,E,4.0,22.0,89.0,75.0,1012.8,1012.4,,,22.5,23.5,No,0.0,No
