,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,PearceRAAF,18.8,38.4,0.0,,13.1,E,50.0,ESE,SE,22.0,13.0,46.0,20.0,1010.4,1007.2,,,23.1,35.6,No,0.0,No
1,2009-01-02,PearceRAAF,22.0,39.1,0.0,,13.2,E,52.0,NW,SW,4.0,31.0,38.0,23.0,1008.3,1007.4,,,27.1,36.0,No,0.0,No
2,2009-01-03,PearceRAAF,15.9,35.6,0.0,,12.7,,,S,SSW,13.0,28.0,58.0,29.0,1012.1,1010.2,,,24.0,34.8,No,0.0,No
3,2009-01-04,PearceRAAF,,37.0,0.0,,13.3,SE,43.0,SE,ESE,24.0,20.0,45.0,19.0,1016.6,1012.6,,,22.7,35.2,No,0.0,No
4,2009-01-05,PearceRAAF,21.8,38.6,0.0,,13.2,E,59.0,ESE,SSE,15.0,15.0,35.0,15.0,1014.1,1010.1,,,26.8,37.3,No,0.0,No
5,2009-01-06,PearceRAAF,19.9,38.0,0.0,,13.2,SSW,43.0,SE,SSE,24.0,20.0,50.0,20.0,1013.5,1009.1,,,24.9,37.1,No,0.0,No
6,2009-01-07,PearceRAAF,18.8,36.6,0.0,,13.2,E,69.0,E,ESE,26.0,22.0,49.0,23.0,1013.8,1010.5,,,23.2,34.3,No,0.0,No
7,2009-01-08,PearceRAAF,19.6,38.1,0.0,,13.2,SE,44.0,ESE,S,19.0,26.0,49.0,22.0,1014.1,1010.7,,,23.9,36.6,No,0.0,No
8,2009-01-09,PearceRAAF,19.4,38.3,0.0,,13.3,,,SE,SSW,11.0,22.0,49.0,23.0,1015.0,1010.8,,,24.1,37.3,No,0.0,No
9,2009-01-10,PearceRAAF,,37.4,0.0,,13.1,SSE,50.0,SE,SSW,17.0,30.0,41.0,22.0,1012.7,1009.7,,,26.0,35.9,No,0.0,No
10,2009-01-11,PearceRAAF,19.8,40.6,0.0,,13.1,E,61.0,ENE,WSW,31.0,13.0,31.0,12.0,1008.6,1004.9,,,26.6,39.0,No,0.0,No
11,2009-01-12,PearceRAAF,13.3,28.8,0.0,,11.3,SSW,59.0,SSW,SW,11.0,31.0,64.0,49.0,1007.3,1008.6,0.0,5.0,22.1,27.2,No,0.0,No
12,2009-01-13,PearceRAAF,9.1,27.8,0.0,,11.2,SSW,48.0,S,S,11.0,17.0,50.0,27.0,1017.4,1014.5,2.0,1.0,19.8,26.5,No,0.0,No
13,2009-01-14,PearceRAAF,12.0,32.7,0.0,,10.2,W,41.0,SE,SE,15.0,13.0,49.0,19.0,1016.8,1013.7,3.0,3.0,21.0,31.9,No,0.0,No
14,2009-01-15,PearceRAAF,,39.5,0.0,,13.1,,,E,E,31.0,17.0,41.0,15.0,1015.4,1011.5,0.0,0.0,23.2,37.8,No,0.0,No
15,2009-01-16,PearceRAAF,23.2,43.7,0.0,,13.1,,,NE,WNW,24.0,15.0,13.0,23.0,1010.5,1010.0,0.0,0.0,32.8,34.4,No,0.0,No
16,2009-01-17,PearceRAAF,17.0,33.7,0.0,,7.2,SSE,44.0,S,SSW,11.0,19.0,59.0,28.0,1015.1,1013.4,,,21.9,33.2,No,0.0,No
17,2009-01-18,PearceRAAF,21.7,33.2,0.0,,4.8,ESE,59.0,S,SSW,11.0,20.0,48.0,31.0,1015.3,1011.5,,,23.1,31.4,No,0.0,No
18,2009-01-19,PearceRAAF,16.8,30.8,0.0,,13.2,ESE,72.0,S,SSE,20.0,13.0,60.0,35.0,1016.0,1013.3,1.0,1.0,20.2,28.4,No,0.0,No
19,2009-01-20,PearceRAAF,15.7,31.8,0.0,,13.0,SW,46.0,ESE,SSW,24.0,20.0,50.0,24.0,1018.0,1014.2,0.0,1.0,18.8,31.2,No,0.0,No
20,2009-01-21,PearceRAAF,13.6,30.3,0.0,,13.0,S,52.0,S,WSW,17.0,28.0,68.0,34.0,1015.7,1012.4,0.0,2.0,19.4,28.4,No,0.0,No
21,2009-01-22,PearceRAAF,17.1,30.6,0.0,,11.1,SW,46.0,S,SW,17.0,22.0,75.0,41.0,1013.4,1011.1,8.0,0.0,20.4,29.7,No,0.0,No
22,2009-01-23,PearceRAAF,19.5,29.8,0.0,,10.7,SW,39.0,SSE,SSW,17.0,24.0,71.0,45.0,1013.6,1011.1,8.0,1.0,21.3,28.8,No,0.0,No
23,2009-01-24,PearceRAAF,11.9,33.8,0.0,,13.0,WSW,41.0,W,SW,7.0,24.0,73.0,32.0,1013.4,1010.6,,,19.6,33.2,No,0.0,No
24,2009-01-25,PearceRAAF,15.4,,0.0,,13.2,,,SE,ESE,15.0,13.0,26.0,16.0,1011.9,1007.6,,,25.8,38.7,No,0.0,No
25,2009-01-26,PearceRAAF,,32.5,0.0,,13.0,SW,39.0,WNW,SW,7.0,26.0,95.0,37.0,1007.9,1007.4,8.0,,20.2,31.2,No,0.0,No
26,2009-01-27,PearceRAAF,16.1,35.2,0.0,,12.6,SW,43.0,E,ENE,20.0,9.0,57.0,33.0,1007.8,1003.6,2.0,6.0,23.2,33.8,No,0.0,No
27,2009-01-28,PearceRAAF,20.1,32.6,0.0,,6.5,WSW,43.0,SE,SW,13.0,11.0,71.0,51.0,1003.4,1000.7,7.0,6.0,23.7,29.9,No,0.0,No
28,2009-01-29,PearceRAAF,20.2,25.0,0.0,,0.3,SSW,33.0,SSW,S,22.0,13.0,71.0,57.0,1007.6,1007.5,8.0,8.0,21.1,24.6,No,0.0,No
29,2009-01-30,PearceRAAF,18.1,,0.0,,6.4,,,SE,ESE,17.0,9.0,68.0,47.0,1010.1,1006.6,8.0,8.0,21.7,30.1,No,0.0,No
30,2009-01-31,PearceRAAF,,36.1,0.0,,,S,63.0,ENE,SE,17.0,15.0,58.0,42.0,1008.5,1005.9,1.0,1.0,27.6,32.5,No,0.0,No
31,2009-02-01,PearceRAAF,23.2,38.7,0.0,,13.1,WSW,44.0,ENE,S,15.0,15.0,62.0,24.0,1011.3,1008.4,,1.0,27.7,37.5,No,0.0,No
32,2009-02-02,PearceRAAF,19.4,40.6,0.0,,13.1,SW,41.0,NNE,SW,6.0,22.0,46.0,20.0,1010.4,1007.7,1.0,2.0,30.5,39.8,No,0.0,No
33,2009-02-03,PearceRAAF,17.6,36.1,0.0,,11.9,WSW,35.0,WSW,WSW,6.0,28.0,81.0,29.0,1010.1,1007.9,2.0,0.0,22.5,34.4,No,0.0,No
34,2009-02-04,PearceRAAF,17.8,34.2,0.0,,13.0,SSW,43.0,SE,SSW,19.0,24.0,59.0,28.0,1012.0,1009.5,2.0,0.0,23.1,32.1,No,0.0,No
35,2009-02-05,PearceRAAF,17.5,34.4,0.0,,12.9,ESE,57.0,ESE,S,19.0,20.0,50.0,22.0,1010.7,1006.1,0.0,0.0,21.2,32.9,No,0.0,No
36,2009-02-06,PearceRAAF,14.3,28.3,0.0,,12.3,SW,54.0,S,SW,24.0,31.0,63.0,33.0,1008.7,1006.0,3.0,2.0,18.0,26.9,No,0.0,No
37,2009-02-07,PearceRAAF,9.2,28.8,0.0,,12.7,SSE,41.0,SE,S,17.0,22.0,53.0,27.0,1013.9,1011.8,,,18.5,28.0,No,0.0,No
38,2009-02-08,PearceRAAF,15.0,33.3,0.0,,13.0,E,67.0,E,ESE,39.0,28.0,44.0,21.0,1016.5,1014.6,,,19.0,32.1,No,0.0,No
39,2009-02-09,PearceRAAF,18.5,35.0,0.0,,12.9,E,65.0,E,NE,41.0,28.0,47.0,16.0,1016.5,1014.4,0.0,0.0,21.3,33.5,No,0.0,No
40,2009-02-10,PearceRAAF,21.2,36.5,0.0,,11.4,ENE,63.0,ENE,NE,33.0,17.0,40.0,14.0,1015.3,1012.5,0.0,3.0,24.0,34.9,No,0.0,No
41,2009-02-11,PearceRAAF,23.9,39.2,0.0,,12.8,NE,46.0,NNE,W,20.0,9.0,21.0,11.0,1012.1,1009.2,0.0,0.0,28.2,37.5,No,0.0,No
42,2009-02-12,PearceRAAF,20.1,41.6,0.0,,9.4,WSW,50.0,NNE,SSW,15.0,28.0,17.0,17.0,1007.2,1007.3,3.0,5.0,30.1,34.7,No,0.0,No
43,2009-02-13,PearceRAAF,21.6,27.0,0.0,,4.3,SE,50.0,ESE,E,26.0,26.0,61.0,52.0,1013.3,1011.8,8.0,6.0,22.5,25.1,No,0.0,No
44,2009-02-14,PearceRAAF,19.0,32.8,0.0,,1.3,ESE,65.0,ESE,SE,28.0,20.0,43.0,26.0,1008.6,1006.0,,,23.7,30.7,No,0.0,No
45,2009-02-15,PearceRAAF,15.3,35.4,0.0,,12.0,WSW,37.0,NW,SW,9.0,24.0,80.0,24.0,1008.2,1005.7,,,21.1,33.7,No,0.0,No
46,2009-02-16,PearceRAAF,17.9,28.4,0.0,,11.4,WSW,44.0,SW,SW,24.0,28.0,71.0,38.0,1010.8,1009.8,,0.0,21.3,27.9,No,0.0,No
47,2009-02-17,PearceRAAF,14.7,32.3,0.0,,12.5,ESE,56.0,SE,SSE,20.0,13.0,60.0,28.0,1012.8,1009.4,1.0,1.0,20.0,30.4,No,0.0,No
