,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,Sale,10.7,22.1,0.0,10.0,11.5,WSW,76.0,W,WSW,41.0,31.0,46.0,62.0,1001.7,1003.4,4.0,6.0,18.4,16.7,No,0.0,No
1,2009-01-02,Sale,8.0,18.9,0.0,,11.7,W,50.0,W,WSW,30.0,33.0,61.0,36.0,1016.2,1017.3,3.0,6.0,12.5,16.7,No,0.0,No
2,2009-01-03,Sale,4.2,20.0,0.0,4.0,9.1,ESE,33.0,WNW,ESE,7.0,15.0,63.0,43.0,1020.9,1018.0,1.0,6.0,12.9,18.8,No,0.0,No
3,2009-01-04,Sale,6.7,24.3,0.0,5.0,10.5,ESE,33.0,SSW,E,6.0,19.0,70.0,47.0,1017.0,1013.4,3.0,5.0,16.4,23.2,No,0.0,No
4,2009-01-05,Sale,8.9,27.9,0.0,6.8,10.8,ENE,37.0,WNW,SE,11.0,24.0,79.0,52.0,1011.4,1008.9,6.0,1.0,15.9,25.5,No,0.0,No
5,2009-01-06,Sale,10.8,32.2,0.0,6.6,13.4,SE,44.0,W,SE,13.0,30.0,58.0,45.0,1010.0,1006.9,0.0,1.0,19.7,26.3,No,0.0,No
6,2009-01-07,Sale,15.3,20.2,0.0,7.8,0.5,W,30.0,SSW,SE,15.0,15.0,84.0,74.0,1008.6,1008.3,8.0,7.0,17.8,19.6,No,0.0,No
7,2009-01-08,Sale,11.4,20.4,0.0,2.8,9.5,SSW,43.0,W,SW,20.0,28.0,59.0,49.0,1016.0,1017.2,4.0,6.0,16.3,16.8,No,0.0,No
8,2009-01-09,Sale,4.7,21.1,0.0,4.0,12.8,E,43.0,NW,E,9.0,20.0,66.0,33.0,1021.6,1018.6,1.0,,13.6,20.4,No,0.0,No
9,2009-01-10,Sale,10.6,26.3,0.0,8.2,9.8,S,44.0,NW,SSE,11.0,22.0,73.0,54.0,1012.8,1009.8,7.0,6.0,16.2,22.9,No,0.0,No
10,2009-01-11,Sale,11.0,22.5,0.0,6.6,5.0,SE,33.0,S,SE,11.0,13.0,73.0,61.0,1011.4,1009.7,7.0,7.0,19.3,21.4,No,0.0,No
11,2009-01-12,Sale,7.7,23.3,0.0,5.0,13.3,ESE,35.0,WNW,ESE,11.0,20.0,68.0,52.0,1018.4,1017.9,3.0,3.0,16.2,22.9,No,0.0,No
12,2009-01-13,Sale,11.9,34.7,0.0,5.8,12.5,ESE,37.0,ENE,SSE,6.0,15.0,74.0,27.0,1014.8,1010.1,1.0,1.0,18.4,33.1,No,0.0,No
13,2009-01-14,Sale,13.4,39.3,0.0,,9.8,NW,56.0,E,SE,4.0,19.0,48.0,41.0,1006.3,1005.7,4.0,6.0,25.8,30.7,No,0.0,No
14,2009-01-15,Sale,15.1,25.7,0.0,10.0,7.3,W,54.0,WSW,W,31.0,26.0,65.0,36.0,1013.0,1012.7,7.0,7.0,16.8,23.1,No,0.4,No
15,2009-01-16,Sale,12.7,21.2,0.4,8.4,8.7,WSW,69.0,W,W,28.0,39.0,91.0,25.0,1014.8,1015.7,7.0,4.0,13.0,20.3,No,0.4,No
16,2009-01-17,Sale,9.3,22.4,0.4,7.4,10.3,SE,35.0,W,SE,15.0,24.0,60.0,40.0,1023.2,1021.8,7.0,1.0,14.1,20.7,No,0.0,No
17,2009-01-18,Sale,6.7,24.3,0.0,4.6,13.6,ESE,35.0,NW,ESE,9.0,24.0,72.0,46.0,1022.1,1018.9,0.0,0.0,13.8,22.7,No,0.0,No
18,2009-01-19,Sale,8.4,28.3,0.0,6.8,13.2,ESE,37.0,NNE,ESE,4.0,28.0,76.0,46.0,1014.6,1011.1,1.0,1.0,16.8,26.9,No,0.0,No
19,2009-01-20,Sale,12.5,39.7,0.0,7.6,11.8,WNW,57.0,NNE,W,7.0,35.0,53.0,11.0,1005.8,1002.5,1.0,4.0,22.8,39.3,No,0.0,No
20,2009-01-21,Sale,12.0,27.2,0.0,13.2,13.2,ESE,41.0,NNE,ESE,9.0,22.0,56.0,47.0,1010.6,1007.8,3.0,3.0,19.4,24.6,No,0.0,No
21,2009-01-22,Sale,13.8,33.3,0.0,7.8,5.5,NNW,70.0,N,NW,24.0,33.0,53.0,59.0,998.3,995.0,7.0,8.0,27.0,26.8,No,1.2,Yes
22,2009-01-23,Sale,15.2,24.0,1.2,6.6,11.8,E,43.0,SW,E,13.0,33.0,46.0,49.0,1008.2,1004.5,2.0,2.0,18.0,22.5,Yes,1.2,Yes
23,2009-01-24,Sale,13.2,23.7,1.2,8.6,10.9,WNW,76.0,WSW,WSW,37.0,39.0,69.0,35.0,1003.8,1009.9,7.0,3.0,18.5,22.7,Yes,0.0,No
24,2009-01-25,Sale,6.6,25.0,0.0,9.0,12.6,ESE,37.0,NNW,E,7.0,26.0,65.0,48.0,1018.2,1017.4,0.0,0.0,15.1,23.0,No,0.0,No
25,2009-01-26,Sale,10.4,24.9,0.0,6.0,13.1,ESE,41.0,NNW,ESE,7.0,26.0,69.0,49.0,1022.2,1021.9,4.0,1.0,17.8,23.1,No,0.0,No
26,2009-01-27,Sale,16.3,29.0,0.0,7.2,12.0,ENE,37.0,E,ESE,11.0,22.0,75.0,43.0,1018.1,1014.5,3.0,1.0,19.2,27.8,No,0.0,No
27,2009-01-28,Sale,12.6,41.2,0.0,7.6,12.5,E,46.0,N,WSW,6.0,9.0,77.0,19.0,1013.1,1009.6,0.0,1.0,22.1,40.2,No,0.0,No
