,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,SalmonGums,14.8,31.8,0.4,,,E,46.0,ESE,SE,28.0,20.0,62.0,28.0,,,,,18.2,30.1,No,0.0,No
1,2009-01-02,SalmonGums,14.7,37.6,0.0,,,NNE,43.0,NE,NNW,24.0,17.0,58.0,22.0,,,,,21.2,35.7,No,0.0,No
2,2009-01-03,SalmonGums,15.8,32.0,0.0,,,SSW,54.0,SSW,SSW,15.0,30.0,60.0,37.0,,,,,23.5,30.4,No,0.0,No
3,2009-01-04,SalmonGums,17.0,30.8,0.0,,,E,50.0,SE,ESE,24.0,22.0,66.0,29.0,,,,,19.0,28.7,No,0.0,No
4,2009-01-05,SalmonGums,11.0,35.9,0.0,,,SSE,41.0,NE,E,15.0,11.0,61.0,21.0,,,,,19.7,33.2,No,0.0,No
5,2009-01-06,SalmonGums,15.6,31.8,0.0,,,SSE,44.0,SE,ESE,19.0,19.0,67.0,32.0,,,,,20.3,30.4,No,0.0,No
6,2009-01-07,SalmonGums,16.2,30.9,0.0,,,ENE,46.0,ENE,E,28.0,24.0,68.0,33.0,,,,,19.2,28.7,No,0.0,No
7,2009-01-08,SalmonGums,15.9,34.3,0.0,,,ESE,44.0,ENE,E,24.0,22.0,60.0,30.0,,,,,20.7,31.9,No,0.0,No
8,2009-01-09,SalmonGums,15.1,34.5,0.0,,,SE,46.0,ENE,ENE,22.0,9.0,59.0,25.0,,,,,20.7,32.6,No,0.0,No
9,2009-01-10,SalmonGums,14.3,35.3,0.0,,,SSE,50.0,NE,SSE,15.0,11.0,52.0,23.0,,,,,21.1,34.2,No,0.0,No
10,2009-01-11,SalmonGums,10.2,38.0,0.0,,,NNW,39.0,NNE,WNW,19.0,19.0,47.0,19.0,,,,,23.1,35.7,No,0.0,No
11,2009-01-12,SalmonGums,23.0,42.5,0.0,,,NW,76.0,N,SSW,35.0,41.0,18.0,34.0,,,,,32.0,30.2,No,0.8,No
