,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2013-03-01,Uluru,19.7,30.0,0.8,,,ESE,48.0,E,E,30.0,24.0,76.0,54.0,1010.6,1007.5,,,21.7,28.4,No,0.0,No
1,2013-03-02,Uluru,21.6,33.1,0.0,,,E,33.0,E,N,22.0,11.0,44.0,33.0,1010.5,1006.5,,,24.6,31.3,No,0.0,No
2,2013-03-03,Uluru,21.3,36.1,0.0,,,E,33.0,ENE,SSE,24.0,13.0,39.0,27.0,1006.9,1002.7,,,27.6,34.5,No,0.0,No
3,2013-03-04,Uluru,22.9,37.7,0.0,,,ENE,39.0,E,SSE,28.0,13.0,35.0,22.0,1006.0,1002.1,,,28.7,35.4,No,0.0,No
4,2013-03-05,Uluru,24.0,39.0,0.0,,,S,39.0,E,S,20.0,19.0,33.0,21.0,1006.9,1003.5,,,29.9,37.3,No,0.0,No
5,2013-03-06,Uluru,24.3,39.7,0.0,,,S,46.0,E,SW,22.0,15.0,36.0,17.0,1007.9,1003.9,,,30.4,38.1,No,0.0,No
6,2013-03-07,Uluru,26.6,38.6,0.0,,,WSW,33.0,E,SSE,24.0,15.0,41.0,21.0,1008.3,1004.5,,,29.9,37.1,No,0.0,No
7,2013-03-08,Uluru,26.9,39.4,0.0,,,SSE,54.0,E,SSW,13.0,15.0,39.0,24.0,1008.9,1005.1,,,30.9,36.8,No,0.0,No
8,2013-03-09,Uluru,24.4,40.0,0.0,,,SE,54.0,ESE,NE,22.0,9.0,54.0,24.0,1010.4,1005.9,,,28.6,37.5,No,0.0,No
9,2013-03-10,Uluru,25.4,39.8,0.0,,,NE,37.0,E,SE,24.0,13.0,40.0,20.0,1010.7,1006.8,,,31.0,37.7,No,0.0,No
10,2013-03-11,Uluru,23.9,39.5,0.0,,,ENE,41.0,NNE,E,17.0,19.0,26.0,13.0,1010.3,1006.0,,,31.9,37.9,No,0.0,No
11,2013-03-12,Uluru,20.6,40.9,0.0,,,S,57.0,ENE,NE,15.0,7.0,22.0,13.0,1009.2,1005.3,,,32.0,39.7,No,0.0,No
12,2013-03-13,Uluru,22.3,37.3,0.0,,,S,52.0,SSE,SSW,28.0,19.0,56.0,24.0,1012.6,1008.5,,,24.1,34.6,No,0.0,No
13,2013-03-14,Uluru,19.8,33.8,0.0,,,ESE,39.0,ESE,SE,26.0,11.0,34.0,24.0,1013.8,1009.4,,,23.3,32.7,No,0.0,No
14,2013-03-15,Uluru,17.2,35.9,0.0,,,E,35.0,E,E,24.0,7.0,29.0,13.0,1015.3,1010.7,,,23.5,34.6,No,0.0,No
15,2013-03-16,Uluru,19.1,37.9,0.0,,,SE,43.0,E,ESE,22.0,22.0,20.0,10.0,1016.1,1012.7,,,27.9,36.9,No,0.0,No
16,2013-03-17,Uluru,21.9,35.4,0.0,,,ESE,46.0,ESE,SE,33.0,17.0,33.0,20.0,1018.6,1013.7,,,26.4,34.2,No,0.0,No
