,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2008-12-03,Wollongong,,27.4,,,,SSE,70.0,,E,,19.0,,63.0,1007.8,1005.8,,,,23.9,,0.4,No
1,2008-12-04,Wollongong,15.7,21.5,0.4,,,NE,39.0,E,ENE,20.0,22.0,67.0,65.0,1020.3,1018.9,8.0,7.0,18.1,19.5,No,0.0,No
2,2008-12-05,Wollongong,18.0,27.7,0.0,,,ENE,41.0,NNE,NNE,22.0,19.0,79.0,75.0,1014.3,1009.2,8.0,,20.1,23.4,No,0.2,No
3,2008-12-06,Wollongong,18.6,32.5,0.2,,,SSE,44.0,SE,SSE,6.0,22.0,57.0,81.0,1006.0,1004.4,,4.0,27.6,21.2,No,0.6,No
4,2008-12-07,Wollongong,17.9,23.6,0.6,,,SSE,50.0,WNW,SSE,28.0,28.0,67.0,80.0,1007.2,1008.9,8.0,7.0,21.0,20.4,No,11.2,Yes
5,2008-12-08,Wollongong,15.3,21.9,11.2,,,ENE,54.0,S,ENE,11.0,37.0,79.0,77.0,1014.8,1011.9,8.0,8.0,18.7,20.4,Yes,3.0,Yes
6,2008-12-09,Wollongong,17.1,23.4,3.0,,,NE,57.0,ENE,NE,15.0,44.0,74.0,78.0,1010.2,1005.8,,4.0,21.4,22.9,Yes,0.0,No
7,2008-12-10,Wollongong,17.8,20.2,0.0,,,SSW,59.0,SSE,SSE,44.0,37.0,77.0,80.0,1008.6,1010.8,8.0,7.0,20.1,18.5,No,15.0,Yes
8,2008-12-11,Wollongong,15.6,18.5,15.0,,,E,33.0,E,E,13.0,20.0,93.0,72.0,1014.9,1015.9,8.0,8.0,16.5,17.9,Yes,3.4,Yes
9,2008-12-12,Wollongong,16.3,22.8,3.4,,,NNE,67.0,NNE,NE,28.0,24.0,89.0,94.0,1015.5,1010.0,8.0,8.0,17.1,17.5,Yes,48.4,Yes
