,Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
0,2009-01-01,Woomera,16.8,29.7,0.0,,,S,54.0,S,S,28.0,26.0,56.0,18.0,1010.9,1010.1,,,18.9,27.5,No,0.0,No
1,2009-01-02,Woomera,13.3,28.6,0.0,,,SE,52.0,SSE,SSE,30.0,19.0,46.0,13.0,1016.4,1014.4,,0.0,16.5,26.3,No,0.0,No
2,2009-01-03,Woomera,14.9,32.0,0.0,,12.8,SE,31.0,E,ESE,22.0,11.0,14.0,6.0,1015.7,1012.3,0.0,0.0,22.4,29.9,No,0.0,No
3,2009-01-04,Woomera,16.3,36.3,0.0,11.8,14.2,E,43.0,E,ESE,20.0,20.0,12.0,2.0,1012.2,1010.5,0.0,1.0,25.7,34.9,No,0.0,No
4,2009-01-05,Woomera,20.0,38.4,0.0,16.0,,WNW,41.0,SE,NW,22.0,11.0,29.0,5.0,1012.5,1009.5,0.0,0.0,25.6,37.1,No,0.0,No
5,2009-01-06,Woomera,20.2,40.2,0.0,15.6,13.9,SSE,54.0,SE,S,17.0,19.0,35.0,8.0,1010.6,1006.8,0.0,2.0,25.9,39.6,No,0.0,No
6,2009-01-07,Woomera,19.7,33.3,0.0,19.8,13.3,S,57.0,S,S,24.0,26.0,61.0,20.0,1011.1,1010.4,0.0,0.0,22.3,31.2,No,0.0,No
7,2009-01-08,Woomera,15.2,31.4,0.0,19.4,13.4,SSE,56.0,SE,SSE,35.0,24.0,45.0,14.0,1015.8,1014.2,0.0,1.0,18.4,28.3,No,0.0,No
8,2009-01-09,Woomera,15.8,33.3,0.0,15.6,13.5,SSE,41.0,ESE,SSW,28.0,9.0,28.0,11.0,1014.5,1011.3,1.0,0.0,21.5,30.9,No,0.0,No
9,2009-01-10,Woomera,17.5,33.9,0.0,13.6,,SW,43.0,SSE,SW,15.0,9.0,38.0,11.0,1009.8,1007.3,0.0,1.0,22.1,32.5,No,0.0,No
10,2009-01-11,Woomera,18.1,33.3,0.0,14.2,13.2,SSE,44.0,S,SSW,24.0,7.0,42.0,15.0,1009.9,1008.2,1.0,0.0,21.9,31.7,No,0.0,No
11,2009-01-12,Woomera,17.4,38.4,0.0,16.2,13.3,SSE,43.0,ESE,N,28.0,11.0,33.0,8.0,1013.1,1010.6,0.0,0.0,23.7,35.6,No,0.0,No
12,2009-01-13,Woomera,22.0,42.2,0.0,16.4,13.2,N,48.0,NNE,W,24.0,15.0,9.0,4.0,1010.4,1008.1,0.0,0.0,31.8,40.5,No,0.0,No
13,2009-01-14,Woomera,23.6,40.7,0.0,18.8,13.2,SSE,50.0,S,W,28.0,17.0,43.0,13.0,1010.3,1008.9,0.0,0.0,25.8,38.4,No,0.0,No
14,2009-01-15,Woomera,19.0,31.5,0.0,18.0,11.4,SSE,52.0,SSE,SSE,35.0,31.0,58.0,21.0,1016.4,1015.2,3.0,1.0,20.3,29.7,No,0.0,No
15,2009-01-16,Woomera,15.7,32.7,0.0,16.0,13.3,SSE,52.0,SSE,ESE,28.0,24.0,51.0,12.0,1019.7,1018.0,0.0,0.0,18.7,30.5,No,0.0,No
16,2009-01-17,Woomera,16.6,33.5,0.0,17.6,13.3,SSE,44.0,SE,S,31.0,17.0,31.0,8.0,1019.3,1016.3,1.0,0.0,21.2,31.4,No,0.0,No
17,2009-01-18,Woomera,18.5,35.6,0.0,15.2,13.5,SE,31.0,ENE,W,20.0,7.0,12.0,8.0,1016.3,1013.0,0.0,1.0,25.8,34.0,No,0.0,No
